zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,Life,RETech
Gambia,GT,Coal,0.5,8.5,0.5,0.5,0,0.05,0.8,60000,4,0,30,0
Gambia,GT,Gas,0.2,9,1,1,0,0.2,0.8,20000,4,0,30,0
Gambia,CCGT,Gas,0.2,6.4,1,1,0,0.2,0.9,30000,2,0,30,0
Gambia,ICE,HFO,0.06,9,1,1,0,0.2,1.019,18500,10,0,30,0
Gambia,ROR,Water,0,0,1,1,0,0.4,2.8,40000,0.5,0,50,1
Gambia,PV,PV,0,0,1,1,0,0,0.8,15000,0,0,25,1
Gambia,WIND,OnshoreWind,0,0,1,1,0,0,1.3,40000,0,0,30,1
Gambia,WIND,OffshoreWind,0,0,1,1,0,0,3,70000,0,0,30,1
Gambia,STORAGE,Battery,0,0,1,1,0,0,0.3,40000,0,0,20,0
