Market,Quarter,DayType,Year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
SAPP,Q1,d1,2025,8.66,8.66,8.66,8.66,8.66,8.66,13.27,25.13,25.13,25.13,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,25.13,25.13,13.27,13.27,8.66,8.66
SAPP,Q1,d2,2025,8.66,8.66,8.66,8.66,8.66,8.66,13.27,25.13,25.13,25.13,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,25.13,25.13,13.27,13.27,8.66,8.66
SAPP,Q1,d3,2025,8.66,8.66,8.66,8.66,8.66,8.66,13.27,25.13,25.13,25.13,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,25.13,25.13,13.27,13.27,8.66,8.66
SAPP,Q1,d4,2025,8.66,8.66,8.66,8.66,8.66,8.66,13.27,25.13,25.13,25.13,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,25.13,25.13,13.27,13.27,8.66,8.66
SAPP,Q2,d1,2025,8.2,8.2,8.2,8.2,8.2,8.2,12.57,23.82,23.82,23.82,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,23.82,23.82,12.57,12.57,8.2,8.2
SAPP,Q2,d2,2025,8.2,8.2,8.2,8.2,8.2,8.2,12.57,23.82,23.82,23.82,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,23.82,23.82,12.57,12.57,8.2,8.2
SAPP,Q2,d3,2025,8.2,8.2,8.2,8.2,8.2,8.2,12.57,23.82,23.82,23.82,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,23.82,23.82,12.57,12.57,8.2,8.2
SAPP,Q2,d4,2025,8.2,8.2,8.2,8.2,8.2,8.2,12.57,23.82,23.82,23.82,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,23.82,23.82,12.57,12.57,8.2,8.2
SAPP,Q3,d1,2025,5.68,5.68,5.68,5.68,5.68,5.68,8.71,16.5,16.5,16.5,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,16.5,16.5,8.71,8.71,5.68,5.68
SAPP,Q3,d2,2025,5.68,5.68,5.68,5.68,5.68,5.68,8.71,16.5,16.5,16.5,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,16.5,16.5,8.71,8.71,5.68,5.68
SAPP,Q3,d3,2025,5.68,5.68,5.68,5.68,5.68,5.68,8.71,16.5,16.5,16.5,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,16.5,16.5,8.71,8.71,5.68,5.68
SAPP,Q3,d4,2025,5.68,5.68,5.68,5.68,5.68,5.68,8.71,16.5,16.5,16.5,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,16.5,16.5,8.71,8.71,5.68,5.68
SAPP,Q4,d1,2025,5.46,5.46,5.46,5.46,5.46,5.46,8.36,15.84,15.84,15.84,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,15.84,15.84,8.36,8.36,5.46,5.46
SAPP,Q4,d2,2025,5.46,5.46,5.46,5.46,5.46,5.46,8.36,15.84,15.84,15.84,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,15.84,15.84,8.36,8.36,5.46,5.46
SAPP,Q4,d3,2025,5.46,5.46,5.46,5.46,5.46,5.46,8.36,15.84,15.84,15.84,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,15.84,15.84,8.36,8.36,5.46,5.46
SAPP,Q4,d4,2025,5.46,5.46,5.46,5.46,5.46,5.46,8.36,15.84,15.84,15.84,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,15.84,15.84,8.36,8.36,5.46,5.46
SAPP,Q1,d1,2026,4.46,4.46,4.46,4.46,4.46,4.46,6.84,12.96,12.96,12.96,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,12.96,12.96,6.84,6.84,4.46,4.46
SAPP,Q1,d2,2026,4.46,4.46,4.46,4.46,4.46,4.46,6.84,12.96,12.96,12.96,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,12.96,12.96,6.84,6.84,4.46,4.46
SAPP,Q1,d3,2026,4.46,4.46,4.46,4.46,4.46,4.46,6.84,12.96,12.96,12.96,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,12.96,12.96,6.84,6.84,4.46,4.46
SAPP,Q1,d4,2026,4.46,4.46,4.46,4.46,4.46,4.46,6.84,12.96,12.96,12.96,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,12.96,12.96,6.84,6.84,4.46,4.46
SAPP,Q2,d1,2026,3.62,3.62,3.62,3.62,3.62,3.62,5.54,10.5,10.5,10.5,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,10.5,10.5,5.54,5.54,3.62,3.62
SAPP,Q2,d2,2026,3.62,3.62,3.62,3.62,3.62,3.62,5.54,10.5,10.5,10.5,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,10.5,10.5,5.54,5.54,3.62,3.62
SAPP,Q2,d3,2026,3.62,3.62,3.62,3.62,3.62,3.62,5.54,10.5,10.5,10.5,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,10.5,10.5,5.54,5.54,3.62,3.62
