Country,Fuel,Year,Price_Reference_USD_GJ,Price_HighFossil_USD_GJ,Price_AccelTransition_USD_GJ
Angola,HFO,2025,11.50,13.50,10.50
Angola,HFO,2026,11.70,13.90,10.30
Angola,HFO,2027,11.90,14.30,10.10
Angola,HFO,2028,12.10,14.70,9.90
Angola,HFO,2029,12.30,15.10,9.70
Angola,HFO,2030,12.50,15.50,9.50
Angola,HFO,2031,12.60,15.80,9.30
Angola,HFO,2032,12.70,16.10,9.10
Angola,HFO,2033,12.80,16.40,8.90
Angola,HFO,2034,12.90,16.70,8.70
Angola,HFO,2035,13.00,17.00,8.50
Angola,HFO,2036,13.10,17.20,8.20
Angola,HFO,2037,13.20,17.40,7.90
Angola,HFO,2038,13.30,17.60,7.60
Angola,HFO,2039,13.40,17.80,7.30
Angola,HFO,2040,13.50,18.00,7.00
Angola,HFO,2041,13.50,18.10,6.70
Angola,HFO,2042,13.50,18.20,6.40
Angola,HFO,2043,13.50,18.30,6.10
Angola,HFO,2044,13.50,18.40,5.80
Angola,HFO,2045,13.50,18.50,5.50
Angola,HFO,2046,13.40,18.40,5.30
Angola,HFO,2047,13.30,18.30,5.10
Angola,HFO,2048,13.20,18.20,4.90
Angola,HFO,2049,13.10,18.10,4.70
Angola,HFO,2050,13.00,18.00,4.50
Angola,HFO,2051,12.90,17.90,4.40
Angola,HFO,2052,12.80,17.80,4.30
Angola,HFO,2053,12.70,17.70,4.20
Angola,HFO,2054,12.60,17.60,4.10
Angola,HFO,2055,12.50,17.50,4.00
Angola,HFO,2056,12.40,17.40,3.90
Angola,HFO,2057,12.30,17.30,3.80
Angola,HFO,2058,12.20,17.20,3.70
Angola,HFO,2059,12.10,17.10,3.60
Angola,HFO,2060,12.00,17.00,3.50
Angola,Diesel,2025,15.00,17.50,14.00
Angola,Diesel,2026,15.20,18.00,13.70
Angola,Diesel,2027,15.40,18.50,13.40
Angola,Diesel,2028,15.60,19.00,13.10
Angola,Diesel,2029,15.80,19.50,12.80
Angola,Diesel,2030,16.00,20.00,12.50
Angola,Diesel,2031,16.10,20.40,12.20
Angola,Diesel,2032,16.20,20.80,11.90
Angola,Diesel,2033,16.30,21.20,11.60
Angola,Diesel,2034,16.40,21.60,11.30
Angola,Diesel,2035,16.50,22.00,11.00
Angola,Diesel,2036,16.60,22.30,10.60
Angola,Diesel,2037,16.70,22.60,10.20
Angola,Diesel,2038,16.80,22.90,9.80
Angola,Diesel,2039,16.90,23.20,9.40
Angola,Diesel,2040,17.00,23.50,9.00
Angola,Diesel,2041,17.00,23.60,8.70
Angola,Diesel,2042,17.00,23.70,8.40
Angola,Diesel,2043,17.00,23.80,8.10
Angola,Diesel,2044,17.00,23.90,7.80
Angola,Diesel,2045,17.00,24.00,7.50
Angola,Diesel,2046,16.90,23.80,7.20
Angola,Diesel,2047,16.80,23.60,6.90
Angola,Diesel,2048,16.70,23.40,6.60
Angola,Diesel,2049,16.60,23.20,6.30
