Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Angola_South,Q3,d2,0.59,0.56,0.54,0.53,0.52,0.53,0.57,0.61,0.64,0.66,0.66,0.65,0.64,0.64,0.66,0.65,0.66,0.68,0.74,0.82,0.81,0.75,0.68,0.62
Angola_East,Q3,d2,0.65,0.63,0.61,0.6,0.6,0.6,0.6,0.62,0.64,0.65,0.65,0.65,0.64,0.64,0.65,0.65,0.65,0.65,0.68,0.75,0.75,0.73,0.7,0.67
Eswatini,Q3,d3,0.46,0.45,0.44,0.46,0.55,0.68,0.68,0.7,0.71,0.71,0.71,0.7,0.69,0.68,0.68,0.69,0.7,0.73,0.81,0.75,0.66,0.58,0.52,0.49
Lesotho,Q3,d3,0.38,0.36,0.36,0.38,0.48,0.58,0.59,0.59,0.6,0.6,0.59,0.58,0.56,0.56,0.55,0.55,0.54,0.54,0.56,0.63,0.62,0.53,0.45,0.4
Malawi,Q3,d3,0.6,0.59,0.59,0.61,0.67,0.81,0.86,0.87,0.88,0.88,0.88,0.89,0.84,0.79,0.79,0.83,0.86,0.9,0.95,0.88,0.81,0.72,0.66,0.63
Namibia,Q3,d3,0.64,0.63,0.63,0.63,0.65,0.7,0.76,0.75,0.73,0.72,0.7,0.69,0.68,0.67,0.68,0.7,0.73,0.77,0.85,0.9,0.84,0.76,0.72,0.67
Zimbabwe,Q3,d3,0.78,0.77,0.76,0.76,0.8,0.78,0.7,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68,0.67,0.67,0.68,0.68,0.69,0.76,0.8,0.79
Zambia,Q3,d3,0.65,0.65,0.65,0.65,0.65,0.64,0.62,0.6,0.6,0.59,0.6,0.61,0.61,0.61,0.62,0.63,0.63,0.62,0.61,0.62,0.63,0.63,0.64,0.64
Tanzania,Q3,d3,0.63,0.61,0.59,0.59,0.59,0.61,0.65,0.66,0.73,0.77,0.8,0.81,0.81,0.78,0.78,0.78,0.79,0.8,0.81,0.86,0.86,0.83,0.76,0.69
South Africa,Q3,d3,0.66,0.65,0.64,0.65,0.67,0.73,0.82,0.84,0.86,0.85,0.86,0.85,0.84,0.82,0.82,0.82,0.82,0.84,0.9,0.9,0.86,0.8,0.74,0.69
