,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MariaGleta3,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CC_GAS_LNG_BEN,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CENPOWER2_IPP,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CC_GAS_LNG_GHA,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Abatta1,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Abatta2,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Abatta3,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Songon1,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Songon2,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Songon3,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CC_GAS_LNG_COT,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CALEBINLAND1_IPP,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CALEBINLAND2_IPP,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CALEBINLAND3_IPP,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CCGT_Nga,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
