,,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Burkina,Peak,,,,,,,,484,513,556,602,652,706,764,828,896,967,1044,1127,1216,1252,1290,1329,1369,1410,1459.623116,1510.992654,1564.170075,1619.219007,1676.205314,1729.136228,1783.738584,1840.065164,1898.170415,1958.110504
Benin,Peak,,,,,,,,416,450,493,529,566,605,649,703,744,787,825,862,901,935,975,1014,1054,1093,1131.466714,1171.287213,1212.509143,1255.181826,1299.356318,1340.387161,1382.713669,1426.376755,1471.418627,1517.882823
IvoryCoast,Peak,,,,,,,,1930,2085,2244,2418,2582,2746,2907,3073,3244,3420,3599,3783,3976,4187,4406,4626,4850,5091,5270.171124,5455.647943,5647.652378,5846.414159,6052.171102,6243.285486,6440.434846,6643.809753,6853.606798,7070.028776
Gambia,Peak,,,,,,,,78.5703665,89.28653796,101.4642825,107.5765887,113.6888948,119.801201,126.5247378,133.2482746,139.3605808,145.4728869,151.5851931,158.3087299,165.6434973,172.9782647,180.3130321,188.2590301,196.2050282,203.5397956,210.703114,218.1185361,225.7949343,233.7414934,241.9677212,249.608535,257.4906289,265.6216223,274.0093747,282.6619941
GuineaBissau,Peak,,,,,,,,21.5106219,24,30,53,60,67,74,80,86,95,105,115,125,135,142,152,162,172,182,200,207.0387399,214.3251991,221.8680958,228.8742071,236.1015561,243.5571291,251.2481329,259.1820018
Guinea,Peak,,,,,,,513,538.65,565.5825,593.861625,623.5547063,654.7324416,687.4690636,721.8425168,757.9346427,795.8313748,835.6229435,877.4040907,921.2742952,967.33801,1015.704911,1066.490156,1119.814664,1175.805397,1234.595667,1296.32545,1361.141723,1429.198809,1500.658749,1575.691687,1654.476271,1737.200085,1824.060089,1915.263093,2011.026248
Ghana,Peak,,,,,,,,3726,4008,4286,4560,4786,5031,5280,5548,5806,6068,6334,6642,6919,7237,7516,7836,8136,8454,8751.527536,9059.526166,9378.364408,9708.423747,10050.0991,10367.45934,10694.84113,11032.56092,11380.94517,11740.33064
Liberia,Peak,,,,,,,,182,200,218,238,258,280,303,328,354,382,411,423,462,504,550,600,655,715,740.1634952,766.2125868,793.1784424,821.0933261,849.9906379,876.8314913,904.5199204,933.0826898,962.5474092,992.9425603
Mali,Peak,,,,,,,,711,744,778,814,852,891,933,976,1021,1069,1118,1152,1186,1222,1258,1296,1335,1375,1423.391337,1473.485744,1525.343158,1579.025627,1634.597381,1686.214406,1739.461385,1794.389788,1851.05271,1909.504924
Mauritania_grid,Peak,,,,,,,,360.0570604,398.0152823,439.9751661,472.4119182,507.240039,544.63583,596.1437086,652.5228449,708.2992435,768.8433015,834.5625492,923.8379529,1022.663387,1126.261759,1240.354907,1366.005978,1504.385818,1656.783884,1715.092239,1775.45268,1837.937428,1902.621245,1969.581526,2031.776621,2095.935702,2162.120788,2230.395854,2300.826898
