,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Benin,961349.8521,961349.8521,961349.8521,961349.8521,876408.5693,876408.5693,922912.3195,922912.3195,923123.8886,923123.8886,1022403.98,1022403.98,963371.8894,963371.8894,948734.9428,948734.9428,913872.3396,913872.3396,860261.1871,860261.1871,803997.8986,803997.8986,739214.5515
Burkina,1731027.215,1731027.215,1731027.215,1731027.215,1368661.252,1368661.252,1588059.613,1588059.613,1386683.074,1386683.074,1411634.913,1411634.913,1088343.829,1088343.829,813863.693,813863.693,626002.0938,626002.0938,437992.6227,437992.6227,337766.3841,337766.3841,242920.7349
Gambia,400198.9984,400198.9984,400198.9984,400198.9984,422129.6942,422129.6942,380501.53,380501.53,393359.4,393359.4,442868.305,442868.305,404519.2277,404519.2277,382766.0901,382766.0901,352031.3891,352031.3891,330364.1005,330364.1005,303850.9758,303850.9758,263355.9898
Ghana,9207491.701,9207491.701,9207491.701,9207491.701,9698790.78,9698790.78,10008659.83,10008659.83,8194720.213,8194720.213,8214655.152,8214655.152,7211756.531,7211756.531,6997237.85,6997237.85,6444060.12,6444060.12,5962256.901,5962256.901,5339716.358,5339716.358,4776812.135
Guinea,994659.1048,994659.1048,994659.1048,994659.1048,481420.0433,481420.0433,456082.1462,456082.1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GuineaBissau,83912.25024,83912.25024,83912.25024,83912.25024,224203.0436,224203.0436,333362.5962,333362.5962,363253.5088,363253.5088,390918.2998,390918.2998,316234.1806,316234.1806,287456.2962,287456.2962,258370.6474,258370.6474,237852.8212,237852.8212,211602.7862,211602.7862,180859.7477
IvoryCoast,4101073.857,4101073.857,4101073.857,4101073.857,3612857.6,3612857.6,3550528.934,3550528.934,4156576.97,4156576.97,4362820.472,4362820.472,4681644.846,4681644.846,4937157.492,4937157.492,4617628.067,4617628.067,4262425.908,4262425.908,3691559.946,3691559.946,3197773.239
Liberia,142155.1476,142155.1476,142155.1476,142155.1476,130537.4008,130537.4008,216389.1668,216389.1668,328527.5776,328527.5776,493856.5473,493856.5473,465266.8981,465266.8981,610609.5058,610609.5058,745353.8318,745353.8318,856437.2999,856437.2999,941527.0944,941527.0944,841058.7811
Mali,1628338.83,1628338.83,1628338.83,1628338.83,1494320.386,1494320.386,1441869.783,1441869.783,1246777.208,1246777.208,1333278.975,1333278.975,768661.8678,768661.8678,566647.3764,566647.3764,349601.6806,349601.6806,141698.5534,141698.5534,129890.3406,129890.3406,118082.1278
Mauritania,438323.4555,438323.4555,438323.4555,365502.3212,304779.3705,254144.6641,211922.1855,176714.3642,147355.8156,122874.7675,102460.8931,85438.49024,71244.11463,59407.93025,49538.15757,41308.10559,34445.35831,28722.75773,23950.88488,19971.79003,16653.76453,13886.98122,11579.85913
Niger,1092868.063,1092868.063,1092868.063,1092868.063,909109.6128,909109.6128,782604.4895,782604.4895,928310.9346,928310.9346,1075317.82,1075317.82,1011065.848,1011065.848,873064.6038,873064.6038,836500.3499,836500.3499,796066.5627,796066.5627,748744.8209,748744.8209,691429.5105
Nigeria,15939044.92,15939044.92,15939044.92,15939044.92,15639643.27,15639643.27,15179078.73,15179078.73,15081761.29,15081761.29,16490359.91,16490359.91,17043419.85,17043419.85,16872372.33,16872372.33,16162310.71,16162310.71,14307975.86,14307975.86,13904330.03,13904330.03,12744093.59
Senegal,3229081.808,3229081.808,3229081.808,3229081.808,3056617.446,3056617.446,2715331.896,2715331.896,2589101.097,2589101.097,2931004.384,2931004.384,1000350.995,1000350.995,720732.984,720732.984,669336.8273,669336.8273,676153.9825,676153.9825,619807.9338,619807.9338,563589.6247
SierraLeone,272143.0469,272143.0469,272143.0469,272143.0469,314877.9815,314877.9815,314549.223,314549.223,105851.9123,105851.9123,143615.9819,143615.9819,76389.95312,76389.95312,88522.27455,88522.27455,94082.5415,94082.5415,100169.7175,100169.7175,131792.9427,131792.9427,120533.0389
Togo,838698.7445,838698.7445,838698.7445,838698.7445,796088.3015,796088.3015,842585.1418,842585.1418,809027.3772,809027.3772,858976.0048,858976.0048,844603.2878,844603.2878,826771.1697,826771.1697,794122.1241,794122.1241,747834.5478,747834.5478,683621.1411,683621.1411,619719.8564
