,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Guinea,Peak,513,588,664,1075.142857,1122.285714,1169.428571,1286.571429,1450.714286,1497.857143,1545,1592.142857,1639.285714,1776.428571,1823.571429,1870.714286,1917.857143,1965,2012.142857,2059.285714,2106.428571,2153.571429,2200.714286,2247.857143,2295,2342.142857,2389.285714,2436.428571,2483.571429,2530.714286
Guinea,Energy,2821.5,3234,3652,5357.305714,5616.591429,5875.877143,6410.142857,7234.711571,7493.997286,7753.283,8012.568714,8271.854429,8885.857143,9145.142857,9404.428571,9663.714286,9923,10182.28571,10441.57143,10700.85714,10960.14286,11219.42857,11478.71429,11738,11997.28571,12256.57143,12515.85714,12775.14286,13034.42857
