,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
guinea,1,1,0.656730155,0.63068434,0.607478878,0.593174531,0.590509125,0.604877597,0.637231098,0.628216499,0.630253473,0.627340664,0.625056533,0.633509922,0.642204966,0.641407718,0.64397767,0.649197082,0.6602578,0.682419744,0.738633793,0.804342396,0.814298549,0.793886597,0.757267245,0.708390357
guinea,1,2,0.656730155,0.63068434,0.607478878,0.593174531,0.590509125,0.604877597,0.637231098,0.628216499,0.630253473,0.627340664,0.625056533,0.633509922,0.642204966,0.641407718,0.64397767,0.649197082,0.6602578,0.682419744,0.738633793,0.804342396,0.814298549,0.793886597,0.757267245,0.708390357
guinea,1,3,0.656730155,0.63068434,0.607478878,0.593174531,0.590509125,0.604877597,0.637231098,0.628216499,0.630253473,0.627340664,0.625056533,0.633509922,0.642204966,0.641407718,0.64397767,0.649197082,0.6602578,0.682419744,0.738633793,0.804342396,0.814298549,0.793886597,0.757267245,0.708390357
guinea,2,1,0.700429651,0.672650722,0.647901144,0.632644971,0.629802206,0.645126771,0.679633107,0.670018668,0.672191184,0.669084553,0.666648434,0.67566432,0.684937942,0.684087643,0.686828603,0.69239532,0.70419203,0.727828652,0.787783241,0.857864162,0.868482808,0.846712624,0.807656582,0.755527376
guinea,2,2,0.700429651,0.672650722,0.647901144,0.632644971,0.629802206,0.645126771,0.679633107,0.670018668,0.672191184,0.669084553,0.666648434,0.67566432,0.684937942,0.684087643,0.686828603,0.69239532,0.70419203,0.727828652,0.787783241,0.857864162,0.868482808,0.846712624,0.807656582,0.755527376
guinea,2,3,0.700429651,0.672650722,0.647901144,0.632644971,0.629802206,0.645126771,0.679633107,0.670018668,0.672191184,0.669084553,0.666648434,0.67566432,0.684937942,0.684087643,0.686828603,0.69239532,0.70419203,0.727828652,0.787783241,0.857864162,0.868482808,0.846712624,0.807656582,0.755527376
guinea,3,1,0.684445662,0.657300655,0.633115869,0.618207847,0.615429954,0.630404809,0.664123701,0.654728665,0.656851604,0.653815868,0.651435341,0.660245483,0.669307478,0.668476583,0.671154993,0.676594676,0.688122182,0.711219411,0.76980582,0.838287476,0.848663802,0.827390419,0.789225646,0.738286043
guinea,3,2,0.684445662,0.657300655,0.633115869,0.618207847,0.615429954,0.630404809,0.664123701,0.654728665,0.656851604,0.653815868,0.651435341,0.660245483,0.669307478,0.668476583,0.671154993,0.676594676,0.688122182,0.711219411,0.76980582,0.838287476,0.848663802,0.827390419,0.789225646,0.738286043
guinea,3,3,0.684445662,0.657300655,0.633115869,0.618207847,0.615429954,0.630404809,0.664123701,0.654728665,0.656851604,0.653815868,0.651435341,0.660245483,0.669307478,0.668476583,0.671154993,0.676594676,0.688122182,0.711219411,0.76980582,0.838287476,0.848663802,0.827390419,0.789225646,0.738286043
guinea,4,1,0.714635722,0.686293382,0.661041835,0.645476237,0.642575815,0.658211193,0.693417384,0.683607945,0.685824524,0.682654885,0.680169356,0.689368102,0.69882981,0.697962266,0.700758818,0.706438439,0.718474409,0.742590427,0.803761012,0.87526331,0.886097322,0.863885596,0.824037422,0.770850936
guinea,4,2,0.714635722,0.686293382,0.661041835,0.645476237,0.642575815,0.658211193,0.693417384,0.683607945,0.685824524,0.682654885,0.680169356,0.689368102,0.69882981,0.697962266,0.700758818,0.706438439,0.718474409,0.742590427,0.803761012,0.87526331,0.886097322,0.863885596,0.824037422,0.770850936
guinea,4,3,0.714635722,0.686293382,0.661041835,0.645476237,0.642575815,0.658211193,0.693417384,0.683607945,0.685824524,0.682654885,0.680169356,0.689368102,0.69882981,0.697962266,0.700758818,0.706438439,0.718474409,0.742590427,0.803761012,0.87526331,0.886097322,0.863885596,0.824037422,0.770850936
guinea,5,1,0.685124834,0.657952891,0.633744107,0.618821291,0.616040642,0.631030356,0.664782707,0.655378349,0.657503395,0.654464646,0.652081757,0.660900641,0.669971628,0.669139909,0.671820977,0.677266058,0.688805003,0.71192515,0.770569695,0.839119305,0.849505927,0.828211434,0.790008791,0.739018641
guinea,5,2,0.685124834,0.657952891,0.633744107,0.618821291,0.616040642,0.631030356,0.664782707,0.655378349,0.657503395,0.654464646,0.652081757,0.660900641,0.669971628,0.669139909,0.671820977,0.677266058,0.688805003,0.71192515,0.770569695,0.839119305,0.849505927,0.828211434,0.790008791,0.739018641
guinea,5,3,0.685124834,0.657952891,0.633744107,0.618821291,0.616040642,0.631030356,0.664782707,0.655378349,0.657503395,0.654464646,0.652081757,0.660900641,0.669971628,0.669139909,0.671820977,0.677266058,0.688805003,0.71192515,0.770569695,0.839119305,0.849505927,0.828211434,0.790008791,0.739018641
guinea,6,1,0.660515009,0.634319088,0.610979888,0.596593103,0.593912335,0.608363616,0.640903575,0.631837024,0.633885737,0.630956141,0.628658846,0.637160954,0.645906109,0.645104266,0.647689029,0.652938521,0.664062985,0.686352652,0.742890672,0.808977966,0.818991498,0.798461908,0.761631512,0.712472938
guinea,6,2,0.660515009,0.634319088,0.610979888,0.596593103,0.593912335,0.608363616,0.640903575,0.631837024,0.633885737,0.630956141,0.628658846,0.637160954,0.645906109,0.645104266,0.647689029,0.652938521,0.664062985,0.686352652,0.742890672,0.808977966,0.818991498,0.798461908,0.761631512,0.712472938
guinea,6,3,0.660515009,0.634319088,0.610979888,0.596593103,0.593912335,0.608363616,0.640903575,0.631837024,0.633885737,0.630956141,0.628658846,0.637160954,0.645906109,0.645104266,0.647689029,0.652938521,0.664062985,0.686352652,0.742890672,0.808977966,0.818991498,0.798461908,0.761631512,0.712472938
guinea,7,1,0.700846279,0.673050826,0.648286527,0.633021279,0.630176823,0.645510504,0.680037364,0.670417206,0.672591015,0.669482536,0.667044967,0.676066217,0.685345354,0.68449455,0.68723714,0.692807168,0.704610895,0.728261577,0.788251828,0.858374435,0.868999396,0.847216263,0.80813699,0.755976777
guinea,7,2,0.700846279,0.673050826,0.648286527,0.633021279,0.630176823,0.645510504,0.680037364,0.670417206,0.672591015,0.669482536,0.667044967,0.676066217,0.685345354,0.68449455,0.68723714,0.692807168,0.704610895,0.728261577,0.788251828,0.858374435,0.868999396,0.847216263,0.80813699,0.755976777
guinea,7,3,0.700846279,0.673050826,0.648286527,0.633021279,0.630176823,0.645510504,0.680037364,0.670417206,0.672591015,0.669482536,0.667044967,0.676066217,0.685345354,0.68449455,0.68723714,0.692807168,0.704610895,0.728261577,0.788251828,0.858374435,0.868999396,0.847216263,0.80813699,0.755976777
guinea,8,1,0.703951015,0.676032429,0.651158424,0.635825552,0.632968495,0.648370104,0.683049918,0.673387142,0.675570581,0.672448332,0.669999965,0.679061178,0.688381422,0.687526849,0.690281588,0.695876291,0.707732309,0.731487762,0.79174377,0.862177018,0.872849048,0.850969415,0.811717022,0.75932574
guinea,8,2,0.703951015,0.676032429,0.651158424,0.635825552,0.632968495,0.648370104,0.683049918,0.673387142,0.675570581,0.672448332,0.669999965,0.679061178,0.688381422,0.687526849,0.690281588,0.695876291,0.707732309,0.731487762,0.79174377,0.862177018,0.872849048,0.850969415,0.811717022,0.75932574
guinea,8,3,0.703951015,0.676032429,0.651158424,0.635825552,0.632968495,0.648370104,0.683049918,0.673387142,0.675570581,0.672448332,0.669999965,0.679061178,0.688381422,0.687526849,0.690281588,0.695876291,0.707732309,0.731487762,0.79174377,0.862177018,0.872849048,0.850969415,0.811717022,0.75932574
