,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Guinea,PV,1,1,0,0,0,0,0,0,0,0.076,0.309,0.534,0.696,0.794,0.844,0.818,0.706,0.46,0.281,0.157,0.003,0,0,0,0,0
Guinea,PV,1,2,0,0,0,0,0,0,0,0.11,0.361,0.618,0.775,0.857,0.889,0.867,0.796,0.67,0.486,0.236,0.011,0,0,0,0,0
Guinea,PV,1,3,0,0,0,0,0,0,0,0.092,0.299,0.492,0.636,0.722,0.746,0.728,0.659,0.518,0.345,0.149,0.012,0,0,0,0,0
Guinea,PV,1,4,0,0,0,0,0,0,0,0.05,0.263,0.487,0.647,0.741,0.796,0.774,0.698,0.591,0.396,0.152,0.002,0,0,0,0,0
Guinea,PV,6,1,0,0,0,0,0,0,0,0.071,0.225,0.371,0.502,0.595,0.635,0.625,0.565,0.43,0.237,0.1,0.012,0,0,0,0,0
Guinea,PV,6,2,0,0,0,0,0,0,0.004,0.083,0.224,0.361,0.441,0.496,0.496,0.463,0.384,0.289,0.193,0.087,0.013,0,0,0,0,0
Guinea,PV,6,3,0,0,0,0,0,0,0.003,0.078,0.211,0.352,0.459,0.537,0.574,0.566,0.508,0.407,0.279,0.142,0.029,0,0,0,0,0
Guinea,PV,6,4,0,0,0,0,0,0,0,0.103,0.335,0.507,0.602,0.66,0.69,0.7,0.639,0.533,0.353,0.127,0.007,0,0,0,0,0
Guinea,PV,7,1,0,0,0,0,0,0,0,0.071,0.225,0.371,0.502,0.595,0.635,0.625,0.565,0.43,0.237,0.1,0.012,0,0,0,0,0
Guinea,PV,7,2,0,0,0,0,0,0,0.004,0.083,0.224,0.361,0.441,0.496,0.496,0.463,0.384,0.289,0.193,0.087,0.013,0,0,0,0,0
Guinea,PV,7,3,0,0,0,0,0,0,0.003,0.078,0.211,0.352,0.459,0.537,0.574,0.566,0.508,0.407,0.279,0.142,0.029,0,0,0,0,0
Guinea,PV,7,4,0,0,0,0,0,0,0,0.103,0.335,0.507,0.602,0.66,0.69,0.7,0.639,0.533,0.353,0.127,0.007,0,0,0,0,0
Guinea,PV,8,1,0,0,0,0,0,0,0,0.071,0.225,0.371,0.502,0.595,0.635,0.625,0.565,0.43,0.237,0.1,0.012,0,0,0,0,0
Guinea,PV,8,2,0,0,0,0,0,0,0.004,0.083,0.224,0.361,0.441,0.496,0.496,0.463,0.384,0.289,0.193,0.087,0.013,0,0,0,0,0
Guinea,PV,8,3,0,0,0,0,0,0,0.003,0.078,0.211,0.352,0.459,0.537,0.574,0.566,0.508,0.407,0.279,0.142,0.029,0,0,0,0,0
Guinea,PV,8,4,0,0,0,0,0,0,0,0.103,0.335,0.507,0.602,0.66,0.69,0.7,0.639,0.533,0.353,0.127,0.007,0,0,0,0,0
Guinea,PV,9,1,0,0,0,0,0,0,0,0.071,0.225,0.371,0.502,0.595,0.635,0.625,0.565,0.43,0.237,0.1,0.012,0,0,0,0,0
Guinea,PV,9,2,0,0,0,0,0,0,0.004,0.083,0.224,0.361,0.441,0.496,0.496,0.463,0.384,0.289,0.193,0.087,0.013,0,0,0,0,0
Guinea,PV,9,3,0,0,0,0,0,0,0.003,0.078,0.211,0.352,0.459,0.537,0.574,0.566,0.508,0.407,0.279,0.142,0.029,0,0,0,0,0
Guinea,PV,9,4,0,0,0,0,0,0,0,0.103,0.335,0.507,0.602,0.66,0.69,0.7,0.639,0.533,0.353,0.127,0.007,0,0,0,0,0
Guinea,PV,2,1,0,0,0,0,0,0,0,0.076,0.309,0.534,0.696,0.794,0.844,0.818,0.706,0.46,0.281,0.157,0.003,0,0,0,0,0
Guinea,PV,2,2,0,0,0,0,0,0,0,0.11,0.361,0.618,0.775,0.857,0.889,0.867,0.796,0.67,0.486,0.236,0.011,0,0,0,0,0
