,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline
,1,2,3,4,5,6,7,8,9,10,11,12
Fello Sounga,0.302,0.302,0.302,0.302,0.302,0.302,0.444,0.333,0.206,0.54,0.302,0.286
Farankonedou,0.183,0.183,0.183,0.183,0.183,0.183,0.35,0.325,0.675,0.5,0.2,0.225
Baneah,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.8,1,0.4,0.4
Poudalde,0.306,0.306,0.306,0.306,0.306,0.306,0.556,0.378,0.911,0.889,0.4,0.311
Nzebela,0.358,0.358,0.358,0.358,0.358,0.358,0.507,0.439,0.281,0.61,0.491,0.407
Tiopo,0.606,0.606,0.606,0.606,0.606,0.606,0.505,0.267,0.21,0,0.476,0.61
Niagara,0.121,0.121,0.121,0.121,0.121,0.121,0.156,0.273,0.208,0.052,0.364,0.221
Digan,0.142,0.142,0.142,0.142,0.142,0.142,0.161,0.274,0.21,0.274,0.403,0.226
Bonkon-Diaria,0.188,0.188,0.188,0.188,0.188,0.188,0.421,0.322,0.923,0.689,0.311,0.202
Grand Chutes,0.494,0.494,0.494,0.494,0.494,0.494,0.893,0.893,0.893,0.893,0.893,0.679
Diallol,0.317,0.317,0.317,0.317,0.317,0.317,0.485,0.347,0.446,0.762,0.347,0.307
Amaria,0.406,0.406,0.406,0.406,0.406,0.406,0.488,0.453,0.773,0.95,0.456,0.391
Fetore,0.135,0.135,0.135,0.135,0.135,0.135,0.448,0.417,0.948,0.604,0.271,0.156
Kaleta,0.525,0.525,0.525,0.525,0.525,0.525,0.662,0.45,0.45,0.946,0.462,0.45
Koukoutamba,0.129,0.129,0.129,0.129,0.129,0.129,0.157,0.275,0.211,0.043,0.382,0.229
Donkea,0.544,0.544,0.544,0.544,0.544,0.544,0.933,0.933,0.933,0.933,0.933,0.733
Fomi,0.415,0.415,0.415,0.415,0.415,0.415,0.433,0.378,0.211,0.111,0.267,0.411
Garafiri,0.424,0.424,0.424,0.424,0.424,0.424,0.533,0.373,0.213,0.653,0.387,0.387
Guozoguezia,0.527,0.527,0.527,0.527,0.527,0.527,0.593,0.42,0.296,0.667,0.63,0.556
Hakkunde-Mitti,0.245,0.245,0.245,0.245,0.245,0.245,0.468,0.339,0.645,0.645,0.29,0.226
Korafindi,0.426,0.426,0.426,0.426,0.426,0.426,0.489,0.311,0.259,0.889,0.393,0.393
Souapiti,0.496,0.496,0.496,0.496,0.496,0.496,0.577,0.362,0.366,0.945,0.463,0.459
Kogebedou,0.358,0.358,0.358,0.358,0.358,0.358,0.195,0.207,0.207,0.22,0.22,0.378
Diareguela,0.232,0.232,0.232,0.232,0.232,0.232,0.299,0.273,0.208,0.052,0.286,0.273
Kouravel,0.203,0.203,0.203,0.203,0.203,0.203,0.46,0.34,0.9,0.64,0.29,0.2
Kassa,0.168,0.168,0.168,0.168,0.168,0.168,0.298,0.298,0.21,0.073,0.29,0.29
Morisanako,0.352,0.352,0.352,0.352,0.352,0.352,0.208,0.438,0.208,0.521,0.24,0.354
Grand Kinkon,0.084,0.084,0.084,0.084,0.084,0.084,0.507,0.856,0.953,0.628,0.288,0.126
Boureya,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.306,0.21,0.006,0.497,0.312
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1,1,1,1,1,1,1,1,1,1,1,1
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Te_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BESS,1,1,1,1,1,1,1,1,1,1,1,1
