,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,low,low,low,low,low,low,low,low,low,low,low,low,full,full,full,full,full,full,full,full,full,full,full,full
,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Amaria_IPP,0.453629032,0.435267857,0.416666667,0.409722222,0.433467742,0.447916667,0.581317204,0.688844086,0.690972222,0.688844086,0.479166667,0.460349462,0.324020737,0.310905612,0.297619048,0.29265873,0.309619816,0.319940476,0.415226575,0.49203149,0.493551587,0.49203149,0.342261905,0.328821045,0.65,0.62,0.6,0.59,0.62,0.64,0.83,0.98,0.99,0.98,0.68,0.66
Balassa,0.319892473,0.3125,0.282258065,0.272222222,0.301075269,0.311111111,0.432795699,0.432795699,0.466666667,0.432795699,0.35,0.319892473,0.228494624,0.223214286,0.201612903,0.194444444,0.215053763,0.222222222,0.309139785,0.309139785,0.333333333,0.309139785,0.25,0.228494624,0.46,0.45,0.4,0.39,0.43,0.44,0.62,0.62,0.67,0.62,0.5,0.46
Banéah,0.188172043,0.208333333,0.188172043,0.194444444,0.150537634,0.136111111,0.169354839,0.169354839,0.194444444,0.169354839,0.175,0.188172043,0.134408602,0.148809524,0.134408602,0.138888889,0.107526882,0.097222222,0.120967742,0.120967742,0.138888889,0.120967742,0.125,0.134408602,0.27,0.3,0.27,0.28,0.22,0.19,0.24,0.24,0.28,0.24,0.25,0.27
Bonkon_Diaria,0.156810036,0.143678161,0.135181065,0.139687101,0.156810036,0.212324393,0.264954888,0.394728711,0.391123883,0.394728711,0.206736909,0.194660734,0.112007168,0.102627258,0.096557904,0.099776501,0.112007168,0.151660281,0.189253492,0.281949079,0.279374202,0.281949079,0.147669221,0.139043382,0.22,0.21,0.19,0.2,0.22,0.3,0.38,0.56,0.56,0.56,0.3,0.28
Boureya,0.517473118,0.501302083,0.493951613,0.498263889,0.517473118,0.650173611,0.405745968,0.405745968,0.407118056,0.405745968,0.407118056,0.629200269,0.369623656,0.358072917,0.352822581,0.355902778,0.369623656,0.464409722,0.289818548,0.289818548,0.290798611,0.289818548,0.290798611,0.449428763,0.74,0.72,0.71,0.71,0.74,0.93,0.58,0.58,0.58,0.58,0.58,0.9
Diaoya,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diaraguela,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Digan,0.161868424,0.145609319,0.141634871,0.146356033,0.161868424,0.209080048,0.394554284,0.556422708,0.554062127,0.556422708,0.282258065,0.212452307,0.115620303,0.104006656,0.101167765,0.104540024,0.115620303,0.149342891,0.281824488,0.397444791,0.395758662,0.397444791,0.201612903,0.151751648,0.23,0.21,0.2,0.21,0.23,0.3,0.56,0.79,0.79,0.79,0.4,0.3
Donkea,0.501792115,0.486111111,0.501792115,0.518518519,0.376344086,0.388888889,0.4390681,0.501792115,0.518518519,0.501792115,0.453703704,0.501792115,0.358422939,0.347222222,0.358422939,0.37037037,0.268817204,0.277777778,0.313620072,0.358422939,0.37037037,0.358422939,0.324074074,0.358422939,0.72,0.69,0.72,0.74,0.54,0.56,0.63,0.72,0.74,0.72,0.65,0.72
Fello,0.358422939,0.330687831,0.313620072,0.308641975,0.313620072,0.277777778,0.418160096,0.418160096,0.401234568,0.388291517,0.401234568,0.134408602,0.256016385,0.236205593,0.224014337,0.220458554,0.224014337,0.198412698,0.298685783,0.298685783,0.28659612,0.277351084,0.28659612,0.096006144,0.51,0.47,0.45,0.44,0.45,0.4,0.6,0.6,0.57,0.55,0.57,0.19
Fetore,0.121401318,0.109206989,0.106226153,0.101926523,0.113813736,0.148969534,0.280740548,0.402141866,0.399865591,0.402141866,0.203853047,0.151751648,0.086715227,0.078004992,0.075875824,0.072804659,0.081295525,0.10640681,0.200528963,0.28724419,0.28561828,0.28724419,0.145609319,0.108394034,0.17,0.16,0.15,0.15,0.16,0.21,0.4,0.57,0.57,0.57,0.29,0.22
Fomi_IPP,0.156810036,0.104166667,0.083632019,0.075617284,0.125448029,0.302469136,0.648148148,0.648148148,0.648148148,0.648148148,0.648148148,0.292712067,0.112007168,0.074404762,0.059737157,0.054012346,0.089605735,0.216049383,0.462962963,0.462962963,0.462962963,0.462962963,0.462962963,0.209080048,0.22,0.15,0.12,0.11,0.18,0.43,0.93,0.93,0.93,0.93,0.93,0.42
G-Energie_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Garafiri,0.326164875,0.305555556,0.26344086,0.233333333,0.213261649,0.207407407,0.200716846,0.238351254,0.324074074,0.363799283,0.362962963,0.363799283,0.23297491,0.218253968,0.188172043,0.166666667,0.152329749,0.148148148,0.143369176,0.170250896,0.231481481,0.259856631,0.259259259,0.259856631,0.47,0.44,0.38,0.33,0.3,0.3,0.29,0.34,0.46,0.52,0.52,0.52
Gozoguézia,0.400736758,0.405092593,0.400736758,0.396090535,0.45300677,0.612139918,0.609816806,0.609816806,0.612139918,0.609816806,0.522119342,0.540123457,0.286240542,0.289351852,0.286240542,0.282921811,0.323576264,0.437242798,0.435583433,0.435583433,0.437242798,0.435583433,0.372942387,0.385802469,0.57,0.58,0.57,0.57,0.65,0.87,0.87,0.87,0.87,0.87,0.75,0.77
GrandesChutes1,0.313620072,0.347222222,0.313620072,0.324074074,0.313620072,0.504115226,0.487853445,0.45300677,0.504115226,0.487853445,0.468106996,0.313620072,0.224014337,0.248015873,0.224014337,0.231481481,0.224014337,0.360082305,0.348466746,0.323576264,0.360082305,0.348466746,0.33436214,0.224014337,0.45,0.5,0.45,0.46,0.45,0.72,0.7,0.65,0.72,0.7,0.67,0.45
GrandesChutes2,0.313620072,0.347222222,0.313620072,0.324074074,0.313620072,0.504115226,0.487853445,0.45300677,0.504115226,0.487853445,0.468106996,0.313620072,0.224014337,0.248015873,0.224014337,0.231481481,0.224014337,0.360082305,0.348466746,0.323576264,0.360082305,0.348466746,0.33436214,0.224014337,0.45,0.5,0.45,0.46,0.45,0.72,0.7,0.65,0.72,0.7,0.67,0.45
GrandKinkon,0.249814609,0.229885057,0.19790508,0.197796935,0.19790508,0.284961686,0.188172043,0.188172043,0.187739464,0.188172043,0.187739464,0.298479792,0.178439006,0.164203612,0.141360771,0.141283525,0.141360771,0.203544061,0.134408602,0.134408602,0.134099617,0.134408602,0.134099617,0.213199852,0.36,0.33,0.28,0.28,0.28,0.41,0.27,0.27,0.27,0.27,0.27,0.43
GT_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HFO_NEW_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HYD_CAND_GUI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaba,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaleta_IPP,0.384184588,0.355902778,0.341061828,0.336226852,0.344982079,0.396990741,0.458669355,0.584117384,0.583333333,0.584117384,0.409143519,0.235215054,0.274417563,0.25421627,0.243615591,0.240162037,0.246415771,0.283564815,0.327620968,0.417226703,0.416666667,0.417226703,0.29224537,0.168010753,0.55,0.51,0.49,0.48,0.49,0.57,0.66,0.83,0.83,0.83,0.58,0.34
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Karpowership_GU,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kéno,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kinkon,0.313620072,0,0,0,0,0.648148148,0.627240143,0.627240143,0.648148148,0.627240143,0.648148148,0.627240143,0.224014337,0,0,0,0,0.462962963,0.448028674,0.448028674,0.462962963,0.448028674,0.462962963,0.448028674,0.448028674,0,0,0,0,0.925925926,0.896057348,0.896057348,0.925925926,0.896057348,0.925925926,0.896057348
Kipé_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kogbedou_Franko,0.413408276,0.331439394,0.327875529,0.324074074,0.399152819,0.55976431,0.641495601,0.641495601,0.648148148,0.641495601,0.486111111,0.527451939,0.295291626,0.236742424,0.234196807,0.231481481,0.285109156,0.39983165,0.458211144,0.458211144,0.462962963,0.458211144,0.347222222,0.376751385,0.59,0.47,0.47,0.46,0.57,0.8,0.92,0.92,0.93,0.92,0.69,0.75
Koukoutamba_IPP,0.076804916,0.056689342,0.054403482,0.056216931,0.076804916,0.102513228,0.272017409,0.547235023,0.638227513,0.476830517,0.201719577,0.083205325,0.054860654,0.040492387,0.03885963,0.040154951,0.054860654,0.073223734,0.194298149,0.390882159,0.455876795,0.340593227,0.144085412,0.059432375,0.11,0.08,0.08,0.08,0.11,0.15,0.39,0.78,0.91,0.68,0.29,0.12
