,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Guinea,Peak,513,543.78,576.4068,610.991208,647.6506805,686.5097213,727.7003046,771.3623229,817.6440622,866.702706,918.7048683,973.8271604,1032.25679,1094.192197,1159.843729,1229.434353,1303.200414,1381.392439,1464.275985,1552.132545,1645.260497,1743.976127,1848.614695,1959.531576,2077.103471,2201.729679,2333.83346,2473.863468,2622.295276
Guinea,Energy,2821.5,2990.79,3170.2374,3360.451644,3562.078743,3775.803467,4002.351675,4242.492776,4497.042342,4766.864883,5052.876776,5356.049382,5677.412345,6018.057086,6379.140511,6761.888942,7167.602278,7597.658415,8053.51792,8536.728995,9048.932735,9591.868699,10167.38082,10777.42367,11424.06909,12109.51324,12836.08403,13606.24907,14422.62402
