Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit,Error
GT_Guinea,2024,2054,5,0,0.3,9,0.85,0.9,0,0.2,26342.72,2.5,0,0.89,30,200,1000,0,1,12,7,3,9.7,0,200,,,0,1,32703.06
HFO_NEW_Guinea,2026,2054,5,1000,0.3,9.7,0.85,0.9,0,0.2,26342.72,2.5,0,0.89,30,200,1000,0,1,7,,3,9,0,200,,,0,1,32693.06
GrandesChutes1,1954,2060,5,10,0,0,1,1,0,0.20,19769,0,0,0.00,0,10,10,0,4,3,,1,0,0,10,,,1,1,23827.9025
Donkea,1970,2060,5,15,0,0,1,1,0,0.10,19038,0,0,0.00,0,15,15,0,4,3,,1,0,0,15,,,1,1,23136.04351
Kinkon,1970,2060,5,3.4,0,0,1,1,0,0.15,20508,0,0,0.00,0,3.4,3.4,0,4,3,,1,0,0,3.4,,,1,1,24563.06018
Tinkisso,1974,2060,5,1.6,0,0,1,1,0,0.25,21739,0,0,0.00,0,1.6,1.6,0,4,3,,1,0,0,1.6,,,1,1,25793.43964
GrandesChutes2,1986,2060,5,17,0,0,1,1,0,0.20,19769,0,0,0.00,0,17,17,0,4,3,,1,0,0,17,,,1,1,23880.9025
Banéah,1989,2060,5,5,0,0,1,1,0,0.02,18906,0,0,0.00,0,5,5,0,4,3,,1,0,0,5,,,1,1,22985.37112
Garafiri,1999,2069,5,75,0,0,1,1,0,0.15,20015,0,0,0.00,0,75,75,0,4,3,,1,0,0,75,,,1,1,24323.18839
Kaleta_IPP,2015,2085,5,240,0,0,1,1,0,0.10,20015,0,0,0.00,0,240,240,0,4,3,,1,0,0,240,,,1,1,24858.13839
Souapiti_IPP,2021,2091,5,450,0,0,1,1,0,0.15,48000,0,0,3.20,50,450,450,0,4,3,,1,0,0,450,,,1,1,53530.35
Kéno,2024,2092,5,7,0,0,1,1,0,0.30,42000,0,0,2.80,50,7,7,0,4,3,,3,0,0,7,,,1,1,46207.1
Amaria_IPP,2025,2093,5,280,0,0,1,1,0,0.20,42000,0,0,2.80,50,280,280,0,4,3,,2,0,0,280,,,1,1,47027
Fomi_IPP,2025,2092,5,90,0,0,1,1,0,0.05,37500,0,0,2.50,50,90,90,0,4,3,,3,0,0,90,,,1,1,41956.55
Koukoutamba_IPP,2025,2092,5,294,0,0,1,1,0,0.13,45000,0,0,3.00,50,294,294,0,4,3,,3,0,0,294,,,1,1,50069.13
Kouravel_IPP,2025,2072,5,135,0,0,1,1,0,0.10,20556,0,0,1.37,50,135,135,0,4,3,,3,0,0,135,,,1,1,25126.02593
Balassa,2026,2076,5,50,0,0,1,1,0,0.10,17569,0,0,1.17,50,50,50,0,4,3,,3,0,0,50,,,1,1,22282.33204
Sambangalou_GUI_IPP,2026,2090,5,63,0,0,1,1,0,0.20,45000,0,0,3.00,50,63,63,0,4,3,,2,0,0,63,,,1,1,49374.2
Bonkon_Diaria,2027,2077,5,174,0,0,1,1,0,0.10,13690,0,0,0.91,50,174,174,0,4,3,,3,0,0,174,,,1,1,18383.66782
Boureya,2028,2078,5,160,0,0,1,1,0,0.15,43406,0,0,2.89,50,160,160,0,4,3,,3,0,0,160,,,1,1,48062.29375
Diaoya,2029,2079,5,149,0,0,1,1,0,0.15,41477,0,0,2.77,50,149,149,0,4,3,,3,0,0,149,,,1,1,46101.42517
Diaraguela,2030,2080,5,72,0,0,1,1,0,0.20,46042,0,0,3.07,50,72,72,0,4,3,,3,0,0,72,,,1,1,50437.93611
HYD_CAND_GUI,2030,2090,5,0,0,0,1,1,0,0.20,46000,0,0,4.00,50,100,437,0,4,3,,3,0,0,0,,,1,1,51165.2
Digan,2031,2081,5,93,0,0,1,1,0,0.10,37245,0,0,1.49,50,93,93,0,4,3,,3,0,0,93,,,1,1,41705.93462
Fello,2032,2082,5,63,0,0,1,1,0,0.12,43049,0,0,4.30,50,63,63,0,4,3,,3,0,0,63,,,1,1,47480.20537
Fetore,2033,2083,5,124,0,0,1,1,0,0.12,24758,0,0,0.99,50,124,124,0,4,3,,3,0,0,124,,,1,1,29314.17484
Gozoguézia,2034,2084,5,54,0,0,1,1,0,0.15,34375,0,0,2.29,50,48,54,0,4,3,,3,0,0,54,,,1,1,38706.44167
GrandKinkon,2035,2085,5,290,0,0,1,1,0,0.10,41580,0,0,2.77,50,290,290,0,4,3,,3,0,0,290,,,1,1,46639.872
Kaba,2036,2086,5,135,0,0,1,1,0,0.15,39630,0,0,1.59,50,135,135,0,4,3,,3,0,0,135,,,1,1,44225.36481
Kogbedou_Franko,2037,2087,5,90,0,0,1,1,0,0.15,35294,0,0,1.41,50,90,90,0,4,3,,3,0,0,90,,,1,1,39756.67941
Lafou,2038,2088,5,98,0,0,1,1,0,0.10,32653,0,0,1.31,50,98,98,0,4,3,,3,0,0,98,,,1,1,37141.46735
Morisakano,2039,2089,5,100,0,0,1,1,0,0.20,39000,0,0,2.60,50,100,100,0,4,3,,3,0,0,100,,,1,1,43497.8
Nzébéla,2040,2090,5,27,0,0,1,1,0,0.25,39167,0,0,1.96,50,48,27,0,4,3,,3,0,0,27,,,1,1,43509.875
Poudaldé,2041,2091,5,90,0,0,1,1,0,0.15,41580,0,0,2.77,50,90,90,0,4,3,,3,0,0,90,,,1,1,46051.922
OFSHORE_WIND_GUI,2035,2055,5,0,0,0,1,1,0,0,65000,7,0,4,30,100,5000,0,5,14,,3,0,1,76.4,,,1,1,79261
WIND_CAND_GUI,2030,2055,5,0,0,0,1,1,0,0,32000,0,0,1.6,30,100,200,0,5,5,,3,0,1,105,,,1,1,36637.6
