,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Senegal,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,5.30418,5.30418,5.30418,11.934405,13.26045,23.86881,44.70666,56.8305,70.09095,84.298575,87.1401,87.1401,84.48801,81.83592,79.18383,75.205695,72.553605,72.553605,68.57547,66.68112,62.702985,60.808635,59.48259,54.93615,54.93615,54.93615,54.93615,54.93615,54.93615
IvoryCoast,Gas,64.24,64.24,64.24,76.51979591,84.89041615,90.293664,91.976715,105.22439,107.116915,107.116915,112.79449,99.23786181,109.8897907,92.37485034,86.80486387,85.37374727,67.09549724,70.49674317,65.24574331,60.73888427,45.18066902,38.66641014,32.38603967,23.49606095,17.789735,15.89721,14.1939375,12.20678625,4.163555,3.78505,3.78505,3.406545,3.0658905
Ghana,Gas,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8
Burkina,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Burkina,Coal,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Guinea,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Guinea,Coal,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Gambia,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Gambia,Coal,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Mali,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Mali,Coal,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
SierraLeone,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
