Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit
DIESEL_HFO,2030,2050,5,0,0.3,9.7,0.85,0.9,0,0.2,15000,7,0,1.5,30,200,1000,0,10,7,,3,9,0,200,,,0,1
New_HFO,2030,2050,5,1000,0.3,9.7,0.85,0.9,0,0.2,26000,100,0,2.6,30,200,1000,0,1,7,,3,9,0,200,,,0,1
Bonkon-Diaria,2030,2080,5,183,0,0,1,1,0,0.1,62520,0,0,3.126,50,183,183,0,4,3,,3,0,0,183,,,1,1
Boureya,2030,2080,5,161,0,0,1,1,0,0.1,57800,0,0,2.89,50,157,157,0,4,3,,3,0,0,157,,,1,1
Diallol,2030,2080,5,101,0,0,1,1,0,0.1,66000,0,0,3.3,50,101,101,0,4,3,,3,0,0,101,,,1,1
Diareguela,2030,2080,5,77,0,0,1,1,0,0.1,70840,0,0,3.542,50,77,77,0,4,3,,3,0,0,77,,,1,1
Digan,2030,2080,5,62,0,0,1,1,0,0.1,65600,0,0,3.28,50,62,62,0,4,3,,3,0,0,62,,,1,1
Farankonedou,2030,2080,5,40,0,0,1,1,0,0.1,72220,0,0,3.611,50,40,40,0,4,3,,3,0,0,40,,,1,1
Fello Sounga,2030,2080,5,63,0,0,1,1,0,0.1,68260,0,0,3.413,50,63,63,0,4,3,,3,0,0,63,,,1,1
Fetore,2030,2080,5,96,0,0,1,1,0,0.1,61300,0,0,3.065,50,96,96,0,4,3,,3,0,0,96,,,1,1
Grand Kinkon,2030,2080,5,215,0,0,1,1,0,0.1,60340,0,0,3.017,50,215,215,0,4,3,,3,0,0,215,,,1,1
Guozoguezia,2030,2080,5,81,0,0,1,1,0,0.1,69620,0,0,3.481,50,81,81,0,4,3,,3,0,0,81,,,1,1
Hakkunde-Mitti,2030,2080,5,62,0,0,1,1,0,0.1,59540,0,0,2.977,50,62,62,0,4,3,,3,0,0,62,,,1,1
Kassa,2030,2080,5,124,0,0,1,1,0,0.1,66380,0,0,3.319,50,124,124,0,4,3,,3,0,0,124,,,1,1
Kogebedou,2030,2080,5,82,0,0,1,1,0,0.1,68180,0,0,3.409,50,82,82,0,4,3,,3,0,0,82,,,1,1
Korafindi,2030,2080,5,135,0,0,1,1,0,0.1,68120,0,0,3.406,50,135,135,0,4,3,,3,0,0,135,,,1,1
Kouravel,2030,2080,5,100,0,0,1,1,0,0.1,62820,0,0,3.141,50,100,100,0,4,3,,3,0,0,100,,,1,1
Morisanako,2030,2080,5,96,0,0,1,1,0,0.1,72400,0,0,3.62,50,96,96,0,4,3,,3,0,0,96,,,1,1
Niagara,2030,2080,5,55,0,0,1,1,0,0.1,67280,0,0,3.364,50,77,77,0,4,3,,3,0,0,77,,,1,1
Nzebela,2030,2080,5,45,0,0,1,1,0,0.1,68880,0,0,3.444,50,45,45,0,4,3,,3,0,0,45,,,1,1
Poudalde,2030,2080,5,90,0,0,1,1,0,0.1,68660,0,0,3.433,50,90,90,0,4,3,,3,0,0,90,,,1,1
Tiopo,2030,2080,5,105,0,0,1,1,0,0.1,67620,0,0,3.381,50,105,105,0,4,3,,3,0,0,105,,,1,1
PV,2030,2051,5,30000,0,0,1,1,0,0,12000,0,0,1,25,1000,30000,0,6,4,,3,0,1,0,,,1,1
BESS,2030,2050,5,30000,0,0,1,1,0,1,13874,0,0,0.3,20,1000,30000,0,17,10,,3,0,0,0,,,0,1
Amaria,2030,2080,5,300,0,0,1,1,0,0.1,71060,0,0,3.553,50,300,300,0,4,3,,1,0,0,300,,,1,1
