zone,type,fuel,Q1,Q2,Q3,Q4
Namibia,ST,Uranium,0.9,0.9,0.9,0.9
Namibia,ST,Biomass,0.85,0.85,0.85,0.85
Namibia,CCGT,LNG,0.85,0.85,0.85,0.85
Namibia,GT,LNG,0.85,0.85,0.85,0.85
Namibia,PV,PV,1,1,1,1
Namibia,CSP,CSP,1,1,1,1
Namibia,WIND,OnshoreWind,1,1,1,1
Namibia,WIND,OffshoreWind,1,1,1,1
Namibia,ST,Geothermal,0.85,0.85,0.85,0.85
Namibia,STORAGE,Battery,1,1,1,1
Namibia,STORAGE,Water,1,1,1,1
Namibia,STOHY,Water,1,1,1,1
Tanzania,ST,Coal,0.65,0.65,0.65,0.65
Tanzania,GT,Gas,0.85,0.85,0.85,0.85
Tanzania,CCGT,Gas,0.85,0.85,0.85,0.85
Tanzania,ICE,Diesel,0.85,0.85,0.85,0.85
Tanzania,ICE,HFO,0.85,0.85,0.85,0.85
Tanzania,GT,HFO,0.85,0.85,0.85,0.85
Tanzania,ST,Uranium,0.9,0.9,0.9,0.9
Tanzania,ST,Biomass,0.85,0.85,0.85,0.85
Tanzania,CCGT,LNG,0.85,0.85,0.85,0.85
Tanzania,GT,LNG,0.85,0.85,0.85,0.85
Tanzania,PV,PV,1,1,1,1
Tanzania,CSP,CSP,1,1,1,1
Tanzania,WIND,OnshoreWind,1,1,1,1
Tanzania,WIND,OffshoreWind,1,1,1,1
Tanzania,ST,Geothermal,0.85,0.85,0.85,0.85
Tanzania,STORAGE,Battery,1,1,1,1
Tanzania,STORAGE,Water,1,1,1,1
Tanzania,STOHY,Water,1,1,1,1
Zambia,ST,Coal,0.65,0.65,0.65,0.65
Zambia,GT,Gas,0.85,0.85,0.85,0.85
Zambia,CCGT,Gas,0.85,0.85,0.85,0.85
Zambia,ICE,Diesel,0.85,0.85,0.85,0.85
Zambia,ICE,HFO,0.85,0.85,0.85,0.85
Zambia,GT,HFO,0.85,0.85,0.85,0.85
Zambia,ST,Uranium,0.9,0.9,0.9,0.9
Zambia,ST,Biomass,0.85,0.85,0.85,0.85
Zambia,CCGT,LNG,0.85,0.85,0.85,0.85
Zambia,GT,LNG,0.85,0.85,0.85,0.85
Zambia,PV,PV,1,1,1,1
Zambia,CSP,CSP,1,1,1,1
Zambia,WIND,OnshoreWind,1,1,1,1
Zambia,WIND,OffshoreWind,1,1,1,1
Zambia,ST,Geothermal,0.85,0.85,0.85,0.85
Zambia,STORAGE,Battery,1,1,1,1
Zambia,STORAGE,Water,1,1,1,1
Zambia,STOHY,Water,1,1,1,1
Zimbabwe,ST,Coal,0.65,0.65,0.65,0.65
Zimbabwe,GT,Gas,0.85,0.85,0.85,0.85
Zimbabwe,CCGT,Gas,0.85,0.85,0.85,0.85
Zimbabwe,ICE,Diesel,0.85,0.85,0.85,0.85
Zimbabwe,ICE,HFO,0.85,0.85,0.85,0.85
Zimbabwe,GT,HFO,0.85,0.85,0.85,0.85
Zimbabwe,ST,Uranium,0.9,0.9,0.9,0.9
Zimbabwe,ST,Biomass,0.85,0.85,0.85,0.85
Zimbabwe,CCGT,LNG,0.85,0.85,0.85,0.85
Zimbabwe,GT,LNG,0.85,0.85,0.85,0.85
Zimbabwe,PV,PV,1,1,1,1
Zimbabwe,CSP,CSP,1,1,1,1
Zimbabwe,WIND,OnshoreWind,1,1,1,1
Zimbabwe,WIND,OffshoreWind,1,1,1,1
Zimbabwe,ST,Geothermal,0.85,0.85,0.85,0.85
Zimbabwe,STORAGE,Battery,1,1,1,1
Zimbabwe,STORAGE,Water,1,1,1,1
Zimbabwe,STOHY,Water,1,1,1,1
