Year,MW
2018,1155.61872
2019,1284.604992
2020,1388.886809
2021,1492.015899
2022,1629.960624
2023,1751.570011
2024,1899.864166
2025,2063.423551
2026,2201.261415
2027,2348.863416
2028,2506.956032
2029,2645.331616
2030,2791.589479
2031,2921.716113
2032,3058.186321
2033,3201.327361
2034,3360.106461
2035,3527.079532
2036,3683.732112
2037,3847.718843
2038,4019.41498
2039,4183.009078
2040,4353.548546
2041,4506.766025
2042,4665.375794
2043,4829.567628
2044,4999.53798
2045,5175.490218
2046,5338.920928
2047,5507.512425
2048,5681.427674
2049,5860.834788
2050,6045.907188
