zone,type,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Angola,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
Botswana,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.2,20
DRC,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
DRC_South,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
Eswatini,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.2,20
Lesotho,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
Malawi,STORAGE,Battery,0,,1,1,0,0,13860,0,0,,20
Mozambique,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
Namibia,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.2,20
Tanzania,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
Zambia,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
Zimbabwe,STORAGE,Battery,0,,1,1,0,0,13860,0,0,0.3,20
