,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Guinea,1,1,0.464052288,0.446895425,0.419253813,0.380991285,0.381399782,0.38208061,0.38793573,0.370915033,0.255718954,0.255446623,0.134259259,0.239106754,0.261165577,0.350217865,0.363562092,0.319444444,0.285947712,0.368464052,0.62037037,0.705882353,0.711328976,0.702069717,0.674291939,0.711056645
Guinea,1,2,0.677287582,0.678649237,0.660675381,0.646786492,0.63671024,0.63208061,0.657135076,0.659041394,0.566176471,0.553921569,0.54003268,0.535130719,0.548202614,0.506808279,0.608115468,0.628812636,0.611111111,0.626089325,0.729302832,0.812363834,0.836601307,0.833061002,0.773011983,0.689678649
Guinea,1,3,0.442810458,0.443082789,0.434640523,0.425925926,0.431372549,0.429466231,0.461873638,0.424019608,0.184912854,0.215413943,0.215958606,0.24754902,0.202342048,0.321623094,0.3041939,0.299019608,0.322984749,0.319989107,0.420479303,0.567265795,0.619008715,0.625816993,0.590413943,0.552015251
Guinea,1,4,0.622276688,0.628540305,0.647058824,0.602941176,0.601579521,0.611383442,0.676198257,0.526960784,0.499727669,0.493736383,0.500816993,0.528867102,0.52832244,0.518246187,0.554466231,0.491285403,0.462145969,0.612745098,0.693082789,0.795070806,0.821486928,0.737472767,0.744417211,0.686002179
Guinea,2,1,0.693627451,0.686546841,0.658496732,0.635620915,0.637527233,0.677832244,0.685457516,0.526960784,0.510348584,0.482026144,0.476579521,0.409858388,0.48583878,0.502723312,0.507352941,0.413943355,0.505718954,0.644335512,0.731753813,0.816721133,0.832788671,0.860430283,0.772739651,0.694172113
Guinea,2,2,0.666938998,0.669389978,0.656045752,0.647875817,0.591503268,0.590958606,0.596949891,0.57543573,0.512527233,0.517156863,0.512254902,0.508442266,0.509259259,0.576525054,0.573257081,0.580882353,0.578431373,0.580882353,0.686002179,0.838916122,0.858115468,0.826252723,0.732843137,0.70751634
Guinea,2,3,0.638888889,0.583061002,0.563453159,0.543300654,0.510348584,0.526416122,0.552287582,0.428376906,0.392156863,0.389705882,0.392429194,0.392701525,0.393246187,0.40577342,0.411492375,0.406045752,0.407679739,0.41040305,0.636437908,0.666666667,0.672385621,0.696623094,0.66040305,0.629084967
Guinea,2,4,0.666394336,0.65795207,0.629084967,0.626361656,0.590958606,0.59422658,0.578431373,0.571623094,0.507625272,0.494008715,0.496732026,0.493464052,0.49754902,0.500544662,0.5,0.512527233,0.588779956,0.616285403,0.661083878,0.764705882,0.78540305,0.767973856,0.725217865,0.68164488
Guinea,3,1,0.690359477,0.717864924,0.690087146,0.687091503,0.66503268,0.674836601,0.703431373,0.665577342,0.515522876,0.434095861,0.419662309,0.421840959,0.429466231,0.488834423,0.530501089,0.537037037,0.59912854,0.608115468,0.708605664,0.754901961,0.753540305,0.767701525,0.710239651,0.689814815
Guinea,3,2,0.587962963,0.587690632,0.545206972,0.534313725,0.539760349,0.519335512,0.416394336,0.409858388,0.417211329,0.382625272,0.39624183,0.398965142,0.413671024,0.400326797,0.397603486,0.41503268,0.405501089,0.413671024,0.635348584,0.678104575,0.684640523,0.681100218,0.685729847,0.669662309
