zone,Power,season,daytype,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
guinea,PV,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.212,0.368,0.491,0.57,0.606,0.598,0.547,0.453,0.32,0.159,0.029,0.0,0.0,0.0,0.0,0.0
guinea,PV,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.094,0.166,0.212,0.237,0.273,0.251,0.231,0.193,0.14,0.074,0.018,0.0,0.0,0.0,0.0,0.0
guinea,PV,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.1,0.22,0.324,0.413,0.478,0.493,0.468,0.396,0.275,0.124,0.026,0.0,0.0,0.0,0.0,0.0
guinea,PV,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.176,0.294,0.412,0.483,0.514,0.501,0.448,0.365,0.257,0.139,0.034,0.0,0.0,0.0,0.0,0.0
guinea,PV,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.087,0.152,0.197,0.212,0.205,0.209,0.183,0.136,0.084,0.038,0.007,0.0,0.0,0.0,0.0,0.0
guinea,PV,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.063,0.132,0.265,0.411,0.448,0.462,0.446,0.375,0.274,0.149,0.04,0.0,0.0,0.0,0.0,0.0
guinea,PV,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.16,0.209,0.279,0.418,0.493,0.48,0.426,0.349,0.245,0.128,0.034,0.0,0.0,0.0,0.0,0.0
guinea,PV,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.064,0.121,0.168,0.192,0.191,0.177,0.163,0.132,0.084,0.038,0.006,0.0,0.0,0.0,0.0,0.0
guinea,PV,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.092,0.164,0.226,0.266,0.283,0.272,0.247,0.165,0.113,0.056,0.009,0.0,0.0,0.0,0.0,0.0
guinea,PV,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.16,0.273,0.363,0.445,0.47,0.449,0.399,0.325,0.199,0.099,0.017,0.0,0.0,0.0,0.0,0.0
guinea,PV,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.089,0.165,0.201,0.206,0.201,0.189,0.165,0.144,0.105,0.048,0.005,0.0,0.0,0.0,0.0,0.0
guinea,PV,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.101,0.181,0.262,0.341,0.355,0.35,0.302,0.229,0.153,0.075,0.01,0.0,0.0,0.0,0.0,0.0
guinea,PV,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.125,0.215,0.304,0.409,0.481,0.505,0.474,0.396,0.286,0.146,0.029,0.0,0.0,0.0,0.0,0.0
guinea,PV,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.038,0.07,0.109,0.165,0.218,0.218,0.203,0.177,0.123,0.071,0.011,0.0,0.0,0.0,0.0,0.0
guinea,PV,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.09,0.182,0.284,0.352,0.373,0.315,0.24,0.162,0.092,0.034,0.004,0.0,0.0,0.0,0.0,0.0
guinea,PV,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.124,0.238,0.33,0.452,0.513,0.504,0.453,0.384,0.279,0.14,0.022,0.0,0.0,0.0,0.0,0.0
guinea,PV,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.05,0.111,0.174,0.232,0.277,0.274,0.236,0.173,0.091,0.035,0.002,0.0,0.0,0.0,0.0,0.0
guinea,PV,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.116,0.214,0.284,0.329,0.407,0.413,0.312,0.221,0.131,0.054,0.005,0.0,0.0,0.0,0.0,0.0
guinea,PV,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.19,0.363,0.511,0.582,0.628,0.613,0.531,0.419,0.311,0.151,0.011,0.0,0.0,0.0,0.0,0.0
guinea,PV,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.055,0.121,0.192,0.254,0.296,0.307,0.324,0.305,0.219,0.09,0.005,0.0,0.0,0.0,0.0,0.0
guinea,PV,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.091,0.167,0.236,0.285,0.342,0.408,0.459,0.391,0.267,0.119,0.007,0.0,0.0,0.0,0.0,0.0
guinea,PV,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.192,0.39,0.538,0.633,0.673,0.667,0.61,0.501,0.355,0.161,0.008,0.0,0.0,0.0,0.0,0.0
guinea,PV,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.055,0.13,0.194,0.235,0.266,0.28,0.264,0.238,0.144,0.049,0.001,0.0,0.0,0.0,0.0,0.0
guinea,PV,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.086,0.272,0.437,0.537,0.584,0.588,0.538,0.432,0.289,0.115,0.005,0.0,0.0,0.0,0.0,0.0
guinea,PV,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.206,0.408,0.555,0.647,0.686,0.676,0.618,0.512,0.353,0.151,0.007,0.0,0.0,0.0,0.0,0.0
