Source,Destination
Burkina,Benin
Niger,Benin
Nigeria,Benin
Togo,Benin
Benin,Burkina
Ghana,Burkina
IvoryCoast,Burkina
Mali,Burkina
Niger,Burkina
Togo,Burkina
Senegal,Gambia
Burkina,Ghana
IvoryCoast,Ghana
Togo,Ghana
GuineaBissau,Guinea
IvoryCoast,Guinea
Liberia,Guinea
Mali,Guinea
Senegal,Guinea
SierraLeone,Guinea
Guinea,GuineaBissau
Senegal,GuineaBissau
Burkina,IvoryCoast
Ghana,IvoryCoast
Guinea,IvoryCoast
Liberia,IvoryCoast
Mali,IvoryCoast
Guinea,Liberia
IvoryCoast,Liberia
SierraLeone,Liberia
Burkina,Mali
Guinea,Mali
IvoryCoast,Mali
Niger,Mali
Senegal,Mali
Mauritania_grid,Mali
Benin,Niger
Burkina,Niger
Mali,Niger
Nigeria,Niger
Benin,Nigeria
Niger,Nigeria
Gambia,Senegal
Guinea,Senegal
GuineaBissau,Senegal
Mali,Senegal
Mauritania_grid,Senegal
Guinea,SierraLeone
Liberia,SierraLeone
Benin,Togo
Burkina,Togo
Ghana,Togo
Mali,Mauritania_grid
Senegal,Mauritania_grid
Mauritania_Nema,Mauritania_grid
Mauritania_grid,Mauritania_Nema
