Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize,Error,HydroCapacityFactor,HydroCapacityFactorQ1,HydroCapacityFactorQ2,HydroCapacityFactorQ3,HydroCapacityFactorQ4
ExistingSmallHydro2000_HY_AGO,2000,2060,9,16,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50653.67183,0.38,,,,
AH_Cambambe_C1,1962,2060,9,195,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50794.67183,0.54,,,,
AH_Capanda,2004,2060,9,520,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,51161.67183,0.5,,,,
ExistingSmallHydro2012_HY_AGO,2012,2060,9,135.4,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50785.07183,0.38,,,,
AH_Matala,1959,2060,9,40.8,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50637.47183,0.38,,,,
LuandaOCGT_TH_AGO,1980,2019,9,125,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,14.32126767,0.25,0,0,21208.59254,,,,,
CT_Malembo,2012,2055,9,105,0.2,11.49838981,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,12.19838981,0.25,0,0,21252.34678,,,,,
CIF_TH_AGO,2000,2019,9,50,0.2,13.1746563,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,13.8746563,0.25,0,0,21152.69931,,,,,
MCT_Morro_Bento,2012,2062,9,25,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,10,11,,1,0,0,0,0,21180.02127,,,,,
RochaPinto_TH_AGO,2000,2019,9,40,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,14.32126767,0.25,0,0,21143.59254,,,,,
Francistown_TH_BWA,2000,2026,6,73,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12172.27545,,,,,
MorupuleA_TH_BWA,1989,2026,6,132,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,132,49210.8138,,,,,
MorupuleB_TH_BWA,2012,2055,6,390,0.5,10.34068347,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,390,49519.78068,,,,,
Orapa1and2_TH_BWA,2000,2031,6,90,0.2,10.41544727,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21182.81545,,,,,
SmallHydro_HY_ZAR,2000,2060,11,187,0,0,1,1,0,0.193435172,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50826.74344,0.38687345,,,,
Inga1_HY_ZAR,1974,2060,11,351,0,0,1,1,0,0.385,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50964.935,0.77,,,,
Inga2_HY_ZAR,1982,2060,11,1424,0,0,1,1,0,0.435,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,52045.985,0.87,,,,
