Plants,Zone,Type,fuel1,StYr,RetrYr,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize
Acacia_TH_ZAF,South_Africa,GT,HFO,1976,2026,171,,11.26101378,,,,,,,,0,,,,0,,1,0,0,0,0
Agg_THICE1_ZAR,DRC,ICE,HFO,2000,2050,20.7,,10.41544727,,,,,,,,0,,0,0,0,,1,0,0,0,0
Agg_THICE2_ZAR,DRC,ICE,HFO,2000,2050,124.4,,10.41544727,,,,,,,,0,,0,0,0,,1,0,0,0,0
AggDiesel_TH_MOZ,Mozambique,ICE,HFO,2000,2050,48,,13.62126767,,,,,,,,0,,,,0,,1,0,0,0,0
Aggreko_IPP_ICE_MWI,Malawi,ICE,Diesel,2000,2019,0,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,,1,0,0,0,0
Aggreko_TH_MOZ,Mozambique,ICE,HFO,2000,2018,55,,9.990938997,,,,,,,,0,,,,0,,1,0,0,0,0
AH_Cambambe_C1,Angola,ROR,Water,1962,2060,195,,,,,,0.121826136,,,,0,,,,0,,1,0,0,0,0
AH_Cambambe_C2,Angola,ROR,Water,2016,2060,700,,,,,,0.121826136,,,,0,,0,0,0,,1,0,0,0,0
AH_Capanda,Angola,ROR,Water,2004,2060,520,,,,,,0.121826136,,,,0,,,,0,,1,0,0,0,0
AH_Lauca,Angola,ROR,Water,2017,2060,2004,,,,,,0.225,,,,0,,0,0,0,,1,0,0,0,334
Ah_Lauca_ECO,Angola,ROR,Water,2023,2060,0,,,,,,0.225,,,,0,,0,0,0,,1,0,0,0,0
AH_Matala,Angola,ROR,Water,1959,2060,40.8,,,,,,0.121826136,,,,0,,,,0,,1,0,0,0,0
AngolaCCGTNG_TH_AGO,Angola,CCGT,LNG,2055,2105,0,0.45,6.4,1,1,0,0.07,6600,3.5,0,1.245080501,30,400,0,0,7,3,7.1,0.05,0,0
AngolaDiesel_TH_AGO,Angola,ICE,HFO,2024,2054,0,,10.41544727,,,,,,,,0.933810376,,0,0,0,,3,0,0.06,0,0
Anixas_TH_NAM,Namibia,ICE,HFO,2011,2061,22.5,,10.41544727,,,,,,,,0,,,,0,,1,0,0,0,0
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,54,,10.41544727,,,,,,,,0.933810376,,,,0,,2,0,0,0,0
Ankerlig(Atlantis)_TH_ZAF,South_Africa,GT,HFO,2007,2057,1327,,9.39286647,,,,,,,,0,,,,0,,1,0,0,0,0
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2027,1116,,9.584325504,,,,,,,,0,,,,0,,1,0,0.05,0,372
Arnot2_TH_ZAF,South_Africa,ST,Coal,1975,2028,1116,,9.584325504,,,,,,,,0,,,,0,,1,0,0.05,0,372
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,,10.10657267,,,,,,,,0,,,,0,,1,0,0.05,0,180
Avon_TH_ZAF,South_Africa,GT,HFO,2015,2065,837.5,,13.62107811,,,,,,,,0,,,,0,,1,0,0,0,0
Bagamoyo,Tanzania,CCGT,Gas,2028,2078,200,,,,,,,,,,1.2,,200,200,0,,3,0,0.05,0,0
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60,0.3,10,0.9,0.9,0,0.01,100000,10,0,4.26,30,60,60,0,,3,0,0,0,0
BatokaGorgeNorth_HY_ZMB,Zambia,ROR,Water,2035,2060,1200,,,,,,0.278070484,,,,1.699534884,,400,1200,0,,3,0,0,0,0
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ROR,Water,2035,2060,1200,,,,,,0.275342466,,,,1.699534884,,1200,1200,0,,3,0,0,0,0
Baynes(Angola)_HY_AGO,Angola,ROR,Water,2032,2072,430,,,,,,0.121826136,,,,3.115813953,,430,430,0,,3,0,0,0,0
Baynes(Namibia)_HY_NAM,Namibia,ROR,Water,2032,2060,300,,,,,,0.175,,,,3.115813953,,300,300,0,,3,0,0,0,0
Beloluane_TH_MOZ,Mozambique,GT,Gas,2016,2066,0,,13.62126767,,,,,,,,0,,,,0,7,1,14.32126767,0.4,0,0
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103,,10.10657267,,,,,,,,0,,,,0,,1,0,0.05,0,103
Boroma_HY_MOZ,Mozambique,ROR,Water,2037,2060,0,,,,,,0.406440138,,,,4.248837209,,0,0,0,,3,0,0,0,0
BotswanaCoal_TH_BWA,Bostwana,ST,Coal,2026,2076,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
BotswanaSolarCSP_REN_BWA,Bostwana,CSP,CSP,2027,2067,200,0,0,1,1,0,0.8,22000,3,0,1.915,30,200,200,0,,3,0,0,0,0
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,90
Busanga_HY_ZAR,DRC_South,ROR,Water,2022,2060,240,0,0,1,1,0,0.193435172,46500,0.55,0,0,50,0,0,0,,1,0,0,0,0
CaculoCabaca_HY_AGO,Angola,ROR,Water,2027,2067,2172,,,,,,0.24,,,,4.5,,2172,2172,0,,2,0,0,0,0
Cafula(Keve)_HY_AGO,Angola,ROR,Water,2055,2060,400,,,,,,0.272,,,,5.240232558,,400,400,0,,3,0,0,0,0
CahoraBassa_HY_MOZ,Mozambique,ROR,Water,2000,2060,700,,,,,,0.4,,,,0,,,,0,,1,0,0,0,0
Calengue(Catumbela)_HY_AGO,Angola,ROR,Water,2055,2060,180,,,,,,0.3415,,,,4.248837209,,180,180,0,,3,0,0,0,0
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2025,1481,,10.21557163,,,,,,,,0,,,,0,,1,0,0.05,0,185.125
CandidateCoal_TH_ZWE,Zimbabwe,ST,Coal,2025,2075,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
CandidateHydro_HY_ZMB,Zambia,ROR,Water,2029,2060,315,,,,,,0.278070484,,,,4.248837209,,315,315,0,,3,0,0,0,0
Cedar_Muloza,Malawi,ROR,Water,2022,2060,3.3,,,,,,0.325077306,,,,0,,0,0,0,,1,0,0,0,0
CF_Bafia_Farta,Angola,PV,PV,2022,2073,75.5,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
CF_Biopio,Angola,PV,PV,2022,2073,144.9,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
Chasombo_HY_MWI,Malawi,STOHY,Water,2055,2060,40.4,0,0,1,1,0,0.325077306,39715.55114,0.55,0,3.445,50,40.4,40.4,0,,3,0,0,0,0
ChishimbaFalls_HY_ZMB,Zambia,ROR,Water,2004,2060,6,,,,,,0.107375,,,,0,,,,0,,1,0,0,0,0
ChishimbaFallsExt_HY_ZMB,Zambia,ROR,Water,2026,2060,9,,,,,,0.107375,,,,4.251,,,,0,,2,0,0,0,0
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4,0.3,10,0.33,0.33,0,0.8,48000,3,0,2.723613596,30,4,4,0,,3,0,0,0,4
Chitipa_WIND_MWI,Malawi,WIND,OnshoreWind,2027,2057,0,,0,,,,,,,,,,0,108,0,,3,0,0,1,0
Chiweta_GT_MWI,Malawi,ST,Geothermal,2055,2060,12,0,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,12,12,0,,3,0,0,0,0
