,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Guinea,Peak,513,588,829,920.19,1021.4109,1133.766099,1258.48037,1396.913211,1550.573664,1721.136767,1910.461811,2120.61261,2353.879997,2424.496397,2497.231289,2572.148228,2649.312675,2728.792055,2810.655817,2894.975491,2981.824756,3071.279499,3163.417884,3258.32042,3356.070033,3456.752134,3560.454698,3667.268339,3777.286389
Guinea,Energy,2821.5,3234,4559.5,5061.045,5617.75995,6235.713545,6921.642034,7683.022658,8528.155151,9466.252217,10507.53996,11663.36936,12946.33999,13334.73019,13734.77209,14146.81525,14571.21971,15008.3563,15458.60699,15922.3652,16400.03616,16892.03724,17398.79836,17920.76231,18458.38518,19012.13674,19582.50084,20169.97586,20775.07514
