,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Burkina,23.27598221,26.60832699,29.42348799,32.30447238,36.14311907,39.68205239,44.3973555,49.67296439,53.98179485,58.66439039,63.75317288,68.02005387,72.57250925,76.78627647,81.24470704,85.96200684,90.97565495,96.28171908,101.375312,106.7383713,112.3851525,116.8269523,121.4443054,125.7183798,130.1428747,134.7230839,139.4644876,144.3727589,148.9317362,153.6346762,158.4861247,163.4907714,168.6534539
Benin,20.39254736,22.8600456,24.78847092,26.68789349,29.28015235,31.52375111,34.58572837,37.9451228,40.43703133,43.09258692,45.92253651,48.00954868,50.19140795,52.03642292,53.94925986,55.93241188,58.44238516,61.06499379,63.47846629,65.98732649,68.59534441,71.30643906,74.12468433,76.73340619,79.43393864,82.2295128,85.12347357,88.11928352,90.9018986,93.77238261,96.73351025,99.78814386,102.9392361
IvoryCoast,93.57138,102.2267327,111.6853956,121.1491037,131.4147231,142.5502039,154.6292544,167.7318281,176.7272683,186.205133,196.1912945,206.7130129,217.7990098,227.572765,237.7851184,248.4557524,259.6052323,271.2550464,281.9758629,293.1203984,304.7053995,316.7482748,329.2671208,340.8552489,352.8512061,365.2693454,378.124525,391.4321259,403.7927001,416.5435942,429.6971339,443.2660336,457.2634097
Gambia,5.3361,6.195805,6.9588673,7.760170818,8.818576484,9.834022828,11.17528009,12.69947074,14.01771067,15.47278754,17.07890537,18.51896697,20.08045188,21.59267795,23.21878729,24.96735628,26.86265344,28.90182452,30.93651104,33.11443936,35.44569369,36.84661428,38.30290347,39.65092435,41.04638706,42.49096128,43.9863754,45.53441868,46.97229647,48.4555793,49.98570098,51.56414056,53.19242383
GuineaBissau,4.9968576,5.696417664,6.281649626,6.877609371,7.67354034,8.40155311,9.373846817,10.45866199,11.33440346,12.28347393,13.31201349,14.16210949,15.06649204,15.89544337,16.77000321,17.69268093,18.66967804,19.70062533,20.68201827,21.71229962,22.79390476,23.69478854,24.63127796,25.49814375,26.39551776,27.32447368,28.286123,29.28161631,30.20626599,31.16011409,32.14408264,33.15912277,34.20621566
Guinea,25.58191507,28.83934559,31.44885101,34.0499185,37.56832645,40.67552272,44.87856017,49.51590117,53.06580114,56.87020097,60.94734629,64.09125485,67.39733883,70.28506065,73.29651045,76.43698952,79.70895535,83.12098112,86.23507135,89.46582958,92.8176267,96.48605891,100.2994786,103.8293883,107.4835286,111.2662716,115.1821434,119.2358291,123.0010369,126.8851418,130.8918983,135.0251794,139.2889805
Ghana,175.2819973,197.0461786,215.2781355,233.5198173,258.1321148,280.0050462,299.3923697,321.6685391,335.6917831,350.3263751,365.5989668,381.4661365,398.0219491,411.8455276,426.1492087,440.9496665,460.7373325,481.4129722,500.439863,520.2187539,540.7793661,562.1525957,584.3705597,604.9367216,626.2266828,648.2659165,671.0807924,694.6986081,716.6356774,739.2654715,762.6098652,786.6914241,811.5334262
Liberia,4.167095856,4.605335437,4.923297491,5.225679878,5.652284364,5.999440156,6.489211467,7.018965831,7.374262533,7.747544185,8.139721175,8.576253559,9.036197129,9.441697494,9.865394733,10.30810543,10.77068283,11.25401843,11.69881114,12.1611834,12.64183,13.1414732,13.66086381,14.14164015,14.63933678,15.1545492,15.68789385,16.24000887,16.75283299,17.28185097,17.82757419,18.39053017,18.97126306
Mali,25.55263179,28.2399169,30.18966022,32.04386901,34.65980772,36.78856703,39.79184471,43.04029848,45.21897785,47.50794094,49.91277025,52.58958683,55.4099608,57.89648903,60.4946005,63.20930252,66.04582709,69.00964103,71.73710992,74.5723766,77.51970156,80.58351368,83.76841689,86.71653738,89.76841314,92.9276957,96.1981651,99.58373442,102.7283719,105.9723102,109.318685,112.770731,116.3317851
Mauritania,9.924521225,10.38698562,10.871,11.79243343,13.03562473,14.14053325,15.6312678,17.27915975,18.55304942,19.9208554,21.38950158,23.41237226,25.62655201,27.81706042,30.19480928,32.77580354,36.28191952,40.16309417,44.2317166,48.7125007,53.6471995,59.0817957,65.06693016,67.35687615,69.72741381,72.18137946,74.72170924,77.35144262,79.79403274,82.31375453,84.91304365,87.59441266,90.36045346
