,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Guinea,Peak,513,588,664,711.1428571,758.2857143,805.4285714,852.5714286,899.7142857,946.8571429,994,1041.142857,1088.285714,1135.428571,1182.571429,1229.714286,1276.857143,1324,1371.142857,1418.285714,1465.428571,1512.571429,1559.714286,1606.857143,1654,1701.142857,1748.285714,1795.428571,1842.571429,1889.714286
Guinea,Energy,2821.5,3234,3652,3911.285714,4170.571429,4429.857143,4689.142857,4948.428571,5207.714286,5467,5726.285714,5985.571429,6244.857143,6504.142857,6763.428571,7022.714286,7282,7541.285714,7800.571429,8059.857143,8319.142857,8578.428571,8837.714286,9097,9356.285714,9615.571429,9874.857143,10134.14286,10393.42857
