q,d,Angola,Botswana,DRC,DRC_South,Eswatini,Lesotho,Malawi,Mozambique,Namibia,South_Africa,Tanzania,Zambia,Zimbabwe
Q1,d1,0.060583333,0.220875,0.104291667,0.104291667,0.251833333,0.26675,0.184333333,0.089833333,0.200083333,0.262166667,0.103541667,0.218083333,0.236833333
Q1,d2,0.162,0.224083333,0.127291667,0.127291667,0.205583333,0.269958333,0.135791667,0.191375,0.232041667,0.23075,0.141708333,0.128541667,0.097375
Q1,d3,0.12225,0.215833333,0.119416667,0.119416667,0.123375,0.234958333,0.132791667,0.222083333,0.205625,0.129291667,0.121375,0.193041667,0.2205
Q1,d4,0.161625,0.238875,0.147708333,0.147708333,0.247375,0.239791667,0.236208333,0.091125,0.184333333,0.241041667,0.181,0.202291667,0.239916667
Q2,d1,0.253625,0.215833333,0.14725,0.14725,0.198541667,0.239625,0.225791667,0.171875,0.234083333,0.191416667,0.247791667,0.255541667,0.244708333
Q2,d2,0.146333333,0.246458333,0.127708333,0.127708333,0.243833333,0.186416667,0.18125,0.097416667,0.257875,0.251791667,0.213791667,0.218791667,0.243791667
Q2,d3,0.214666667,0.24475,0.14075,0.14075,0.194958333,0.269166667,0.231541667,0.214666667,0.247333333,0.240791667,0.211416667,0.252875,0.25725
Q2,d4,0.261333333,0.231458333,0.187958333,0.187958333,0.205125,0.24875,0.249375,0.203041667,0.240375,0.21625,0.248916667,0.226375,0.226708333
Q3,d1,0.232166667,0.249208333,0.115125,0.115125,0.217166667,0.249916667,0.201416667,0.214125,0.238208333,0.218666667,0.25675,0.2435,0.224916667
Q3,d2,0.252833333,0.245291667,0.16875,0.16875,0.218375,0.255375,0.21,0.227833333,0.253041667,0.232541667,0.2475,0.25425,0.246125
Q3,d3,0.218625,0.246083333,0.132125,0.132125,0.215166667,0.265041667,0.256375,0.200166667,0.24875,0.2535,0.24075,0.230458333,0.226958333
Q3,d4,0.182583333,0.237583333,0.141375,0.141375,0.220208333,0.262,0.222416667,0.180041667,0.258333333,0.084958333,0.226708333,0.208208333,0.2335
Q4,d1,0.18375,0.253375,0.117208333,0.117208333,0.226833333,0.271666667,0.184833333,0.211583333,0.26025,0.252208333,0.22075,0.206208333,0.229916667
Q4,d2,0.136625,0.170875,0.082708333,0.082708333,0.16925,0.2805,0.191208333,0.194208333,0.241333333,0.195916667,0.191875,0.209791667,0.221208333
Q4,d3,0.198583333,0.226291667,0.15125,0.15125,0.166541667,0.271708333,0.207583333,0.2055,0.239666667,0.255041667,0.198833333,0.153958333,0.20975
Q4,d4,0.136375,0.180458333,0.09875,0.09875,0.166833333,0.245208333,0.1735,0.20575,0.216875,0.199541667,0.15,0.18825,0.206541667
