g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,,1,1985,2045,,1000,,,7000,,,,,,,,,,,,,,,,,,,,,,
Golomoti_BESS,Malawi,Storage,Battery,,1,2022,2042,,5,,,10,,,,,,,,,,,,,,,,,,,,,,
SA_PumpedStorage_ZAF,South_Africa,Storage,Water,,3,2037,2117,,1332,,1332,9324,,,,,,,,,,,,,,,,,,,,,,
Ingula_HY_ZAF,South_Africa,Storage,Water,,1,2017,2077,,1332,,,9324,,,,,,,,,,,,,,,,,,,,,,
SA_BESS_2026_Eskom,South_Africa,Storage,Battery,,2,2026,2056,,144,,144,576,,,,,,,,,,,,,,,,,,,,,,
SA_BESS_2027_Eskom,South_Africa,Storage,Battery,,2,2027,2057,,150,,150,600,,,,,,,,,,,,,,,,,,,,,,
New_BESS_2029_ZAF,South_Africa,Storage,Battery,,2,2029,2049,,2615,,2615,10640,,,,,,,,,,,,,,,,,,,,,,
New_BESS_2028_ZAF,South_Africa,Storage,Battery,,2,2028,2048,,615,,615,2460,,,,,,,,,,,,,,,,,,,,,,
SA_New_BESS2031__ZAF,South_Africa,Storage,Battery,,3,2031,2060,,1000,,200,4000,,,,,,,,,,,,,,,,,,,,,,
SA_New_BESS2035__ZAF,South_Africa,Storage,Battery,,3,2036,2066,,3500,,5000,14000,,,,,,,,,,,,,,,,,,,,,,
Komati_BESS,South_Africa,Storage,Battery,,2,2025,2045,,160,,160,480,,,,,,,,,,,,,,,,,,,,,,
Li-ion_storage_A_MWI,Malawi,Storage,Battery,,2,2025,2045,,30,,30,80,,,,,,,,,,,,,,,,,,,,,,
Li-ion_storage_C_MWI,Malawi,Storage,Battery,,3,2030,2060,,100,,100,200,,,,,,,,,,,,,,,,,,,,,,
Lithops_BESS_NAM,Namibia,Storage,Battery,,2,2026,2046,,45,,45,90,,,,,,,,,,,,,,,,,,,,,,
Monont'sa_HY_LSO,Lesotho,Storage,Water,,3,2040,2092,,4000,,2000,8400,,,,,,,,,,,,,,,,,,,,,,
New_BESS_AGO_NO,Angola_North,Storage,Battery,,3,2027,2060,,4000,,50,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_AGO_CE,Angola_Central,Storage,Battery,,3,2027,2060,,4000,,50,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_AGO_SO,Angola_South,Storage,Battery,,3,2027,2060,,4000,,50,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_AGO_EA,Angola_Eastern,Storage,Battery,,3,2027,2060,,4000,,50,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_BWA,Botswana,Storage,Battery,,3,2029,2060,,4000,,30,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_2031_DRC,DRC,Storage,Battery,,3,2031,2060,,900,,60,3600,,,,,,,,,,,,,,,,,,,,,,
New_BESS_DRC,DRC,Storage,Battery,,3,2027,2060,,100,,30,400,,,,,,,,,,,,,,,,,,,,,,
New_BESS_DRCSouth,DRC_South,Storage,Battery,,3,2027,2060,,4000,,30,16000,,,,,,,,,,,,,,,,,,,,,,
