country,fuel,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Angola,Biogas,8.44048,8.229468,8.018456,7.807444,7.596432,7.38542,7.174408,6.963396,6.752384,6.541372,6.33036,6.224854,6.119348,6.013842,5.908336,5.80283,5.697324,5.591818,5.486312,5.380806,5.2753,5.169794,5.064288,4.958782,4.853276,4.74777,4.6844664,4.6211628,4.5578592,4.4945556,4.431252,4.3890496,4.3468472,4.3046448,4.2624424,4.22024
Angola,Biomass,3.69271,3.798216,3.903722,4.009228,4.114734,4.22024,4.325746,4.431252,4.536758,4.642264,4.74777,4.853276,4.958782,5.064288,5.169794,5.2753,5.380806,5.486312,5.591818,5.697324,5.80283,5.908336,6.013842,6.119348,6.224854,6.33036,6.435866,6.541372,6.646878,6.752384,6.85789,6.963396,7.068902,7.174408,7.279914,7.38542
Angola,Coal,6.013842,5.9716396,5.9294372,5.8872348,5.8450324,5.80283,5.7606276,5.7184252,5.6762228,5.6340204,5.591818,5.5285144,5.4652108,5.4019072,5.3386036,5.2753,5.169794,5.064288,4.958782,4.853276,4.74777,4.642264,4.536758,4.431252,4.325746,4.22024,4.114734,4.009228,3.903722,3.798216,3.69271,3.6505076,3.6083052,3.5661028,3.5239004,3.481698
Angola,Diesel,15.8259,16.036912,16.247924,16.458936,16.669948,16.88096,16.986466,17.091972,17.197478,17.302984,17.40849,17.513996,17.619502,17.725008,17.830514,17.93602,17.93602,17.93602,17.93602,17.93602,17.93602,17.830514,17.725008,17.619502,17.513996,17.40849,17.302984,17.197478,17.091972,16.986466,16.88096,16.775454,16.669948,16.564442,16.458936,16.35343
Angola,HFO,12.13319,12.344202,12.555214,12.766226,12.977238,13.18825,13.293756,13.399262,13.504768,13.610274,13.71578,13.821286,13.926792,14.032298,14.137804,14.24331,14.24331,14.24331,14.24331,14.24331,14.24331,14.137804,14.032298,13.926792,13.821286,13.71578,13.610274,13.504768,13.399262,13.293756,13.18825,13.082744,12.977238,12.871732,12.766226,12.66072
Angola,LNG,11.07813,11.183636,11.289142,11.394648,11.500154,11.60566,11.711166,11.816672,11.922178,12.027684,12.13319,12.13319,12.13319,12.13319,12.13319,12.13319,12.027684,11.922178,11.816672,11.711166,11.60566,11.500154,11.394648,11.289142,11.183636,11.07813,10.972624,10.867118,10.761612,10.656106,10.5506,10.445094,10.339588,10.234082,10.128576,10.02307
Angola,Gas,6.85789,6.963396,7.068902,7.174408,7.279914,7.38542,7.490926,7.596432,7.701938,7.807444,7.91295,7.91295,7.91295,7.91295,7.91295,7.91295,7.91295,7.91295,7.91295,7.91295,7.91295,7.807444,7.701938,7.596432,7.490926,7.38542,7.279914,7.174408,7.068902,6.963396,6.85789,6.752384,6.646878,6.541372,6.435866,6.33036
Botswana,Biogas,8.44048,8.229468,8.018456,7.807444,7.596432,7.38542,7.174408,6.963396,6.752384,6.541372,6.33036,6.224854,6.119348,6.013842,5.908336,5.80283,5.697324,5.591818,5.486312,5.380806,5.2753,5.169794,5.064288,4.958782,4.853276,4.74777,4.6844664,4.6211628,4.5578592,4.4945556,4.431252,4.3890496,4.3468472,4.3046448,4.2624424,4.22024
Botswana,Biomass,3.69271,3.798216,3.903722,4.009228,4.114734,4.22024,4.325746,4.431252,4.536758,4.642264,4.74777,4.853276,4.958782,5.064288,5.169794,5.2753,5.380806,5.486312,5.591818,5.697324,5.80283,5.908336,6.013842,6.119348,6.224854,6.33036,6.435866,6.541372,6.646878,6.752384,6.85789,6.963396,7.068902,7.174408,7.279914,7.38542
Botswana,Coal,4.958782,4.9165796,4.8743772,4.8321748,4.7899724,4.74777,4.7055676,4.6633652,4.6211628,4.5789604,4.536758,4.4734544,4.4101508,4.3468472,4.2835436,4.22024,4.114734,4.009228,3.903722,3.798216,3.69271,3.587204,3.481698,3.376192,3.270686,3.16518,3.059674,2.954168,2.848662,2.743156,2.63765,2.5954476,2.5532452,2.5110428,2.4688404,2.426638
Botswana,Diesel,18.99108,19.202092,19.413104,19.624116,19.835128,20.04614,20.151646,20.257152,20.362658,20.468164,20.57367,20.679176,20.784682,20.890188,20.995694,21.1012,21.1012,21.1012,21.1012,21.1012,21.1012,20.995694,20.890188,20.784682,20.679176,20.57367,20.468164,20.362658,20.257152,20.151646,20.04614,19.940634,19.835128,19.729622,19.624116,19.51861
Botswana,HFO,15.29837,15.509382,15.720394,15.931406,16.142418,16.35343,16.458936,16.564442,16.669948,16.775454,16.88096,16.986466,17.091972,17.197478,17.302984,17.40849,17.40849,17.40849,17.40849,17.40849,17.40849,17.302984,17.197478,17.091972,16.986466,16.88096,16.775454,16.669948,16.564442,16.458936,16.35343,16.247924,16.142418,16.036912,15.931406,15.8259
Botswana,LNG,11.07813,11.183636,11.289142,11.394648,11.500154,11.60566,11.711166,11.816672,11.922178,12.027684,12.13319,12.13319,12.13319,12.13319,12.13319,12.13319,12.027684,11.922178,11.816672,11.711166,11.60566,11.500154,11.394648,11.289142,11.183636,11.07813,10.972624,10.867118,10.761612,10.656106,10.5506,10.445094,10.339588,10.234082,10.128576,10.02307
Botswana,Gas,11.07813,11.183636,11.289142,11.394648,11.500154,11.60566,11.711166,11.816672,11.922178,12.027684,12.13319,12.13319,12.13319,12.13319,12.13319,12.13319,12.027684,11.922178,11.816672,11.711166,11.60566,11.500154,11.394648,11.289142,11.183636,11.07813,10.972624,10.867118,10.761612,10.656106,10.5506,10.445094,10.339588,10.234082,10.128576,10.02307
DRC,Biogas,8.44048,8.229468,8.018456,7.807444,7.596432,7.38542,7.174408,6.963396,6.752384,6.541372,6.33036,6.224854,6.119348,6.013842,5.908336,5.80283,5.697324,5.591818,5.486312,5.380806,5.2753,5.169794,5.064288,4.958782,4.853276,4.74777,4.6844664,4.6211628,4.5578592,4.4945556,4.431252,4.3890496,4.3468472,4.3046448,4.2624424,4.22024
DRC,Biomass,3.69271,3.798216,3.903722,4.009228,4.114734,4.22024,4.325746,4.431252,4.536758,4.642264,4.74777,4.853276,4.958782,5.064288,5.169794,5.2753,5.380806,5.486312,5.591818,5.697324,5.80283,5.908336,6.013842,6.119348,6.224854,6.33036,6.435866,6.541372,6.646878,6.752384,6.85789,6.963396,7.068902,7.174408,7.279914,7.38542
DRC,Coal,6.541372,6.4991696,6.4569672,6.4147648,6.3725624,6.33036,6.2881576,6.2459552,6.2037528,6.1615504,6.119348,6.0560444,5.9927408,5.9294372,5.8661336,5.80283,5.697324,5.591818,5.486312,5.380806,5.2753,5.169794,5.064288,4.958782,4.853276,4.74777,4.642264,4.536758,4.431252,4.325746,4.22024,4.1780376,4.1358352,4.0936328,4.0514304,4.009228
