z,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Angola_Central,ICE,HFO,10.5,0.16,0.16,0,0.4,9200,6.4,0,0.98,30
Angola_East,ICE,HFO,10.5,0.16,0.16,0,0.4,9200,6.4,0,0.98,30
Angola_South,ICE,HFO,10.5,0.16,0.16,0,0.4,9200,6.4,0,0.98,30
Angola_North,ICE,HFO,10.5,0.16,0.16,0,0.4,9200,6.4,0,0.98,30
Botswana,ICE,HFO,10.5,0.16,0.16,0,0.4,8400,6.4,0,0.84,30
DRC,ICE,HFO,10.5,0.16,0.16,0,0.4,10000,6.4,0,1.08,30
DRC_South,ICE,HFO,10.5,0.16,0.16,0,0.4,10000,6.4,0,1.08,30
Eswatini,ICE,HFO,10.5,0.16,0.16,0,0.4,8400,6.4,0,0.88,30
Lesotho,ICE,HFO,10.5,0.16,0.16,0,0.4,8960,6.4,0,0.94,30
Malawi,ICE,HFO,10.5,0.16,0.16,0,0.4,9200,6.4,0,0.96,30
Mozambique_South,ICE,HFO,10.5,0.16,0.16,0,0.4,8960,6.4,0,0.92,30
Mozambique_Central,ICE,HFO,10.5,0.16,0.16,0,0.4,8960,6.4,0,0.92,30
Mozambique_North,ICE,HFO,10.5,0.16,0.16,0,0.4,8960,6.4,0,0.92,30
Namibia,ICE,HFO,10.5,0.16,0.16,0,0.4,8400,6.4,0,0.86,30
Tanzania,ICE,HFO,10.5,0.16,0.16,0,0.2,8800,6.4,0,0.9,30
Zambia,ICE,HFO,10.5,0.16,0.16,0,0.4,8800,6.4,0,0.92,30
Zimbabwe,ICE,HFO,10.5,0.16,0.16,0,0.4,8800,6.4,0,0.94,30
South_Africa,CCGT,Gas,6.4,0.1,0.1,0,0.05,30000,2,0,0.9,30
Angola_East,CCGT,Gas,6.4,0.1,0.1,0,0.05,37500,2,0,1.1,30
Angola_Central,CCGT,Gas,6.4,0.1,0.1,0,0.05,37500,2,0,1.1,30
Angola_South,CCGT,Gas,6.4,0.1,0.1,0,0.05,37500,2,0,1.1,30
Angola_North,CCGT,Gas,6.4,0.1,0.1,0,0.05,37500,2,0,1.1,30
Botswana,CCGT,Gas,6.4,0.1,0.1,0,0.05,31500,2,0,0.95,30
DRC,CCGT,Gas,6.4,0.1,0.1,0,0.05,37500,2,0,1.22,30
DRC_South,CCGT,Gas,6.4,0.1,0.1,0,0.05,37500,2,0,1.22,30
Eswatini,CCGT,Gas,6.4,0.1,0.1,0,0.05,31500,2,0,0.99,30
Lesotho,CCGT,Gas,6.4,0.1,0.1,0,0.05,33600,2,0,1.06,30
Malawi,CCGT,Gas,6.4,0.1,0.1,0,0.05,34500,2,0,1.08,30
Mozambique_Central,CCGT,Gas,6.4,0.1,0.1,0,0.05,33600,2,0,1.04,30
Mozambique_South,CCGT,Gas,6.4,0.1,0.1,0,0.05,33600,2,0,1.04,30
Mozambique_North,CCGT,Gas,6.4,0.1,0.1,0,0.05,33600,2,0,1.04,30
Namibia,CCGT,Gas,6.4,0.1,0.1,0,0.05,31500,2,0,0.96,30
Tanzania,CCGT,Gas,6.4,0.1,0.1,0,0.05,33000,2,0,1.01,30
Zambia,CCGT,Gas,6.4,0.1,0.1,0,0.05,33000,2,0,1.04,30
Zimbabwe,CCGT,Gas,6.4,0.1,0.1,0,0.05,33000,2,0,1.06,30
South_Africa,OCGT,Gas,9,0.3,0.3,0,0.2,20000,4,0,0.8,30
Angola_East,OCGT,Gas,9,0.3,0.3,0,0.2,23000,4,0,0.98,30
Angola_North,OCGT,Gas,9,0.3,0.3,0,0.2,23000,4,0,0.98,30
Angola_South,OCGT,Gas,9,0.3,0.3,0,0.2,23000,4,0,0.98,30
Angola_Central,OCGT,Gas,9,0.3,0.3,0,0.2,23000,4,0,0.98,30
Botswana,OCGT,Gas,9,0.3,0.3,0,0.2,21000,4,0,0.84,30
DRC,OCGT,Gas,9,0.3,0.3,0,0.2,25000,4,0,1.08,30
DRC_South,OCGT,Gas,9,0.3,0.3,0,0.2,25000,4,0,1.08,30
Eswatini,OCGT,Gas,9,0.3,0.3,0,0.2,21000,4,0,0.88,30
Lesotho,OCGT,Gas,9,0.3,0.3,0,0.2,22400,4,0,0.94,30
Malawi,OCGT,Gas,9,0.3,0.3,0,0.2,23000,4,0,0.96,30
Mozambique_Central,OCGT,Gas,9,0.3,0.3,0,0.2,22400,4,0,0.92,30
Mozambique_North,OCGT,Gas,9,0.3,0.3,0,0.2,22400,4,0,0.92,30
Mozambique_South,OCGT,Gas,9,0.3,0.3,0,0.2,22400,4,0,0.92,30
Namibia,OCGT,Gas,9,0.3,0.3,0,0.2,21000,4,0,0.86,30
Tanzania,OCGT,Gas,9,0.3,0.3,0,0.2,22000,4,0,0.9,30
Zambia,OCGT,Gas,9,0.3,0.3,0,0.2,22000,4,0,0.92,30
Zimbabwe,OCGT,Gas,9,0.3,0.3,0,0.2,22000,4,0,0.9,30
South_Africa,CCGT,LNG,6.4,0.1,0.1,0,0.05,30000,2,0,0.9,30
Mozambique_North,CCGT,LNG,6.4,0.1,0.1,0,0.05,33600,2,0,1.04,30
Namibia,CCGT,LNG,6.4,0.1,0.1,0,0.05,31500,2,0,0.96,30
Tanzania,CCGT,LNG,6.4,0.1,0.1,0,0.05,33000,2,0,1.01,30
South_Africa,OCGT,LNG,9,0.3,0.3,0,0.2,20000,4,0,0.8,30
Mozambique_North,OCGT,LNG,9,0.3,0.3,0,0.2,22400,4,0,0.92,30
Namibia,OCGT,LNG,9,0.3,0.3,0,0.2,21000,4,0,0.86,30
Tanzania,OCGT,LNG,9,0.3,0.3,0,0.2,22000,4,0,0.9,30
South_Africa,ROR,Water,0,1,1,0,,46500,0.55,0,2.8,30
Angola_North,ROR,Water,0,1,1,0,,53475,0.55,0,2.9,30
Angola_Central,ROR,Water,0,1,1,0,,53475,0.55,0,2.9,30
Angola_South,ROR,Water,0,1,1,0,,53475,0.55,0,2.9,30
Angola_East,ROR,Water,0,1,1,0,,53475,0.55,0,2.9,30
DRC,ROR,Water,0,1,1,0,,58125,0.55,0,2.3,30
DRC_South,ROR,Water,0,1,1,0,,58125,0.55,0,2.3,30
Eswatini,ROR,Water,0,1,1,0,,48825,0.55,0,2.9,30
Lesotho,ROR,Water,0,1,1,0,,52080,0.55,0,2.5,30
Malawi,ROR,Water,0,1,1,0,,53475,0.55,0,2.65,30
Mozambique_Central,ROR,Water,0,1,1,0,,52080,0.55,0,3,30
Namibia,ROR,Water,0,1,1,0,,48825,0.55,0,2.3,30
Tanzania,ROR,Water,0,1,1,0,,51150,0.55,0,2.3,50
Zambia,ROR,Water,0,1,1,0,,51150,0.55,0,2.1,30
Zimbabwe,ROR,Water,0,1,1,0,,51150,0.55,0,1.7,30
South_Africa,ReservoirHydro,Water,0,1,1,0,,40000,0.55,0,3.3,30
Angola_North,ReservoirHydro,Water,0,1,1,0,,46000,0.55,0,3.4,30
DRC,ReservoirHydro,Water,0,1,1,0,,50000,0.55,0,2.8,30
DRC_South,ReservoirHydro,Water,0,1,1,0,,50000,0.55,0,2.8,30
