month,day,hour,zone,value
1,1,0,ZONE1,0.5241185351837114
1,1,1,ZONE1,0.539329130038925
1,1,2,ZONE1,0.5011113921591309
1,1,3,ZONE1,0.5060615970140423
1,1,4,ZONE1,0.8437086311427627
1,1,5,ZONE1,0.5999104157802416
1,1,6,ZONE1,0.6161571170427272
1,1,7,ZONE1,0.6900621939566001
1,1,8,ZONE1,0.78862370689716
1,1,9,ZONE1,0.985098030268155
1,1,10,ZONE1,0.25761138657522964
1,1,11,ZONE1,0.4444804975022264
1,1,12,ZONE1,0.40995185640325027
1,1,13,ZONE1,0.4364089964258
1,1,14,ZONE1,0.9088506665644357
1,1,15,ZONE1,0.46284872597027915
1,1,16,ZONE1,0.8565347537252518
1,1,17,ZONE1,0.9937276413444724
1,1,18,ZONE1,0.2731007276699179
1,1,19,ZONE1,0.07582600749110746
1,1,20,ZONE1,0.7704370799108968
1,1,21,ZONE1,0.7656858283477529
1,1,22,ZONE1,0.03434298248797396
1,1,23,ZONE1,0.5139591795698283
1,2,0,ZONE1,0.11504537488294486
1,2,1,ZONE1,0.2518039991111889
1,2,2,ZONE1,0.22887004154333357
1,2,3,ZONE1,0.822770282938948
1,2,4,ZONE1,0.03017067499973125
1,2,5,ZONE1,0.6379316768066269
1,2,6,ZONE1,0.8652840090319661
1,2,7,ZONE1,0.814354965821829
1,2,8,ZONE1,0.8941201247952536
1,2,9,ZONE1,0.2981722626516372
1,2,10,ZONE1,0.5624084975142764
1,2,11,ZONE1,0.49053335386084673
1,2,12,ZONE1,0.998599669828922
1,2,13,ZONE1,0.8689571630723477
1,2,14,ZONE1,0.17678913208633362
1,2,15,ZONE1,0.833844435824201
1,2,16,ZONE1,0.7246777757217839
1,2,17,ZONE1,0.032842111490138604
1,2,18,ZONE1,0.23701047255367802
1,2,19,ZONE1,0.0501980720679156
1,2,20,ZONE1,0.314145806524219
1,2,21,ZONE1,0.9264365246120838
1,2,22,ZONE1,0.2707432328828283
1,2,23,ZONE1,0.13798476735716547
1,3,0,ZONE1,0.4272971619375091
1,3,1,ZONE1,0.19666629700065386
1,3,2,ZONE1,0.030505697091297357
1,3,3,ZONE1,0.4267273420836054
1,3,4,ZONE1,0.3112803852474936
1,3,5,ZONE1,0.6411564230561223
1,3,6,ZONE1,0.2150074018841166
1,3,7,ZONE1,0.30763924753488525
1,3,8,ZONE1,0.6630741951920652
1,3,9,ZONE1,0.8171917670133204
1,3,10,ZONE1,0.9948814474617209
1,3,11,ZONE1,0.7820480768018369
1,3,12,ZONE1,0.452932273640249
1,3,13,ZONE1,0.13739741231496805
1,3,14,ZONE1,0.27018422485399074
1,3,15,ZONE1,0.5873093781083989
1,3,16,ZONE1,0.01552462310730629
1,3,17,ZONE1,0.7701223432693616
1,3,18,ZONE1,0.5683455127623008
1,3,19,ZONE1,0.7957714959935976
1,3,20,ZONE1,0.7982719931174306
1,3,21,ZONE1,0.4977723608292136
1,3,22,ZONE1,0.44280345853400505
1,3,23,ZONE1,0.016323345671059752
1,4,0,ZONE1,0.12363914633506601
1,4,1,ZONE1,0.16255879501251014
1,4,2,ZONE1,0.05712418071602021
1,4,3,ZONE1,0.20142644363972984
1,4,4,ZONE1,0.6562992664339956
1,4,5,ZONE1,0.7905913398678435
1,4,6,ZONE1,0.005009605477022783
1,4,7,ZONE1,0.9289404498372843
1,4,8,ZONE1,0.7746405762763241
1,4,9,ZONE1,0.9241476455484131
1,4,10,ZONE1,0.2563658047875449
1,4,11,ZONE1,0.27898735382726636
1,4,12,ZONE1,0.8549605175622267
1,4,13,ZONE1,0.6547709064863633
1,4,14,ZONE1,0.9816024970848028
1,4,15,ZONE1,0.19015124484444146
1,4,16,ZONE1,0.19026239822290547
1,4,17,ZONE1,0.94081110651222
1,4,18,ZONE1,0.0940864809713936
1,4,19,ZONE1,0.5612647688342681
1,4,20,ZONE1,0.20000388695202576
1,4,21,ZONE1,0.4336222973269952
1,4,22,ZONE1,0.47031795588419734
1,4,23,ZONE1,0.7117240302070382
1,5,0,ZONE1,0.5308817100729533
1,5,1,ZONE1,0.06055777113837957
1,5,2,ZONE1,0.9148757202339608
1,5,3,ZONE1,0.6184416464416294
1,5,4,ZONE1,0.8446892808013329
1,5,5,ZONE1,0.9636054778558998
1,5,6,ZONE1,0.10771953149288827
1,5,7,ZONE1,0.17991670039625607
1,5,8,ZONE1,0.6650242718155552
1,5,9,ZONE1,0.8967430040263585
