month,day,hour,zone,value
1,1,0,ZONE1,500.0
1,1,1,ZONE1,551.7638090205041
1,1,2,ZONE1,600.0
1,1,3,ZONE1,641.4213562373095
1,1,4,ZONE1,673.2050807568877
1,1,5,ZONE1,693.1851652578137
1,1,6,ZONE1,700.0
1,1,7,ZONE1,693.1851652578137
1,1,8,ZONE1,673.2050807568878
1,1,9,ZONE1,641.4213562373095
1,1,10,ZONE1,600.0
1,1,11,ZONE1,551.7638090205043
1,1,12,ZONE1,500.0
1,1,13,ZONE1,448.23619097949586
1,1,14,ZONE1,400.00000000000006
1,1,15,ZONE1,358.5786437626906
1,1,16,ZONE1,326.7949192431123
1,1,17,ZONE1,306.81483474218635
1,1,18,ZONE1,300.0
1,1,19,ZONE1,306.81483474218635
1,1,20,ZONE1,326.7949192431123
1,1,21,ZONE1,358.5786437626905
1,1,22,ZONE1,399.9999999999999
1,1,23,ZONE1,448.2361909794957
1,2,0,ZONE1,499.99999999999994
1,2,1,ZONE1,551.7638090205043
1,2,2,ZONE1,600.0
1,2,3,ZONE1,641.4213562373095
1,2,4,ZONE1,673.2050807568877
1,2,5,ZONE1,693.1851652578137
1,2,6,ZONE1,700.0
1,2,7,ZONE1,693.1851652578137
1,2,8,ZONE1,673.2050807568878
1,2,9,ZONE1,641.4213562373094
1,2,10,ZONE1,600.0
1,2,11,ZONE1,551.7638090205041
1,2,12,ZONE1,500.00000000000006
1,2,13,ZONE1,448.236190979496
1,2,14,ZONE1,400.00000000000017
1,2,15,ZONE1,358.5786437626907
1,2,16,ZONE1,326.79491924311225
1,2,17,ZONE1,306.81483474218646
1,2,18,ZONE1,300.0
1,2,19,ZONE1,306.81483474218635
1,2,20,ZONE1,326.7949192431122
1,2,21,ZONE1,358.57864376269055
1,2,22,ZONE1,399.9999999999997
1,2,23,ZONE1,448.2361909794958
1,3,0,ZONE1,499.9999999999999
1,3,1,ZONE1,551.763809020504
1,3,2,ZONE1,600.0000000000001
1,3,3,ZONE1,641.4213562373093
1,3,4,ZONE1,673.2050807568878
1,3,5,ZONE1,693.1851652578137
1,3,6,ZONE1,700.0
1,3,7,ZONE1,693.1851652578137
1,3,8,ZONE1,673.2050807568878
1,3,9,ZONE1,641.4213562373097
1,3,10,ZONE1,600.0
1,3,11,ZONE1,551.7638090205043
1,3,12,ZONE1,500.00000000000045
1,3,13,ZONE1,448.23619097949603
1,3,14,ZONE1,400.0000000000002
1,3,15,ZONE1,358.5786437626905
1,3,16,ZONE1,326.7949192431124
1,3,17,ZONE1,306.81483474218635
1,3,18,ZONE1,300.0
1,3,19,ZONE1,306.8148347421863
1,3,20,ZONE1,326.7949192431123
1,3,21,ZONE1,358.57864376269026
1,3,22,ZONE1,400.0
1,3,23,ZONE1,448.2361909794961
1,4,0,ZONE1,499.99999999999983
1,4,1,ZONE1,551.7638090205036
1,4,2,ZONE1,599.9999999999998
1,4,3,ZONE1,641.4213562373095
1,4,4,ZONE1,673.2050807568876
1,4,5,ZONE1,693.1851652578137
1,4,6,ZONE1,700.0
1,4,7,ZONE1,693.1851652578137
1,4,8,ZONE1,673.2050807568877
1,4,9,ZONE1,641.4213562373097
1,4,10,ZONE1,600.0000000000007
1,4,11,ZONE1,551.7638090205039
1,4,12,ZONE1,500.00000000000017
1,4,13,ZONE1,448.23619097949575
1,4,14,ZONE1,400.0000000000002
1,4,15,ZONE1,358.578643762691
1,4,16,ZONE1,326.7949192431125
1,4,17,ZONE1,306.81483474218635
1,4,18,ZONE1,300.0
1,4,19,ZONE1,306.81483474218624
1,4,20,ZONE1,326.79491924311196
1,4,21,ZONE1,358.57864376269026
1,4,22,ZONE1,399.99999999999994
1,4,23,ZONE1,448.2361909794961
1,5,0,ZONE1,499.99999999999983
1,5,1,ZONE1,551.7638090205036
1,5,2,ZONE1,599.9999999999998
1,5,3,ZONE1,641.4213562373095
1,5,4,ZONE1,673.2050807568878
1,5,5,ZONE1,693.1851652578137
1,5,6,ZONE1,700.0
1,5,7,ZONE1,693.1851652578138
1,5,8,ZONE1,673.2050807568877
1,5,9,ZONE1,641.4213562373093
1,5,10,ZONE1,600.0000000000001
1,5,11,ZONE1,551.7638090205046
1,5,12,ZONE1,500.0000000000002
1,5,13,ZONE1,448.2361909794965
1,5,14,ZONE1,399.99999999999966
1,5,15,ZONE1,358.5786437626905
1,5,16,ZONE1,326.79491924311253
1,5,17,ZONE1,306.81483474218635
1,5,18,ZONE1,300.0
1,5,19,ZONE1,306.81483474218646
1,5,20,ZONE1,326.7949192431123
1,5,21,ZONE1,358.5786437626902
1,5,22,ZONE1,399.9999999999999
1,5,23,ZONE1,448.23619097949535
1,6,0,ZONE1,499.99999999999903
1,6,1,ZONE1,551.7638090205043
1,6,2,ZONE1,599.9999999999997
1,6,3,ZONE1,641.4213562373089
1,6,4,ZONE1,673.2050807568875
1,6,5,ZONE1,693.1851652578137
1,6,6,ZONE1,700.0
1,6,7,ZONE1,693.1851652578135
