z,z2,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
SouthEast,CenterBlack,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893
NorthWest,CenterAna,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893
NorthWest,CenterBlack,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893
NorthWest,Trakia,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893
CenterAna,CenterBlack,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893,0.019758893
Armenia,AzerbaijanMain,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
AzerbaijanMain,Armenia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Armenia,EastAna,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
EastAna,Armenia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Armenia,Georgia,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Georgia,Armenia,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
AzerbaijanMain,Georgia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Georgia,AzerbaijanMain,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
AzerbaijanMain,Nakhchivan,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Nakhchivan,AzerbaijanMain,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
EastAna,Georgia,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333
Georgia,EastAna,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333,0.02333
EastAna,Nakhchivan,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Nakhchivan,EastAna,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
