Country,Before 2024,After 2024,Code
Senegal,3,2,Recent
The Gambia,2,1,Recent
Guinea-Bissau,1,1,Recent
Guinea,1,3,Recent
Ivory Coast,2,1,Recent
Sierra Leone,3,1,Recent
Togo,2,1,Recent
Benin,1,1,Recent
Ghana,3,1,Recent
Nigeria,2,1,Recent
Niger,1,1,Recent
Mali,2,2,Recent
Burkina-Faso,1,1,Recent
Liberia,3,3,Recent
