z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
South_Africa,Peak,33873,34554,35245,35952,36669,37372,38079,38753,39474,40200,40933,41687,42476,43281,44101,44936,45787,46655,47538,48439,49356,50291,51244,52214,53203,54211,55238,56284.33385,57350.48765,58436.83684,59543.76396,60671.65881,61820.91856,62991.94792,64185.15925,65400.97272,66639.81648,67902.12677,69188.3481,70498.93339,71834.34417,73195.05067
Lesotho,Peak,204,214.2,224.4,234.6,244.8,251.94,259.08,265.2,273.36,280.5,287.64,295.8,305.5033944,315.525098,325.8755526,336.5655425,347.6062058,359.0090459,370.7859437,382.9491697,395.5113969,408.4857143,421.8856399,435.7251353,450.0186202,464.7809872,480.0276175,495.7743967,512.0377318,528.8345676,546.1824053,564.0993198,582.603979,601.7156632,621.4542852,641.840411,662.8952814,684.6408336,707.0997249,730.2953554,754.2518931,778.9942988
Eswatini,Peak,260,270,280,290,300,309,318,327,336,346,356,366,377.3052233,388.959649,400.9740635,413.3595863,426.1276804,439.2901629,452.8592159,466.8473978,481.2676549,496.1333333,511.4581916,527.2564132,543.5426194,560.3318837,577.6397445,595.4822208,613.8758259,632.8375836,652.3850432,672.5362962,693.309993,714.7253599,736.8022174,759.5609977,783.0227647,807.2092325,832.1427862,857.8465021,884.3441696,911.6603126
Zimbabwe,Peak,1841,1929.086124,2017.172249,2105.258373,2210.961722,2298.736629,2389.438743,2480.896968,2578.010031,2678.447288,2782.352906,2890.769181,3010.090797,3134.337623,3263.712957,3398.428487,3538.704639,3684.770938,3836.866381,3995.239834,4160.150431,4331.868004,4510.673525,4696.85956,4890.730753,5092.604323,5302.810582,5521.693476,5749.61115,5986.936528,6234.057932,6491.37971,6759.322899,7038.325918,7328.84528,7631.356343,7946.354086,8274.353919,8615.892525,8971.528742,9341.844473,9727.445641
Botswana,Peak,675.05,703.9807143,732.9114286,761.8421429,790.7728571,822.7771431,856.0065524,889.5805914,925.1876227,962.0825685,1000.285788,1040.168501,1081.578366,1124.636787,1169.409396,1215.964435,1264.372863,1314.708467,1367.047967,1421.471141,1478.060941,1536.903623,1598.088874,1661.709955,1727.863837,1796.651353,1868.177351,1942.55085,2019.885213,2100.298313,2183.912716,2270.85587,2361.260294,2455.263784,2553.009622,2654.646792,2760.330212,2870.220966,2984.48655,3103.301131,3226.845807,3355.308886
Namibia,Peak,672.0808558,682.263899,692.4469423,702.6299856,712.8130288,721.9583503,731.3487396,739.7916544,749.0095596,758.2500242,767.4352405,776.8774367,787.0322339,797.3197674,807.7417724,818.3000066,828.9962506,839.8323084,850.8100075,861.9311994,873.1977598,884.6115887,896.1746112,907.8887774,919.756063,931.7784694,943.9580243,956.2967818,968.7968229,981.4602557,994.2892161,1007.285868,1020.452403,1033.791041,1047.304033,1060.993657,1074.862222,1088.912068,1103.145563,1117.565108,1132.173136,1146.972109
Zambia,Peak,2285.723187,2369.347206,2462.262783,2555.178359,2648.093936,2727.569207,2808.658129,2888.270009,2973.075413,3059.726732,3148.308108,3240.08975,3343.103895,3449.393231,3559.06189,3672.21731,3788.97035,3909.43539,4033.730448,4161.977295,4294.301572,4430.832915,4571.705082,4717.056084,4867.028318,5021.768711,5181.42886,5346.165181,5516.139064,5691.51703,5872.470894,6059.177935,6251.821066,6450.589018,6655.67652,6867.284494,7085.620249,7310.897685,7543.337504,7783.167424,8030.622402,8285.944867
Angola_North,Peak,2034.94725,2375.80875,2521.65375,3072.27375,3248.1225,3373.88625,3499.72875,3625.65,3751.335,3876.78375,4000.6575,4125.555,4249.35,6293.62125,6467.18625,6639.17625,6809.5125,6980.95125,7152.15375,7323.2775,7494.48,7665.6825,7836.80625,8008.00875,8179.1325,8350.335,8521.45875,8968.133089,9438.221024,9932.949842,10453.61114,11001.56426,11578.23976,12185.1432,12823.85905,13496.05486,14203.48554,14947.99804,15731.53609,16556.14532,17423.97858,18337.30157
Angola_East,Peak,65.118312,76.02588,80.69292,98.31276,103.93992,107.96436,111.99132,116.0208,120.04272,124.05708,128.02104,132.01776,135.9792,201.39588,206.94996,212.45364,217.9044,223.39044,228.86892,234.34488,239.82336,245.30184,250.7778,256.25628,261.73224,267.21072,272.68668,286.9802589,302.0230728,317.8543949,334.5155566,352.0500563,370.5036723,389.9245823,410.3634897,431.8737553,454.5115373,478.3359373,503.4091549,529.7966503,557.5673145,586.7936501
Angola_Central,Peak,329.46765,384.65475,408.26775,497.41575,525.8865,546.24825,566.62275,587.01,607.359,627.66975,647.7255,667.947,687.99,1018.96725,1047.06825,1074.91425,1102.4925,1130.24925,1157.96775,1185.6735,1213.392,1241.1105,1268.81625,1296.53475,1324.2405,1351.959,1379.66475,1451.983453,1528.092928,1608.191879,1692.489423,1781.205642,1874.572151,1972.832708,2076.243847,2185.075548,2299.611945,2420.152064,2547.010605,2680.518766,2821.025103,2968.896444
