z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
South_Africa,Peak,33873,34554,35245,35952,36669,37372,38079,39411.765,40791.17678,42218.86796,43696.52834,45225.90683,46808.81357,48447.12205,50142.77132,51897.76831,53714.19021,55594.18686,57539.9834,59553.88282,61638.26872,63795.60813,66028.45441,68339.45032,70731.33108,73206.92766,75769.17013,78421.09109,81165.82927,84006.6333,86946.86546,89990.00576,93139.65596,96399.54392,99773.52795,103265.6014,106879.8975,110620.6939,114492.4182,118499.6528,122647.1407,126939.7906
Lesotho,Peak,204,214.2,224.4,234.6,244.8,251.94,259.08,265.2,273.36,280.5,287.64,295.8,305.5033944,315.525098,325.8755526,336.5655425,347.6062058,359.0090459,370.7859437,382.9491697,395.5113969,408.4857143,421.8856399,435.7251353,450.0186202,464.7809872,480.0276175,495.7743967,512.0377318,528.8345676,546.1824053,564.0993198,582.603979,601.7156632,621.4542852,641.840411,662.8952814,684.6408336,707.0997249,730.2953554,754.2518931,778.9942988
Eswatini,Peak,260,270,280,290,300,309,318,327,336,346,356,366,377.3052233,388.959649,400.9740635,413.3595863,426.1276804,439.2901629,452.8592159,466.8473978,481.2676549,496.1333333,511.4581916,527.2564132,543.5426194,560.3318837,577.6397445,595.4822208,613.8758259,632.8375836,652.3850432,672.5362962,693.309993,714.7253599,736.8022174,759.5609977,783.0227647,807.2092325,832.1427862,857.8465021,884.3441696,911.6603126
Zimbabwe,Peak,1841,1929.086124,2017.172249,2105.258373,2210.961722,2298.736629,2389.438743,2480.896968,2578.010031,2678.447288,2782.352906,2890.769181,3010.090797,3134.337623,3263.712957,3398.428487,3538.704639,3684.770938,3836.866381,3995.239834,4160.150431,4331.868004,4510.673525,4696.85956,4890.730753,5092.604323,5302.810582,5521.693476,5749.61115,5986.936528,6234.057932,6491.37971,6759.322899,7038.325918,7328.84528,7631.356343,7946.354086,8274.353919,8615.892525,8971.528742,9341.844473,9727.445641
Botswana,Peak,675.05,703.9807143,732.9114286,761.8421429,790.7728571,822.7771431,856.0065524,889.5805914,925.1876227,962.0825685,1000.285788,1040.168501,1081.578366,1124.636787,1169.409396,1215.964435,1264.372863,1314.708467,1367.047967,1421.471141,1478.060941,1536.903623,1598.088874,1661.709955,1727.863837,1796.651353,1868.177351,1942.55085,2019.885213,2100.298313,2183.912716,2270.85587,2361.260294,2455.263784,2553.009622,2654.646792,2760.330212,2870.220966,2984.48655,3103.301131,3226.845807,3355.308886
Namibia,Peak,672.0808558,682.263899,692.4469423,702.6299856,712.8130288,721.9583503,731.3487396,753.2892018,775.8878778,799.1645142,823.1394496,847.8336331,873.2686421,899.4667013,926.4507024,954.2442235,982.8715502,1012.357697,1042.728428,1074.01028,1106.230589,1139.417506,1173.600032,1208.808033,1245.072274,1282.424442,1320.897175,1360.52409,1401.339813,1443.380007,1486.681408,1531.28185,1577.220305,1624.536915,1673.273022,1723.471213,1775.175349,1828.430609,1883.283528,1939.782034,1997.975495,2057.914759
Zambia,Peak,2285.723187,2369.347206,2462.262783,2555.178359,2648.093936,2727.569207,2808.658129,2888.270009,2973.075413,3059.726732,3148.308108,3240.08975,3343.103895,3449.393231,3559.06189,3672.21731,3788.97035,3909.43539,4033.730448,4161.977295,4294.301572,4430.832915,4571.705082,4717.056084,4867.028318,5021.768711,5181.42886,5346.165181,5516.139064,5691.51703,5872.470894,6059.177935,6251.821066,6450.589018,6655.67652,6867.284494,7085.620249,7310.897685,7543.337504,7783.167424,8030.622402,8285.944867
Angola,Peak,2584.06,3016.9,3202.1,3901.3,4124.6,4284.3,4444.1,4604,4763.6,4922.9,5080.2,5238.8,5396,7991.9,8212.3,8430.7,8647,8864.7,9082.1,9299.4,9516.8,9734.2,9951.5,10168.9,10386.2,10603.6,10820.9,11388.10551,11985.04257,12613.26964,13274.42685,13970.24033,14702.52668,15473.19771,16284.26546,17137.84744,18036.17212,18981.58481,19976.55376,21023.6766,22125.68709,23285.46231
Tanzania,Peak,1890.203,1978.806266,2067.409531,2156.012797,2259.383273,2360.642848,2465.347949,2571.639213,2685.035813,2802.786487,2925.233999,3053.590554,3188.978243,3330.368643,3478.0279,3632.233957,3793.27708,3961.460406,4137.100511,4320.528009,4512.08817,4712.141575,4921.06479,5139.251077,5367.111136,5605.073874,5853.587217,6113.118948,6384.157592,6667.213333,6962.818977,7271.53095,7593.930351,7930.624043,8282.245793,8649.457471,9032.950291,9433.446113,9851.698803,10288.49565,10744.65885,11221.04706
DRC,Peak,929.5326948,966.7574505,1005.427748,1045.644858,1087.470653,1130.969479,1176.208258,1223.256588,1272.186852,1323.074326,1375.997299,1431.037191,1483.291492,1537.453857,1593.593961,1651.784019,1712.098887,1774.616151,1839.416232,1906.582487,1976.201317,2048.362277,2123.158194,2200.685282,2281.043271,2364.33553,2450.669205,2543.568161,2639.988693,2740.064294,2843.93352,2951.740177,3063.633525,3179.768479,3300.30583,3425.41246,3555.261581,3690.032969,3829.913215,3975.095983,4125.78228,4282.180731
