z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,33873,34644.77435,35434.13307,36241.47683,37067.21539,37911.76786,38775.56292,39659.03898,40562.64448,41486.83804,42432.08875,43398.87639,44387.69166,45399.03644,46433.42406,47491.37953,48573.43982,49680.15417,50812.08428,51969.80468,53153.90299,54364.98022,55603.65105,56870.5442,58166.30268,59491.58419,60847.06137
Lesotho,Peak,204,212.1910211,220.7109287,229.5729281,238.7907551,248.3786969,258.3516143,268.724965,279.514827,290.7379244,302.4116522,314.5541044,327.184101,340.3212181,353.9858176,368.1990789,382.9830321,398.3605914,414.3555915,430.9928239,448.2980756,466.2981688,485.0210029,504.4955974,524.7521371,545.8220187,567.7378995
Eswatini,Peak,260,269.7277955,279.8195526,290.2888888,301.1499309,312.4173346,324.1063037,336.2326108,348.8126189,361.8633029,375.402273,389.4477982,404.0188311,419.1350333,434.8168022,451.0852982,467.9624734,485.4711013,503.6348076,522.4781015,542.0264098,562.3061102,583.3445674,605.17017,627.8123688,651.3017163,675.6699084
Zimbabwe,Peak,1841,1932.745212,2029.062497,2130.179699,2236.336021,2347.782585,2464.783026,2587.614119,2716.566431,2851.94501,2994.070106,3143.277926,3299.921436,3464.371188,3637.016202,3818.264884,4008.545994,4208.309657,4418.028431,4638.198424,4869.340466,5112.001343,5366.755091,5634.20435,5914.981794,6209.751627,6519.21115
Botswana,Peak,675.05,707.3938591,741.2874185,776.8049294,814.0242008,853.0267695,893.8980792,936.7276674,981.6093615,1028.641485,1077.927071,1129.574092,1183.695691,1240.410433,1299.842564,1362.122284,1427.386029,1495.776774,1567.444344,1642.545742,1721.245495,1803.716011,1890.137959,1980.700667,2075.602531,2175.051454,2279.265301
Namibia,Peak,672.0808558,682.6872824,693.461094,704.4049322,715.5214803,726.813464,738.2836518,749.934856,761.7699335,773.7917859,786.0033608,798.4076525,811.0077021,823.8065991,836.8074815,850.013537,863.4280036,877.0541702,890.8953777,904.95502,919.2365441,933.7434518,948.4792998,963.4477012,978.6523261,994.0969023,1009.785217
Zambia,Peak,2285.723187,2373.433234,2464.508978,2559.079571,2657.279121,2759.246882,2865.127451,2975.070975,3089.233362,3207.776501,3330.868496,3458.6839,3591.403963,3729.216893,3872.318118,4020.910565,4175.20495,4335.420073,4501.78313,4674.530036,4853.905758,5040.164664,5233.570883,5434.398677,5642.932835,5859.469074,6084.314458
Angola,Peak,2584.06,2759.652059,2947.17595,3147.442466,3361.317494,3589.725758,3833.654822,4094.159355,4372.365693,4669.47671,4986.777017,5325.638515,5687.526332,6074.005152,6486.745983,6927.53338,7398.273166,7901.000664,8437.889503,9011.261016,9623.594273,10277.5368,10975.91604,11721.75154,12518.26807,13368.90949,14277.35369
Tanzania,Peak,1890.203,1990.991734,2097.154688,2208.978427,2326.76479,2450.831717,2581.514096,2719.164675,2864.155009,3016.876466,3177.741282,3347.183675,3525.661016,3713.655061,3911.673259,4120.250112,4339.948627,4571.361828,4815.114361,5071.86418,5342.304322,5627.164778,5927.214461,6243.263288,6576.164358,6926.81626,7296.165499
DRC,Peak,929.5326948,971.9079868,1016.215072,1062.542018,1110.980904,1161.628009,1214.584001,1269.954137,1327.848472,1388.382079,1451.675276,1517.853867,1587.04939,1659.39938,1735.047642,1814.144538,1896.847282,1983.320257,2073.735339,2168.27224,2267.118865,2370.471683,2478.536123,2591.526976,2709.668826,2833.196496,2962.355512
Malawi,Peak,386.74,401.2246544,416.2518055,431.8417717,448.0156322,464.7952556,482.2033299,500.2633923,518.9998621,538.4380728,558.604307,579.5258313,601.2309338,623.7489621,647.1103628,671.346723,696.4908127,722.5766292,749.6394433,777.7158466,806.8438014,837.0626915,868.4133761,900.9382445,934.6812736,969.6880874,1006.006019
DRC_South,Peak,2010,2098.274235,2190.425257,2286.623324,2387.046172,2491.879344,2601.31653,2715.559927,2834.820611,2959.318931,3089.284908,3224.958671,3366.59089,3514.443247,3668.788913,3829.91306,3998.113382,4173.700647,4356.99927,4548.347916,4748.100122,4956.624952,5174.307677,5401.550489,5638.773245,5886.414238,6144.931012
Mozambique_Central,Peak,286.7823877,300.2488361,314.3476289,329.108459,344.5624139,360.7420406,377.6814144,395.4162109,413.9837807,433.4232283,453.7754947,475.083443,497.3919491,520.7479965,545.2007743,570.8017819,597.6049368,625.6666881,655.0461358,685.805155,718.0085264,751.7240723,787.0228001,823.9790511,862.6706579,903.1791075,945.5897135
Mozambique_South,Peak,521.5428124,546.0329125,571.6729948,598.5170592,626.621641,656.0459305,686.8518971,719.1044204,752.8714262,788.2240303,825.2366876,863.9873492,904.5576267,947.0329638,991.5028165,1038.060841,1086.805092,1137.838229,1191.26773,1247.206121,1305.771213,1367.086347,1431.280658,1498.489343,1568.853948,1642.522665,1719.650647
Mozambique_North,Peak,328.2676399,343.6821124,359.8204027,376.7164992,394.4059861,412.9261187,432.3159017,452.6161713,473.8696812,496.1211927,519.4175691,543.807874,569.3434752,596.0781522,624.0682103,653.3725982,684.0530331,716.17413,749.8035382,785.0120833,821.8739171,860.466673,900.87163,943.1738837,987.4625254,1033.83083,1082.376453
Mozal,Peak,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
South_Africa,Energy,210648,215413.0434,220285.8764,225268.9371,230364.719,235575.772,240904.7036,246354.1803,251926.9291,257625.7383,263453.4595,269413.009,275507.3688,281739.5883,288112.7861,294630.1513,301294.945,308110.5023,315080.2334,322207.626,329496.2466,336949.7421,344571.8423,352366.3611,360337.1988,368488.3438,376823.875
Lesotho,Energy,1043,1077.869591,1113.904943,1151.14503,1189.630127,1229.401859,1270.50324,1312.978723,1356.874247,1402.237287,1449.116904,1497.563802,1547.630377,1599.370778,1652.840965,1708.098769,1765.203952,1824.218276,1885.205568,1948.231788,2013.365102,2080.675954,2150.237143,2222.123902,2296.413981,2373.187727,2452.528174
Eswatini,Energy,1352,1399.093196,1447.826753,1498.25781,1550.445494,1604.450992,1660.337622,1718.17091,1778.018661,1839.951043,1904.040669,1970.362681,2038.994838,2110.017606,2183.514257,2259.570962,2338.276892,2419.724327,2504.008758,2591.229006,2681.48733,2774.889555,2871.545189,2971.567556,3075.073926,3182.185656,3293.028327
Zimbabwe,Energy,11302.30181,11836.79538,12396.56552,12982.80757,13596.7734,14239.7741,14913.18274,15618.43734,16357.04391,17130.57968,17940.69649,18789.12428,19677.6748,20608.24548,21582.82348,22603.48994,23672.42441,24791.90953,25964.33586,27192.20704,28478.14508,29824.896,31235.3357,32712.47606,34259.47139,35879.62519,37576.39716
Botswana,Energy,4154.781697,4355.654475,4566.238925,4787.004579,5018.443673,5261.072238,5515.431258,5782.087867,6061.636623,6354.700827,6661.933915,6984.020916,7321.679977,7675.663966,8046.762151,8435.801958,8843.650818,9271.218098,9719.457134,10189.36735,10681.99649,11198.44295,11739.85824,12307.44954,12902.48239,13526.28351,14180.24378
Namibia,Energy,4290.801597,4355.698975,4421.577911,4488.45325,4556.340063,4625.253649,4695.209537,4766.223491,4838.311515,4911.489853,4985.774997,5061.183686,5137.732914,5215.439932,5294.32225,5374.397645,5455.684161,5538.200118,5621.964109,5706.995011,5793.311985,5880.934484,5969.882253,6060.175336,6151.834081,6244.879143,6339.33149
