Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q1,d1,0.45,0.41,0.45,0.36,0.36,0.45,0.58,0.76,0.76,0.81,0.81,0.9,0.88,0.81,0.77,0.77,0.81,0.94,0.71,0.76,0.68,0.68,0.58,0.45,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q1,d2,0.42,0.39,0.42,0.36,0.36,0.42,0.56,0.67,0.72,0.72,0.82,0.84,0.82,0.82,0.72,0.73,0.82,0.82,0.72,0.67,0.62,0.62,0.56,0.42,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q1,d3,0.43,0.43,0.45,0.38,0.38,0.38,0.45,0.65,0.64,0.7,0.74,0.74,0.74,0.7,0.69,0.69,0.69,0.69,0.64,0.57,0.57,0.57,0.66,0.43,0.977272727,1.066115702,1.097560976,1.055555556,1.055555556,0.863636364,0.784883721,0.924170616,0.857142857,0.897435897,0.909836066,0.850574713,0.860465116,0.860655738,0.915929204,0.911894273,0.848360656,0.805447471,0.897196262,0.780821918,0.863636364,0.863636364,1.151162791
Angola,Q1,d4,0.45,0.41,0.36,0.36,0.36,0.45,0.58,0.68,0.76,0.81,0.81,0.87,0.88,0.81,0.77,0.77,0.81,0.81,0.71,0.76,0.68,0.68,0.58,0.45,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q2,d1,0.44,0.44,0.41,0.41,0.41,0.44,0.62,0.73,0.76,0.9,0.86,0.97,0.97,0.86,0.84,0.8,0.9,1,0.86,0.8,0.73,0.79,0.62,0.41,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q2,d2,0.45,0.43,0.45,0.38,0.38,0.45,0.57,0.84,0.74,0.83,0.83,0.93,0.87,0.83,0.77,0.77,0.87,0.95,0.77,0.74,0.69,0.74,0.57,0.45,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q2,d3,0.43,0.45,0.43,0.43,0.43,0.43,0.38,0.67,0.72,0.94,0.78,0.88,0.78,0.75,0.85,0.85,0.85,0.85,0.72,0.72,0.58,0.58,0.67,0.45,0.955555556,1.015037594,1.040322581,1.102564103,1.102564103,0.955555556,0.626373626,0.87012987,0.955752212,1.068181818,0.9,0.923076923,0.835714286,0.882352941,1.053719008,1.071428571,0.951492537,0.86440678,0.86746988,0.939130435,0.805555556,0.756521739,1.104395604
Angola,Q2,d4,0.46,0.46,0.38,0.38,0.38,0.46,0.63,0.74,0.76,0.91,0.91,0.96,0.96,0.86,0.81,0.81,0.91,1,0.86,0.76,0.74,0.77,0.63,0.46,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q3,d1,0.44,0.44,0.41,0.41,0.41,0.44,0.62,0.74,0.76,0.9,0.86,0.97,0.97,0.86,0.84,0.8,0.9,1,0.86,0.8,0.74,0.77,0.62,0.41,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q3,d2,0.45,0.45,0.4,0.4,0.4,0.45,0.63,0.75,0.77,0.86,0.91,0.96,0.96,0.86,0.81,0.79,0.91,0.63,0.81,0.77,0.75,0.75,0.63,0.4,,,,,,,,,,,,,,,,,,,,,,,
