paramNames,baseline
modeltype,RMIP
cplexfile,input/data_casa_2020/cplex/cplex_baseline.opt
pSettings,input/data_casa_2020/pSettings.csv
y,input/data_casa_2020/y.csv
zcmap,input/data_casa_2020/zcmap.csv
pHours,input/data_casa_2020/pHours.csv
pTechFuel,input/data_casa_2020/pTechFuel.csv
pFuelCarbonContent,input/data_casa_2020/pFuelCarbonContent.csv
pDemandData,input/data_casa_2020/load/pDemandData.csv
pGenDataInput,input/data_casa_2020/supply/pGenDataInput.csv
pAvailability,input/data_casa_2020/supply/pAvailabilityCustom.csv
pFuelPrice,input/data_casa_2020/supply/pFuelPrice.csv
pVREProfile,input/data_casa_2020/supply/pVREProfile.csv
pPlanningReserveMargin,input/data_casa_2020/reserve/pPlanningReserveMargin.csv
pPlanningReserveMarginZone,input/data_casa_2020/reserve/pPlanningReserveMarginZone.csv
pReserveSeasonFlag,input/data_casa_2020/reserve/pReserveSeasonFlag.csv
pSpinningReserveReqCountry,input/data_casa_2020/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_casa_2020/reserve/pSpinningReserveReqSystem.csv
pMaxFuellimit,input/data_casa_2020/constraint/pMaxFuellimit.csv
pMaxFuellimitZone,input/data_casa_2020/constraint/pMaxFuellimitZone.csv
pCarbonPrice,input/data_casa_2020/constraint/pCarbonPrice.csv
pTransferLimit,input/data_casa_2020/trade/pTransferLimit.csv
pLossFactorInternal,input/data_casa_2020/trade/pLossFactorInternal.csv
pHistoricalTradeFlag,input/data_casa_2020/trade/pHistoricalTradeFlag.csv
pMaxAnnualTransfer,input/data_casa_2020/trade/pMaxAnnualTransfer.csv
pContractedTradeFlag,input/data_casa_2020/trade/pContractedTradeFlag.csv
pContractedTradeEnergy,input/data_casa_2020/trade/pContractedTradeEnergy.csv
pAvailabilityGeneric,input/data_casa_2020/generic/pAvailabilityGeneric.csv
pCapexTrajectoriesGeneric,input/data_casa_2020/generic/pCapexTrajectoriesGeneric.csv
pGenDataInputGeneric,input/data_casa_2020/generic/pGenDataInputGeneric.csv
