country,zone,attribute,resolution,year,baseline
,,Export revenues with internal zones: $/MWh,,,-7.4
,,Export revenues with internal zones: $m,,,-26477.5
,,Fixed O&M: $/MWh,,,9.1
,,Fixed O&M: $m,,,32397.1
,,Fuel costs: $/MWh,,,22.7
,,Fuel costs: $m,,,80935.9
,,Generation costs: $/MWh,,,8.9
,,Generation costs: $m,,,31696.0
,,Import costs with internal zones: $/MWh,,,17.3
,,Import costs with internal zones: $m,,,61886.4
,,NPV of system cost: $/MWh,,,48.8
,,NPV of system cost: $m,,,174137.2
,,Trade shared benefits: $/MWh,,,-9.9
,,Trade shared benefits: $m,,,-35409.0
,,Transmission costs: $/MWh,,,0.3
,,Transmission costs: $m,,,1148.7
,,Unmet country planning reserve costs: $/MWh,,,0.1
,,Unmet country planning reserve costs: $m,,,341.6
,,Unmet country spinning reserve costs: $/MWh,,,0.0
,,Unmet country spinning reserve costs: $m,,,122.1
,,Unmet demand costs: $/MWh,,,5.9
,,Unmet demand costs: $m,,,21130.5
,,Unmet system planning reserve costs: $/MWh,,,0.0
,,Unmet system planning reserve costs: $m,,,104.8
,,Variable O&M: $/MWh,,,1.8
,,Variable O&M: $m,,,6260.5
Angola,Angola,Annual Energy Exchanges: GWh,DRC,2033.0,3493.0
Angola,Angola,Annual Energy Exchanges: GWh,DRC,2034.0,3503.2
Angola,Angola,Annual Energy Exchanges: GWh,DRC,2035.0,3123.8
Angola,Angola,Annual Energy Exchanges: GWh,Namibia,2030.0,790.8
Angola,Angola,Annual Energy Exchanges: GWh,Namibia,2031.0,768.8
Angola,Angola,Annual Energy Exchanges: GWh,Namibia,2032.0,733.1
Angola,Angola,Annual Energy Exchanges: GWh,Namibia,2033.0,1793.8
Angola,Angola,Annual Energy Exchanges: GWh,Namibia,2034.0,2110.7
Angola,Angola,Annual Energy Exchanges: GWh,Namibia,2035.0,2051.9
Angola,Angola,Annual Transmission Capacity: MW,DRC,2033.0,400.0
Angola,Angola,Annual Transmission Capacity: MW,DRC,2034.0,400.0
