Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Angola,Angola,AH Mabubas,ROR,2025,25.6
Capacity: MW,Angola,Angola,AH Mabubas,ROR,2030,25.6
Capacity: MW,Angola,Angola,AH Mabubas,ROR,2040,25.6
Capacity: MW,Angola,Angola,BESS_Angola,Battery,2025,50.0
Capacity: MW,Angola,Angola,BESS_Angola,Battery,2030,50.0
Capacity: MW,Angola,Angola,BESS_Angola,Battery,2040,50.0
Capacity: MW,Angola,Angola,Baia farta,PV,2025,76.0
Capacity: MW,Angola,Angola,Baia farta,PV,2030,76.0
Capacity: MW,Angola,Angola,Baia farta,PV,2040,76.0
Capacity: MW,Angola,Angola,Bailundo,PV,2030,6.0
Capacity: MW,Angola,Angola,Bailundo,PV,2040,6.0
Capacity: MW,Angola,Angola,Baynes,Reservoir,2040,439.0
Capacity: MW,Angola,Angola,Benjoin,Onshore Wind,2030,52.0
Capacity: MW,Angola,Angola,Benjoin,Onshore Wind,2040,52.0
Capacity: MW,Angola,Angola,Biopo PV,PV,2025,145.0
Capacity: MW,Angola,Angola,Biopo PV,PV,2030,145.0
Capacity: MW,Angola,Angola,Biopo PV,PV,2040,145.0
Capacity: MW,Angola,Angola,CCGT Lobito,Gas,2025,37.88
Capacity: MW,Angola,Angola,CCGT Lobito,Gas,2030,472.62
Capacity: MW,Angola,Angola,CCGT Lobito,Gas,2040,472.62
Capacity: MW,Angola,Angola,CD Benfica,Diesel,2025,36.0
Capacity: MW,Angola,Angola,CD Bie,Diesel,2025,34.0
Capacity: MW,Angola,Angola,CD Buco Zau,Diesel,2025,4.0
Capacity: MW,Angola,Angola,CD Capoca 2,Diesel,2025,20.0
Capacity: MW,Angola,Angola,CD Cavaco,Diesel,2025,16.0
Capacity: MW,Angola,Angola,CD Chibodo,Diesel,2025,31.0
Capacity: MW,Angola,Angola,CD Cuebe,Diesel,2025,50.0
Capacity: MW,Angola,Angola,CD Cuito Cuanavale,Diesel,2025,7.0
Capacity: MW,Angola,Angola,CD Dundo,Diesel,2025,41.0
Capacity: MW,Angola,Angola,CD Huambo,Diesel,2025,38.0
Capacity: MW,Angola,Angola,CD Kianganga,Diesel,2025,5.0
Capacity: MW,Angola,Angola,CD Luau,Diesel,2025,33.0
Capacity: MW,Angola,Angola,CD Lunda Sul,Diesel,2025,46.0
Capacity: MW,Angola,Angola,CD Menongue,Diesel,2025,12.0
Capacity: MW,Angola,Angola,CD Quarteis,Diesel,2025,28.0
Capacity: MW,Angola,Angola,CD Santa Catarina,Diesel,2025,10.0
Capacity: MW,Angola,Angola,CT Belem,Gas,2025,50.0
Capacity: MW,Angola,Angola,CT Biopo,Gas,2025,27.0
Capacity: MW,Angola,Angola,CT Biopo,Gas,2030,27.0
Capacity: MW,Angola,Angola,CT Biopo,Gas,2040,27.0
Capacity: MW,Angola,Angola,CT Boa Vista,Gas,2025,131.0
Capacity: MW,Angola,Angola,CT Boa Vista,Gas,2030,33.88
Capacity: MW,Angola,Angola,CT Boa Vista,Gas,2040,33.88
Capacity: MW,Angola,Angola,CT CFL,Gas,2025,125.0
Capacity: MW,Angola,Angola,CT Camana,Gas,2025,50.0
Capacity: MW,Angola,Angola,CT Cazenga,Gas,2025,140.0
Capacity: MW,Angola,Angola,CT Cazenga,Gas,2030,15.66
Capacity: MW,Angola,Angola,CT Cazenga,Gas,2040,15.66
Capacity: MW,Angola,Angola,CT Malembo,Gas,2025,105.0
Capacity: MW,Angola,Angola,CT Malembo,Gas,2030,50.84
Capacity: MW,Angola,Angola,CT Malembo,Gas,2040,50.84
Capacity: MW,Angola,Angola,CT Morro Bento 2,Gas,2025,50.0
Capacity: MW,Angola,Angola,CT Viana,Gas,2025,22.0
Capacity: MW,Angola,Angola,CT Viana,Gas,2030,22.0
Capacity: MW,Angola,Angola,CT Viana,Gas,2040,22.0
Capacity: MW,Angola,Angola,Cacula,Onshore Wind,2030,88.0
Capacity: MW,Angola,Angola,Cacula,Onshore Wind,2040,88.0
Capacity: MW,Angola,Angola,Cacula Cabasa,ROR,2030,781.84
