z,c
KAZ_N,KAZ
KAZ_S,KAZ
KGZ_N,KGZ
KGZ_S,KGZ
NEPS_AFG,AFG
NEPS_TAJ,AFG
NEPS_TKM,AFG
NEPS_UZB,AFG
PAK_KAR,PAK
PAK_N,PAK
PAK_S,PAK
TAJ_N,TAJ
TAJ_S,TAJ
TUR,TUR
UZB,UZB
NEPS_HERAT,AFG
