zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gambia,Peak,116.60000000000001,124.27867507000002,132.46302817,141.18636048000002,150.48416658000002,160.39427822000002,170.95701887,182.21536707,194.21513199000003,207.00513966000003,220.63743141000003,235.16747551,250.65439355,267.16120013000005,284.75505982000004,303.50756062000005,323.49500436000005,344.79871822000007,367.50538484000003,391.70739542000007,417.50322581000006,444.99783658,474.30310081,505.53825861,538.83040299,574.3149963100001,612.1364222600001
Gambia,Energy,765.6,823.2816757000002,885.3091922400001,952.0099728700001,1023.73610999,1100.8662225,1183.8074567,1272.9976314,1368.9075532000002,1472.0435015000003,1582.9498960000003,1702.2121776000001,1830.4598928000003,1968.3700201000001,2116.6705439,2276.1442957000004,2447.6330846,2632.0421468000004,2830.3449174,3043.5881751,3272.8975609,3519.4835269000005,3784.6477218000005,4069.7898615000004,4376.4151222,4706.142078000001,5060.711254500001
