zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Gambia,Peak,79.5,84.73546027500001,90.31570102500001,96.2634276,102.60284085,109.35973515,116.56160377500001,124.237750275,132.419408175,141.13986795,150.434612325,160.34146057499999,170.90072287499999,182.155363725,194.15117715000002,206.93697315000003,220.5647757,235.09003515,250.57185330000001,267.07322415,284.661290325,303.40761584999996,323.388477825,344.685176325,367.38436567499997,391.57840657500003,417.36574245
Gambia,Energy,522.0,561.32841525,603.6199038,649.097708775,698.001893175,750.59060625,807.14144775,867.9529304999999,933.3460590000001,1003.66602375,1079.28402,1160.599212,1248.0408360000001,1342.07046825,1443.18446175,1551.91656525,1668.8407395,1794.5741910000002,1929.7806255,2075.17375575,2231.5210642499997,2399.64785925,2580.4416285,2774.85672375,2983.9194015,3208.733235,3450.48494625
