zone,type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,26940.63927,27511.415527499998,26826.484020000004,27739.7260275,27968.0365275,28196.347035,28538.812785,28652.968034999998,28938.3561675,29223.7442925,29680.365299999998,30136.986299999997,30707.7625575,31278.538815,32134.7031975,32990.86758,33904.1095875,34817.351595,35958.904109999996,37100.4566175,38127.8538825,39155.25114,40182.648405,41210.0456625,42180.365294999996,43150.684935,44178.0821925,45205.47945,46175.79909,47146.118722499996,48173.51598
Lesotho,Peak,138.75,138.75,139.5,143.25,142.5,140.25,142.5,147.0,146.25,153.0,153.75,153.75,153.75,153.75,155.25,155.25,158.25,161.25,165.0,168.0,171.75,175.5,179.25,183.0,186.75,190.5,194.25,198.0,201.75,205.5,209.25
Eswatini,Peak,223.89705885,232.7205882,241.544117625,250.36764705,259.191176475,268.01470589999997,276.838235325,285.661764675,294.48529410000003,303.308823525,312.13235295000004,320.955882375,329.7794118,338.60294115,347.426470575,356.25,365.073529425,373.89705885,382.7205882,391.544117625,400.36764704999996,409.19117647499996,418.0147059,426.838235325,435.661764675,444.4852941,453.30882352500004,462.13235295000004,470.955882375,479.77941179999993,488.60294115
Mozambique,Peak,611.38167375,674.593995,708.7804719000001,751.1869905000001,822.1838534999999,876.906948,944.02465575,1006.2026445000001,1069.4103375,1116.62007,1165.0899405,1202.53500375,1241.24525175,1280.762445,1322.0041305,1364.10852075,1407.94581,1453.1114467500001,1499.6032034999998,1547.41890375,1597.0694640000002,1646.7200242499998,1696.3705845,1746.02114475,1795.671705,1845.3222652499999,1894.9728255,1944.6233857500001,1994.27394675,2043.9245070000002,2093.57506725
Zimbabwe,Peak,1343.25,1380.75,1470.75,1531.5,1588.5,1615.5,1716.0,1765.5,1818.75,1870.5,1926.0,1975.64670225,2042.81576925,2096.1129645,2167.6626232500003,2223.880212,2291.7793785,2342.15617875,2394.72327525,2447.29037175,2501.317665,2555.34495825,2609.3722515,2663.39954475,2717.4268387499997,2771.454132,2825.48142525,2879.5087185,2933.5360125,2987.56330575,3041.590599
Botswana,Peak,433.5,459.75,510.0,557.25,600.75,652.5,705.75,717.75,738.0,762.75,777.75,805.7652405,786.0,814.31241225,843.64466325,812.25,841.5079605000001,871.8198187500001,860.25,891.2369624999999,879.75,911.43936975,944.2702192500001,978.2836642499999,1013.5223040000001,1050.03027,1087.85328525,1127.0387190000001,1167.63564675,1209.694911,1253.26918725
Namibia,Peak,482.25,484.5,495.75,507.75,522.0,540.75,553.5,566.25,571.5,582.0,590.25,597.75,603.75,615.0,623.25,631.5,637.5,649.5,658.5,667.5,673.5,686.25,696.0,705.0,717.1037021249999,729.4152051,741.9380765999999,754.6759455,767.63250225,780.8115030000001,794.21676525
Zambia,Peak,1738.5,1828.5,1918.5,2008.5,2098.5,2188.5,2278.5,2631.5625,2984.625,3337.6875,3690.75,3893.4750000000004,4096.200000000001,4298.924999999999,4501.65,4704.375,4907.1,5109.825000000001,5312.549999999999,5515.275,5718.0,5898.525,6079.049999999999,6259.575000000001,6440.099999999999,6620.625,6801.150000000001,6981.674999999999,7162.200000000001,7342.724999999999,7523.25
Angola,Peak,1679.3025000000002,1719.9630000000002,1761.27066075,1863.79209975,2193.4256385,2699.88582825,2920.90896075,3166.4521274999997,3260.1145905000003,3377.323851,3468.3855269999995,3558.6312495,3648.3801412499997,3739.8439289999997,3829.80780675,3920.146662,4010.48551725,4100.8243725,4191.163227749999,4281.502083750001,4371.840939,4464.085926,4558.277265,4654.45602225,4752.6641325,4852.94441475,4955.3405917499995,5059.89730725,5166.66014925,5275.6756665,5386.9913895
Tanzania,Peak,0.0,0.0,1058.475,1176.4499999999998,1473.5325,1723.7024999999999,2039.6775000000002,2351.9925,2713.86,2937.75,3234.285,3441.6075,3573.0299999999997,3687.3075,3797.865,3909.195,4015.6875,4127.775,4234.6875,4447.68,4566.84,4685.8275,4797.6675000000005,4919.505,5033.8275,5159.6849999999995,5277.7425,5409.2025,5560.8675,0.0,0.0
DRC,Peak,934.6278975,970.51760925,1007.785485,1046.48444775,1086.6694507500001,1128.39755775,1171.728024,1216.7223795,1263.444519,1311.960789,1362.340083,1414.653942,1468.9766534999999,1525.38535725,1583.96015475,1644.7842247500002,1707.9439387500001,1773.5289862500001,1841.63249925,1912.3511872499998,1985.785473,2059.21975875,2132.65404375,2206.0883295,2279.52261525,2352.956901,2426.39118675,2499.82547175,2573.2597575,2646.69404325,2720.128329
Malawi,Peak,255.0,270.0,276.0,300.0,333.0,378.0,432.75,459.0,493.5,539.25,576.75,621.0,670.5,727.5,781.5,843.0,906.0,975.0,1050.0,1132.5,1221.75,1320.75,1429.5,1501.6666665,1591.7666669999999,1687.2726667499999,1788.5090265000001,1895.819568,2009.5687425,2130.14286675,2257.95143925
DRC_South,Peak,337.93043115,354.29523135,363.709703175,372.312217725,404.44151527500003,414.72026812499996,430.45473555,441.92497004999996,461.69731575,474.722496975,489.104125725,533.6220864,551.6136753000001,570.1196150999999,620.759222925,641.78404425,697.249500675,720.9428961,781.7420999999999,808.3505355,835.9581487500001,863.565762,891.1733752499999,918.78098925,946.3886025,973.9962157499999,1001.6038290000001,1029.211443,1056.81905625,1084.4266695,1112.03428275
Mozal,Peak,751.875,753.75,755.625,757.5,759.375,761.25,763.125,765.0,766.875,768.75,770.625,772.5,774.375,776.25,778.125,780.0,781.875,783.75,785.625,787.5,789.375,791.25,793.125,795.0,796.875,798.75,800.625,802.5,804.375,806.25,808.125
South_Africa,Energy,177000.0,180750.0,176250.0,182250.0,183750.0,185250.0,187500.0,188250.0,190125.0,192000.0,195000.0,198000.0,201750.0,205500.0,211125.0,216750.0,222750.0,228750.0,236250.0,243750.0,250500.0,257250.0,264000.0,270750.0,277125.0,283500.0,290250.0,297000.0,303375.0,309750.0,316500.0
Lesotho,Energy,638.25,655.5,676.5,702.75,721.5,734.25,758.25,789.75,805.5,845.25,870.75,896.25,923.25,953.25,983.25,1013.25,1033.5,1053.75,1074.75,1096.5,1118.25,1140.0,1161.75,1183.5,1205.25,1227.0,1248.75,1270.5,1292.25,1314.0,1335.75
Eswatini,Energy,1230.88235325,1283.8235295,1336.76470575,1389.705882,1442.6470590000001,1495.58823525,1548.5294115000002,1601.4705884999998,1654.41176475,1707.352941,1760.2941180000003,1813.23529425,1866.1764705,1919.11764675,1972.0588237499999,2025.0,2077.9411762500004,2130.88235325,2183.8235295,2236.76470575,2289.7058819999997,2342.647059,2395.5882352500003,2448.5294115,2501.4705885,2554.4117647499997,2607.352941,2660.2941180000003,2713.23529425,2766.1764705,2819.11764675
Mozambique,Energy,4230.75,4668.0,4905.75,5197.5,5690.25,6068.25,6533.25,6963.0,7399.5,7726.9292325,8062.7540850000005,8321.726714999999,8589.094965,8864.2130175,9148.3725075,9441.573434999998,9743.8158075,10055.7454275,10377.36231,10708.6664475,11050.9494675,11393.232495,11735.515515000001,12077.7985425,12420.0815625,12762.364590000001,13104.647617499999,13446.930637499998,13789.213665,14131.496684999998,14473.7797125
Zimbabwe,Energy,7791.0,8016.0,8558.25,8927.25,9271.5,9694.5,10303.5,10602.75,10921.5,11234.25,11567.25,11868.0737025,12272.064517499999,12590.2434375,13022.1954225,13358.693737499998,13765.577085,14070.257505,14382.651352500001,14699.866095,15024.794257500002,15349.722427499999,15674.6505975,15999.578767500001,16324.506937499998,16649.4351075,16974.3632775,17299.2914475,17624.2196175,17949.1477875,18274.0759575
Botswana,Energy,2659.5,2799.75,2994.75,3276.0,3454.5,3459.75,3741.75,4027.5,4107.75,4196.25,4155.0,4176.75,4216.5,4204.5,4242.0,4303.5,4402.5,4525.42857075,4519.5,4645.69549725,4613.25,4742.06322675,4874.47323375,5010.58045275,5150.4881175,5294.302347,5442.13222125,5594.089867500001,5750.290543499999,5910.85272375,6075.89819325
Namibia,Energy,3030.0,3019.5,3072.0,3169.5,3288.75,3397.5,3484.5,3570.75,3621.75,3673.5,3724.5,3776.25,3832.5,3877.5,3931.5,3986.25,4041.75,4104.0,4152.0,4208.25,4266.75,4327.5,4388.25,4455.0,4531.48509675,4609.2833175,4688.41720725,4768.90969725,4850.78411175,4934.064177,5018.77402575
Zambia,Energy,11606.25,12207.75,12809.25,13410.75,14012.25,14613.75,15215.25,18451.125,21687.0,24922.875,28158.75,29161.425000000003,30164.100000000002,31166.774999999998,32169.449999999997,33172.125,34174.8,35177.475000000006,36180.149999999994,37182.825,38185.5,39391.2,40596.899999999994,41802.600000000006,43008.3,44214.0,45419.7,46625.399999999994,47831.100000000006,49036.8,50242.5
