zone,type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,,,,,,37534,38013.68452,38499.49941,38991.52301,39489.83467,39994.51476,40505.64466,41023.3068,41547.58466,42078.56279,42616.32682,43160.96348,43712.56059,44271.20712,44836.99315,45410.00992,45990.34985,46578.10652,47173.37472,47776.25045,48386.83093,49005.21463,49631.50127,50265.79186,50908.18868,51558.79533
Lesotho,Peak,,,,,,208,212.66336,217.4312725,222.3060817,227.290184,232.3860299,237.5961247,242.9230298,248.3693642,253.9378053,259.6310909,265.45202,271.4034543,277.4883197,283.7096078,290.0703772,296.5737551,303.2229387,310.021197,316.9718722,324.0783816,331.3442189,338.7729563,346.368246,354.133822,362.0735023
Eswatini,Peak,,,,,,316,325.32832,334.932012,344.819205,354.9982679,365.4778168,376.266722,387.3741156,398.8093995,410.582253,422.7026411,435.180823,448.0273609,461.2531286,474.869321,488.8874633,503.3194212,518.1774106,533.4740077,549.2221604,565.4351986,582.1268457,599.3112301,617.0028977,635.2168232,653.9684238
Mozambique,Peak,,,,,,2221,2285.409,2351.685861,2419.884751,2490.061409,2728,2807.112,2888.518248,2972.285277,3058.48155,3095,3184.755,3277.112895,3372.149169,3469.941495,3511,3612.819,3717.590751,3825.400883,3936.337508,3982,4097.478,4216.304862,4338.577703,4464.396456,4593.863954
Zimbabwe,Peak,,,,,,2362,2391.83206,2422.040899,2452.631275,2483.608008,2514.975978,2546.740124,2578.905452,2611.477028,2644.459983,2677.859512,2711.680878,2745.929407,2780.610496,2815.729606,2851.292271,2887.304093,2923.770743,2960.697968,2998.091583,3035.95748,3074.301623,3113.130052,3152.448885,3192.264314,3232.582613
Botswana,Peak,,,,,,739,770.777,803.920411,838.4889887,874.5440152,911,947.7133,985.906146,1025.638164,1066.971382,1122,1167.2166,1214.255429,1263.189923,1314.096477,1382,1437.6946,1495.633692,1555.90773,1618.610812,1703,1771.6309,1843.027625,1917.301639,1994.568895,2074.950021
Namibia,Peak,,,,,,712,733.0752,754.7742259,777.115543,800.1181631,823.8016607,848.1861899,873.2925011,899.1419591,925.7565611,953.1589553,981.3724604,1010.421085,1040.329549,1071.123304,1102.828554,1135.472279,1169.082258,1203.687093,1239.316231,1275.999992,1313.769591,1352.657171,1392.695824,1433.91962,1476.363641
Zambia,Peak,,,,,,2447,2495.91553,2545.808881,2596.699601,2648.607626,2701.553292,2755.557343,2810.640934,2866.825646,2924.133491,2982.586919,3042.208832,3103.022587,3165.052008,3228.321398,3292.855542,3358.679725,3425.819732,3494.301869,3564.152963,3635.400381,3708.072035,3782.196395,3857.8025,3934.919972,4013.579023
Angola,Peak,,,,,,3494,3724.604,3970.427864,4232.476103,4511.819526,4778,5093.348,5429.508968,5787.85656,6169.855093,6582,7016.412,7479.495192,7973.141875,8499.369238,9068,9666.488,10304.47621,10984.57164,11709.55337,12493,13317.538,14196.49551,15133.46421,16132.27285,17197.00286
Tanzania,Peak,,,,,,1722,1866.8202,2023.819779,2194.023022,2378.540358,2578.575603,2795.433811,3030.529794,3285.39735,3561.699267,3861.238175,4185.968306,4538.00824,4919.654733,5333.397697,5781.936443,6268.197298,6795.35269,7366.841852,7986.393251,8658.048924,9386.190838,10175.56949,11031.33488,11959.07015,12964.82794
