gen,zone,tech,fuel,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,,1,1985,,,,,,7000,,0.98,,,,,0,,,,,,,,,,,,,,,
Golomoti_BESS,Malawi,Storage,Battery,,1,2022,,,,,,10,,0.9,,,,,180,,,,,,,,,,,,,,,
Ingula_HY_ZAF,South_Africa,Storage,Water,,1,2017,,,,,,9324,,0.98,,,,,0,,,,,,,,,,,,,,,
New_BESS_2029_ZAF,South_Africa,Storage,Battery,,2,2029,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_2028_ZAF,South_Africa,Storage,Battery,,2,2028,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
Komati_BESS,South_Africa,Storage,Battery,,2,2025,,,,,,480,,0.9,,,,,180,,,,,,,,,,,,,,,
Li-ion_storage_A_MWI,Malawi,Storage,Battery,,2,2025,,,,,,80,,0.9,,,,,180,,,,,,,,,,,,,,,
Li-ion_storage_C_MWI,Malawi,Storage,Battery,,3,2030,,,,,,200,,0.9,,,,,180,,,,,,,,,,,,,,,
Lithops_BESS_NAM,Namibia,Storage,Battery,,2,2026,,,,,,45,,0.9,,,,,180,,,,,,,,,,,,,,,
Monont'sa_HY_LSO,Lesotho,Storage,Water,,3,2032,,,,,,8400,,0.98,,,,,0,,,,,,,,,,,,,,,
New_BESS_AGO,Angola,Storage,Battery,,3,2027,,,,,,20000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_BWA,Botswana,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_DRC,DRC,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_DRCSouth,DRC_South,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_LSO,Lesotho,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_MOZ,Mozambique,Storage,Battery,,3,2032,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_MWI,Malawi,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_NAM,Namibia,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_SWZ,Eswatini,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_TZA,Tanzania,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_ZAF,South_Africa,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_ZMB,Zambia,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_ZWE,Zimbabwe,Storage,Battery,,3,2028,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
NEWSto_BWA,Botswana,Storage,Battery,,2,2026,,,,,,50,,0.9,,,,,180,,,,,,,,,,,,,,,
Omburru_BESS_NAM,Namibia,Storage,Battery,,2,2026,,,,,,50,,0.9,,,,,180,,,,,,,,,,,,,,,
PalmietPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,,,,,,2800,,0.98,,,,,0,,,,,,,,,,,,,,,
SreenbrasPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,,,,,,1260,,0.98,,,,,0,,,,,,,,,,,,,,,
BESS_TZA_Candidate,Tanzania,Storage,Battery,,3,2027,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
Sto_MWI_2030,Malawi,Storage,Battery,,3,2030,,,,,,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
