,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Gas,7.632993238,7.8,7.92,8.04,8.16,8.28,8.4,8.52,8.64,8.76,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.791374125,8.703203576,8.61603342,8.529858324,8.443683229,8.357508133,8.271333037,8.185157941,8.098982846,8.01280775,7.926632654,7.84045756,7.754282464,7.668107368
South_Africa,LNG,7.632993238,11.06994766,11.38566004,10.13804853,10.03300714,9.929110003,9.828596227,9.72912947,9.630707316,9.533327042,9.436985632,9.341679781,9.247405924,9.154160231,9.061938625,8.970736799,8.880550214,8.791374125,8.703203576,8.61603342,8.529858324,8.443683229,8.357508133,8.271333037,8.185157941,8.098982846,8.01280775,7.926632654,7.84045756,7.754282464,7.668107368
South_Africa,Coal,5.429268799,4.056901692,3.679788024,6.241969165,5.987514673,5.74419795,5.511531485,5.289049103,5.076305034,4.872873022,4.678345465,4.492332608,4.31446175,4.144376508,3.981736096,3.826214644,3.677500547,3.53529584,3.3993156,3.269287373,3.144950633,3.020613894,2.896277154,2.771940415,2.647603675,2.523266936,2.398930196,2.274593458,2.150256718,2.025919979,1.901583239
South_Africa,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
South_Africa,Diesel,15.03950542,21.76110563,35.9868466,28.88267004,27.32167363,26.50141576,26.46366239,26.42645993,26.38927207,26.35208459,26.31489713,26.27770967,26.04213166,25.80641794,25.57070062,25.3349832,25.09926577,24.86354836,24.62783093,24.39211351,24.1563961,23.92067867,23.68496125,23.44924382,23.21352641,22.97780899,22.74209156,22.50637415,22.27065673,22.0349393,21.79922189
South_Africa,HFO,9.087728728,15.95866007,18.86760565,17.76232027,16.8386542,16.35248872,16.3304193,16.30836187,16.28630488,16.26424788,16.24219088,16.2201339,16.08032592,15.94051501,15.800704,15.66089298,15.52108196,15.38127096,15.24145994,15.10164893,14.96183791,14.8220269,14.68221589,14.54240488,14.40259386,14.26278284,14.12297183,13.98316082,13.84334981,13.70353879,13.56372778
South_Africa,Biomass,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Angola,Gas,7.632993238,7.8,7.92,8.04,8.16,8.28,8.4,8.52,8.64,8.76,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.791374125,8.703203576,8.61603342,8.529858324,8.443683229,8.357508133,8.271333037,8.185157941,8.098982846,8.01280775,7.926632654,7.84045756,7.754282464,7.668107368
Angola,LNG,7.632993238,11.06994766,11.38566004,10.13804853,10.03300714,9.929110003,9.828596227,9.72912947,9.630707316,9.533327042,9.436985632,9.341679781,9.247405924,9.154160231,9.061938625,8.970736799,8.880550214,8.791374125,8.703203576,8.61603342,8.529858324,8.443683229,8.357508133,8.271333037,8.185157941,8.098982846,8.01280775,7.926632654,7.84045756,7.754282464,7.668107368
Angola,Coal,5.429268799,4.056901692,3.679788024,6.241969165,5.987514673,5.74419795,5.511531485,5.289049103,5.076305034,4.872873022,4.678345465,4.492332608,4.31446175,4.144376508,3.981736096,3.826214644,3.677500547,3.53529584,3.3993156,3.269287373,3.144950633,3.020613894,2.896277154,2.771940415,2.647603675,2.523266936,2.398930196,2.274593458,2.150256718,2.025919979,1.901583239
