zone,type,fuel,Q1,Q2,Q3,Q4
South_Africa,GT,Coal,0.93,0.93,0.93,0.93
Angola,GT,Coal,0.93,0.93,0.93,0.93
Bostwana,GT,Coal,0.93,0.93,0.93,0.93
Eswatini,GT,Coal,0.93,0.93,0.93,0.93
Lesotho,GT,Coal,0.93,0.93,0.93,0.93
Malawi,GT,Coal,0.93,0.93,0.93,0.93
Mozambique,GT,Coal,0.93,0.93,0.93,0.93
Namibia,GT,Coal,0.93,0.93,0.93,0.93
Tanzania,GT,Coal,0.93,0.93,0.93,0.93
Zambia,GT,Coal,0.93,0.93,0.93,0.93
Zimbabwe,GT,Coal,0.93,0.93,0.93,0.93
South_Africa,GT,HFO,0.93,0.93,0.93,0.93
Bostwana,GT,HFO,0.93,0.93,0.93,0.93
Mozambique,GT,HFO,0.93,0.93,0.93,0.93
South_Africa,ICE,HFO,0.93,0.93,0.93,0.93
Angola,ICE,HFO,0.93,0.93,0.93,0.93
Bostwana,ICE,HFO,0.93,0.93,0.93,0.93
DRC,ICE,HFO,0.93,0.93,0.93,0.93
Eswatini,ICE,HFO,0.93,0.93,0.93,0.93
Lesotho,ICE,HFO,0.93,0.93,0.93,0.93
Mozambique,ICE,HFO,0.93,0.93,0.93,0.93
Namibia,ICE,HFO,0.93,0.93,0.93,0.93
Tanzania,ICE,HFO,0.93,0.93,0.93,0.93
Zambia,ICE,HFO,0.93,0.93,0.93,0.93
Zimbabwe,ICE,HFO,0.93,0.93,0.93,0.93
Angola,GT,Gas,0.93,0.93,0.93,0.93
Malawi,GT,Gas,0.93,0.93,0.93,0.93
Mozambique,GT,Gas,0.93,0.93,0.93,0.93
Tanzania,GT,Gas,0.93,0.93,0.93,0.93
South_Africa,CCGT,Gas,0.97,0.97,0.97,0.97
Angola,CCGT,Gas,0.97,0.97,0.97,0.97
Botswana,CCGT,Gas,0.97,0.97,0.97,0.97
Mozambique,CCGT,Gas,0.97,0.97,0.97,0.97
Tanzania,CCGT,Gas,0.97,0.97,0.97,0.97
South_Africa,ROR,Water,0.94,0.94,0.94,0.94
Angola,ROR,Water,0.94,0.94,0.94,0.94
DRC,ROR,Water,0.94,0.94,0.94,0.94
DRC_South,ROR,Water,0.94,0.94,0.94,0.94
Eswatini,ROR,Water,0.94,0.94,0.94,0.94
Lesotho,ROR,Water,0.94,0.94,0.94,0.94
Malawi,ROR,Water,0.94,0.94,0.94,0.94
Mozambique,ROR,Water,0.94,0.94,0.94,0.94
Namibia,ROR,Water,0.94,0.94,0.94,0.94
Tanzania,ROR,Water,0.94,0.94,0.94,0.94
Zambia,ROR,Water,0.94,0.94,0.94,0.94
Zimbabwe,ROR,Water,0.94,0.94,0.94,0.94
South_Africa,PV,PV,0.985,0.985,0.985,0.985
Angola,PV,PV,0.985,0.985,0.985,0.985
Bostwana,PV,PV,0.985,0.985,0.985,0.985
DRC,PV,PV,0.985,0.985,0.985,0.985
DRC_South,PV,PV,0.985,0.985,0.985,0.985
Eswatini,PV,PV,0.985,0.985,0.985,0.985
Lesotho,PV,PV,0.985,0.985,0.985,0.985
Malawi,PV,PV,0.985,0.985,0.985,0.985
Mozambique,PV,PV,0.985,0.985,0.985,0.985
Namibia,PV,PV,0.985,0.985,0.985,0.985
Tanzania,PV,PV,0.985,0.985,0.985,0.985
Zambia,PV,PV,0.985,0.985,0.985,0.985
Zimbabwe,PV,PV,0.985,0.985,0.985,0.985
South_Africa,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Angola,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Bostwana,WIND,OnshoreWind,0.97,0.97,0.97,0.97
DRC,WIND,OnshoreWind,0.97,0.97,0.97,0.97
DRC_South,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Eswatini,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Lesotho,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Malawi,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Mozambique,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Namibia,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Tanzania,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Zambia,WIND,OnshoreWind,0.97,0.97,0.97,0.97
Zimbabwe,WIND,OnshoreWind,0.97,0.97,0.97,0.97
South_Africa,WIND,OffshoreWind,0.95,0.95,0.95,0.95
Angola,WIND,OffshoreWind,0.95,0.95,0.95,0.95
Mozambique,WIND,OffshoreWind,0.95,0.95,0.95,0.95
Namibia,WIND,OffshoreWind,0.95,0.95,0.95,0.95
Tanzania,WIND,OffshoreWind,0.95,0.95,0.95,0.95
South_Africa,STORAGE,Battery,0.975,0.975,0.975,0.975
Angola,STORAGE,Battery,0.975,0.975,0.975,0.975
Bostwana,STORAGE,Battery,0.975,0.975,0.975,0.975
DRC,STORAGE,Battery,0.975,0.975,0.975,0.975
DRC_South,STORAGE,Battery,0.975,0.975,0.975,0.975
Eswatini,STORAGE,Battery,0.975,0.975,0.975,0.975
Lesotho,STORAGE,Battery,0.975,0.975,0.975,0.975
Malawi,STORAGE,Battery,0.975,0.975,0.975,0.975
Mozambique,STORAGE,Battery,0.975,0.975,0.975,0.975
Namibia,STORAGE,Battery,0.975,0.975,0.975,0.975
Tanzania,STORAGE,Battery,0.975,0.975,0.975,0.975
Zambia,STORAGE,Battery,0.975,0.975,0.975,0.975
Zimbabwe,STORAGE,Battery,0.975,0.975,0.975,0.975
