country,fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Gas,0,0,6.360827698,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.326145104,7.252669647,7.18002785,7.10821527,7.036402691,6.964590111,6.892777531,6.820964951,6.749152372,6.677339792,6.605527212,6.533714633,6.461902053,6.390089473
South_Africa,LNG,9.580972731,8.722249589,6.360827698,9.224956386,9.488050036,8.448373772,8.360839287,8.274258336,8.190496856,8.107607892,8.02558943,7.944439202,7.864154693,7.784733151,7.706171603,7.628466859,7.551615521,7.475613999,7.400458512,7.326145104,7.252669647,7.18002785,7.10821527,7.036402691,6.964590111,6.892777531,6.820964951,6.749152372,6.677339792,6.605527212,6.533714633,6.461902053,6.390089473
South_Africa,Coal,0,0,4.524390666,3.38075141,3.06649002,5.201640971,4.989595561,4.786831625,4.592942904,4.407540919,4.230254195,4.060727518,3.898621221,3.743610507,3.595384792,3.45364709,3.318113413,3.188512203,3.064583789,2.946079867,2.832763,2.724406144,2.620792194,2.517178245,2.413564295,2.309950346,2.206336396,2.102722447,1.999108497,1.895494548,1.791880598,1.688266649,1.584652699
South_Africa,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Lesotho,Gas,0,0,6.860827698,9.724956386,9.988050036,8.948373772,8.860839287,8.774258336,8.690496856,8.607607892,8.52558943,8.444439202,8.364154693,8.284733151,8.206171603,8.128466859,8.051615521,7.975613999,7.900458512,7.826145104,7.752669647,7.68002785,7.60821527,7.536402691,7.464590111,7.392777531,7.320964951,7.249152372,7.177339792,7.105527212,7.033714633,6.961902053,6.890089473
Lesotho,LNG,10.08097273,9.222249589,6.860827698,9.724956386,9.988050036,8.948373772,8.860839287,8.774258336,8.690496856,8.607607892,8.52558943,8.444439202,8.364154693,8.284733151,8.206171603,8.128466859,8.051615521,7.975613999,7.900458512,7.826145104,7.752669647,7.68002785,7.60821527,7.536402691,7.464590111,7.392777531,7.320964951,7.249152372,7.177339792,7.105527212,7.033714633,6.961902053,6.890089473
Lesotho,Coal,0,0,4.524390666,3.38075141,3.06649002,5.201640971,4.989595561,4.786831625,4.592942904,4.407540919,4.230254195,4.060727518,3.898621221,3.743610507,3.595384792,3.45364709,3.318113413,3.188512203,3.064583789,2.946079867,2.832763,2.724406144,2.620792194,2.517178245,2.413564295,2.309950346,2.206336396,2.102722447,1.999108497,1.895494548,1.791880598,1.688266649,1.584652699
Lesotho,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Eswatini,Gas,0,0,7.56848616,10.56900193,10.84462385,9.75543919,9.663736396,9.573032542,9.485282421,9.398446363,9.31252226,9.227507736,9.143400154,9.060196635,8.977894061,8.89648909,8.815978165,8.736357522,8.657623203,8.579771062,8.502796773,8.426695843,8.351463617,8.27623139,8.200999164,8.125766937,8.050534711,7.975302485,7.900070258,7.824838032,7.749605806,7.674373579,7.599141353
Eswatini,LNG,10.94197143,10.04235671,7.56848616,10.56900193,10.84462385,9.75543919,9.663736396,9.573032542,9.485282421,9.398446363,9.31252226,9.227507736,9.143400154,9.060196635,8.977894061,8.89648909,8.815978165,8.736357522,8.657623203,8.579771062,8.502796773,8.426695843,8.351463617,8.27623139,8.200999164,8.125766937,8.050534711,7.975302485,7.900070258,7.824838032,7.749605806,7.674373579,7.599141353
Eswatini,Coal,0,0,4.524390666,3.38075141,3.06649002,5.201640971,4.989595561,4.786831625,4.592942904,4.407540919,4.230254195,4.060727518,3.898621221,3.743610507,3.595384792,3.45364709,3.318113413,3.188512203,3.064583789,2.946079867,2.832763,2.724406144,2.620792194,2.517178245,2.413564295,2.309950346,2.206336396,2.102722447,1.999108497,1.895494548,1.791880598,1.688266649,1.584652699
Eswatini,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Mozambique,Gas,0,0,4.66,4.76,4.86,4.96,5.06,5.16,5.26,5.36,5.46,5.56,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66
Mozambique,LNG,10.58097273,9.722249589,7.360827698,10.22495639,10.48805004,9.448373772,9.360839287,9.274258336,9.190496856,9.107607892,9.02558943,8.944439202,8.864154693,8.784733151,8.706171603,8.628466859,8.551615521,8.475613999,8.400458512,8.326145104,8.252669647,8.18002785,8.10821527,8.036402691,7.964590111,7.892777531,7.820964951,7.749152372,7.677339792,7.605527212,7.533714633,7.461902053,7.390089473
