g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,,1,1985,2045,,1000,,,7000,,0.98,,,,,0,,,,,,,,,,,,,,,
Golomoti_BESS,Malawi,Storage,Battery,,1,2022,2042,,5,,,10,,0.9,,,,,180,,,,,,,,,,,,,,,
Ingula_HY_ZAF,South_Africa,Storage,Water,,1,2017,2077,,1332,,,9324,,0.98,,,,,0,,,,,,,,,,,,,,,
New_BESS_2029_ZAF,South_Africa,Storage,Battery,,2,2029,2049,,4000,,2615,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_2028_ZAF,South_Africa,Storage,Battery,,2,2028,2048,,4000,,615,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
Komati_BESS,South_Africa,Storage,Battery,,2,2025,2045,,160,,160,480,,0.9,,,,,180,,,,,,,,,,,,,,,
Li-ion_storage_A_MWI,Malawi,Storage,Battery,,2,2025,2045,,30,,30,80,,0.9,,,,,180,,,,,,,,,,,,,,,
Li-ion_storage_C_MWI,Malawi,Storage,Battery,,3,2030,2050,,100,,100,200,,0.9,,,,,180,,,,,,,,,,,,,,,
Lithops_BESS_NAM,Namibia,Storage,Battery,,2,2026,2046,,45,,45,90,,0.9,,,,,180,,,,,,,,,,,,,,,
Monont'sa_HY_LSO,Lesotho,Storage,Water,,3,2032,2092,,4000,,2000,8400,,0.98,,,,,0,,,,,,,,,,,,,,,
New_BESS_AGO,Angola,Storage,Battery,,3,2027,2047,,4000,,100,20000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_BWA,Botswana,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_DRC,DRC,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_DRCSouth,DRC_South,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_LSO,Lesotho,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_MOZ,Mozambique,Storage,Battery,,3,2032,2052,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_MWI,Malawi,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_NAM,Namibia,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_SWZ,Eswatini,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_TZA,Tanzania,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_ZAF,South_Africa,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_ZMB,Zambia,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
New_BESS_ZWE,Zimbabwe,Storage,Battery,,3,2028,2048,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
NEWSto_BWA,Botswana,Storage,Battery,,2,2026,2046,,50,,50,200,,0.9,,,,,180,,,,,,,,,,,,,,,
Omburru_BESS_NAM,Namibia,Storage,Battery,,2,2026,2046,,58,,58,75,,0.9,,,,,180,,,,,,,,,,,,,,,
PalmietPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,2048,,400,,,2800,,0.98,,,,,0,,,,,,,,,,,,,,,
SreenbrasPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,2048,,180,,,1260,,0.98,,,,,0,,,,,,,,,,,,,,,
BESS_TZA_Candidate,Tanzania,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
Sto_MWI_2030,Malawi,Storage,Battery,,3,2030,2050,,4000,,1000,10000000,,0.9,,,,,180,,,,,,,,,,,,,,,
