zone,tech,fuel,Q1,Q2,Q3,Q4
South_Africa,ST,Coal,0.65,0.65,0.65,0.65
South_Africa,OCGT,Gas,0.85,0.85,0.85,0.85
South_Africa,CCGT,Gas,0.85,0.85,0.85,0.85
South_Africa,ICE,Diesel,0.85,0.85,0.85,0.85
South_Africa,ICE,HFO,0.85,0.85,0.85,0.85
South_Africa,OCGT,HFO,0.85,0.85,0.85,0.85
South_Africa,Nuclear,Uranium,0.9,0.9,0.9,0.9
South_Africa,ST,Biomass,0.85,0.85,0.85,0.85
South_Africa,CCGT,LNG,0.85,0.85,0.85,0.85
South_Africa,OCGT,LNG,0.85,0.85,0.85,0.85
South_Africa,PV,Solar,1,1,1,1
South_Africa,CSPPlant,CSP,1,1,1,1
South_Africa,OnshoreWind,Wind,1,1,1,1
South_Africa,OffshoreWind,Wind,1,1,1,1
South_Africa,ST,Geothermal,0.85,0.85,0.85,0.85
South_Africa,Storage,Battery,1,1,1,1
South_Africa,Storage,Water,0.85,0.85,0.85,0.85
South_Africa,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Angola,ST,Coal,0.65,0.65,0.65,0.65
Angola,OCGT,Gas,0.85,0.85,0.85,0.85
Angola,CCGT,Gas,0.85,0.85,0.85,0.85
Angola,ICE,Diesel,0.85,0.85,0.85,0.85
Angola,ICE,HFO,0.85,0.85,0.85,0.85
Angola,OCGT,HFO,0.85,0.85,0.85,0.85
Angola,Nuclear,Uranium,0.9,0.9,0.9,0.9
Angola,ST,Biomass,0.85,0.85,0.85,0.85
Angola,CCGT,LNG,0.85,0.85,0.85,0.85
Angola,OCGT,LNG,0.85,0.85,0.85,0.85
Angola,PV,Solar,1,1,1,1
Angola,CSPPlant,CSP,1,1,1,1
Angola,OnshoreWind,Wind,1,1,1,1
Angola,OffshoreWind,Wind,1,1,1,1
Angola,ST,Geothermal,0.85,0.85,0.85,0.85
Angola,Storage,Battery,1,1,1,1
Angola,Storage,Water,0.85,0.85,0.85,0.85
Angola,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Botswana,ST,Coal,0.65,0.65,0.65,0.65
Botswana,OCGT,Gas,0.85,0.85,0.85,0.85
Botswana,CCGT,Gas,0.85,0.85,0.85,0.85
Botswana,ICE,Diesel,0.85,0.85,0.85,0.85
Botswana,ICE,HFO,0.85,0.85,0.85,0.85
Botswana,OCGT,HFO,0.85,0.85,0.85,0.85
Botswana,Nuclear,Uranium,0.9,0.9,0.9,0.9
Botswana,ST,Biomass,0.85,0.85,0.85,0.85
Botswana,CCGT,LNG,0.85,0.85,0.85,0.85
Botswana,OCGT,LNG,0.85,0.85,0.85,0.85
Botswana,PV,Solar,1,1,1,1
Botswana,CSPPlant,CSP,1,1,1,1
Botswana,OnshoreWind,Wind,1,1,1,1
Botswana,OffshoreWind,Wind,1,1,1,1
Botswana,ST,Geothermal,0.85,0.85,0.85,0.85
Botswana,Storage,Battery,1,1,1,1
Botswana,Storage,Water,0.85,0.85,0.85,0.85
Botswana,ReservoirHydro,Water,0.85,0.85,0.85,0.85
DRC,ST,Coal,0.65,0.65,0.65,0.65
DRC,OCGT,Gas,0.85,0.85,0.85,0.85
DRC,CCGT,Gas,0.85,0.85,0.85,0.85
DRC,ICE,Diesel,0.85,0.85,0.85,0.85
DRC,ICE,HFO,0.85,0.85,0.85,0.85
DRC,OCGT,HFO,0.85,0.85,0.85,0.85
DRC,Nuclear,Uranium,0.9,0.9,0.9,0.9
DRC,ST,Biomass,0.85,0.85,0.85,0.85
DRC,CCGT,LNG,0.85,0.85,0.85,0.85
DRC,OCGT,LNG,0.85,0.85,0.85,0.85
DRC,PV,Solar,1,1,1,1
DRC,CSPPlant,CSP,1,1,1,1
DRC,OnshoreWind,Wind,1,1,1,1
DRC,OffshoreWind,Wind,1,1,1,1
DRC,ST,Geothermal,0.85,0.85,0.85,0.85
DRC,Storage,Battery,1,1,1,1
DRC,Storage,Water,0.85,0.85,0.85,0.85
DRC,ReservoirHydro,Water,0.85,0.85,0.85,0.85
DRC,ROR,Water,1,1,1,1
DRC_South,ST,Coal,0.65,0.65,0.65,0.65
DRC_South,OCGT,Gas,0.85,0.85,0.85,0.85
