zone,iso_a3,level,code,name,coverage
Trakia,TUR,adm1,TR.ED,Edirne,0.982
Trakia,TUR,adm1,TR.IB,Istanbul,0.975
Trakia,TUR,adm1,TR.KL,Kirklareli,0.995
Trakia,TUR,adm1,TR.TG,Tekirdag,0.998
WestAna,TUR,adm1,TR.AY,Aydin,0.993
WestAna,TUR,adm1,TR.BK,Balikesir,0.983
WestAna,TUR,adm1,TR.CK,Canakkale,0.829
WestAna,TUR,adm1,TR.IZ,Izmir,0.989
WestAna,TUR,adm1,TR.MN,Manisa,0.997
WestAna,TUR,adm1,TR.MG,Mugla,0.984
NorthWest,TUR,adm1,TR.BR,Bartin,0.981
NorthWest,TUR,adm1,TR.BC,Bilecik,0.999
NorthWest,TUR,adm1,TR.BL,Bolu,0.994
NorthWest,TUR,adm1,TR.BU,Bursa,0.994
NorthWest,TUR,adm1,TR.ES,Eskisehir,0.997
NorthWest,TUR,adm1,TR.KC,Kocaeli,0.969
NorthWest,TUR,adm1,TR.KU,Kutahya,0.997
NorthWest,TUR,adm1,TR.SK,Sakarya,0.993
NorthWest,TUR,adm1,TR.YL,Yalova,0.930
NorthWest,TUR,adm1,TR.ZO,Zonguldak,0.991
WestMed,TUR,adm1,TR.AF,Afyon,0.997
WestMed,TUR,adm1,TR.AL,Antalya,0.992
WestMed,TUR,adm1,TR.BD,Burdur,0.997
WestMed,TUR,adm1,TR.DN,Denizli,0.997
WestMed,TUR,adm1,TR.IP,Isparta,0.998
WestMed,TUR,adm1,TR.US,Usak,0.994
CenterBlack,TUR,adm1,TR.AM,Amasya,0.999
CenterBlack,TUR,adm1,TR.CI,Cankiri,0.997
CenterBlack,TUR,adm1,TR.CM,Corum,0.999
CenterBlack,TUR,adm1,TR.GI,Giresun,0.987
CenterBlack,TUR,adm1,TR.KB,Karabuk,0.993
CenterBlack,TUR,adm1,TR.KS,Kastamonu,0.993
CenterBlack,TUR,adm1,TR.OR,Ordu,0.988
CenterBlack,TUR,adm1,TR.SS,Samsun,0.993
CenterBlack,TUR,adm1,TR.SP,Sinop,0.989
CenterBlack,TUR,adm1,TR.SV,Sivas,0.997
CenterBlack,TUR,adm1,TR.TT,Tokat,0.998
CenterBlack,TUR,adm1,TR.TB,Trabzon,0.973
CenterAna,TUR,adm1,TR.AK,Aksaray,0.998
CenterAna,TUR,adm1,TR.AN,Ankara,0.997
CenterAna,TUR,adm1,TR.KR,Karaman,0.994
CenterAna,TUR,adm1,TR.KY,Kayseri,0.996
CenterAna,TUR,adm1,TR.KK,Kirikkale,0.996
CenterAna,TUR,adm1,TR.KH,Kirsehir,0.999
CenterAna,TUR,adm1,TR.KO,Konya,0.998
CenterAna,TUR,adm1,TR.NV,Nevsehir,0.999
CenterAna,TUR,adm1,TR.NG,Nigde,0.997
CenterAna,TUR,adm1,TR.YZ,Yozgat,0.995
EastMed,TUR,adm1,TR.AA,Adana,0.995
EastMed,TUR,adm1,TR.HT,Hatay,0.975
EastMed,TUR,adm1,TR.IC,Icel,0.995
EastMed,TUR,adm1,TR.OS,Osmaniye,0.993
SouthEast,TUR,adm1,TR.AD,Adiyaman,0.999
SouthEast,TUR,adm1,TR.BM,Batman,0.995
SouthEast,TUR,adm1,TR.BG,Bingol,0.997
SouthEast,TUR,adm1,TR.DY,Diyarbakir,0.998
SouthEast,TUR,adm1,TR.EG,Elazig,0.999
SouthEast,TUR,adm1,TR.GA,Gaziantep,0.984
SouthEast,TUR,adm1,TR.KM,K.maras,0.997
SouthEast,TUR,adm1,TR.KI,Kilis,0.910
SouthEast,TUR,adm1,TR.ML,Malatya,0.997
SouthEast,TUR,adm1,TR.MR,Mardin,0.988
SouthEast,TUR,adm1,TR.SU,Sanliurfa,0.986
SouthEast,TUR,adm1,TR.SI,Siirt,0.995
SouthEast,TUR,adm1,TR.SR,Sirnak,0.987
SouthEast,TUR,adm1,TR.TC,Tunceli,0.996
EastAna,TUR,adm1,TR.AG,Agri,0.995
EastAna,TUR,adm1,TR.AR,Ardahan,0.994
EastAna,TUR,adm1,TR.AV,Artvin,0.992
EastAna,TUR,adm1,TR.BB,Bayburt,0.998
EastAna,TUR,adm1,TR.BT,Bitlis,0.997
EastAna,TUR,adm1,TR.EN,Erzincan,0.994
EastAna,TUR,adm1,TR.EM,Erzurum,0.999
EastAna,TUR,adm1,TR.GU,Gumushane,0.996
EastAna,TUR,adm1,TR.HK,Hakkari,0.979
EastAna,TUR,adm1,TR.IG,Igdir,0.979
EastAna,TUR,adm1,TR.KA,Kars,0.995
EastAna,TUR,adm1,TR.MS,Mus,0.995
EastAna,TUR,adm1,TR.RI,Rize,0.958
EastAna,TUR,adm1,TR.VA,Van,0.999
PAK_KAR,PAK,adm2,PK.SD.KC,Karachi Central,1.000
PAK_KAR,PAK,adm2,PK.SD.KE,Karachi East,1.000
PAK_KAR,PAK,adm2,PK.SD.KS,Karachi South,0.966
PAK_KAR,PAK,adm2,PK.SD.KW,Karachi West,0.891
PAK_KAR,PAK,adm2,PK.SD.KR,Korangi,1.000
NEPS_TAJ,AFG,adm1,AF.KZ,Kunduz,0.996
NEPS_TAJ,AFG,adm1,AF.TK,Takhar,0.974
TAJ_N,TJK,adm1,TJ.LE,Sughd Province,0.993
NEPS_UZB,AFG,adm1,AF.BK,Balkh,0.992
NEPS_UZB,AFG,adm1,AF.SM,Samangan,0.996
NEPS_UZB,AFG,adm1,AF.SP,Sar-e-Pul,0.984
NEPS_TKM,AFG,adm1,AF.BG,Badghis,0.977
NEPS_TKM,AFG,adm1,AF.FB,Faryab,0.996
NEPS_TKM,AFG,adm1,AF.JW,Jawzjan,0.975
