uni_0,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
H2_AE_2060_Pure,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
H2_PEM_2060_Pure,1.0,0.9375,0.875,0.8125,0.75,0.6875,0.625,0.6125,0.6,0.5875,0.575,0.5625,0.55,0.5375,0.525,0.5125,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4
H2_AE_2070_Pure,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
H2_PEM_2070_Pure,1.0,0.9375,0.875,0.8125,0.75,0.6875,0.625,0.6125,0.6,0.5875,0.575,0.5625,0.55,0.5375,0.525,0.5125,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4
H2_AE_2080_Pure,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
H2_PEM_2080_Pure,1.0,0.9375,0.875,0.8125,0.75,0.6875,0.625,0.6125,0.6,0.5875,0.575,0.5625,0.55,0.5375,0.525,0.5125,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4
H2_AE_2060_Gas,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
H2_PEM_2060_Gas,1.0,0.9375,0.875,0.8125,0.75,0.6875,0.625,0.6125,0.6,0.5875,0.575,0.5625,0.55,0.5375,0.525,0.5125,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4
H2_AE_2070_Gas,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
H2_PEM_2070_Gas,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
H2_AE_2080_Gas,1.0,0.9375,0.875,0.8125,0.75,0.6875,0.625,0.6125,0.6,0.5875,0.575,0.5625,0.55,0.5375,0.525,0.5125,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4
H2_PEM_2080_Gas,1.0,0.914141414141414,0.8282828282828283,0.7424242424242424,0.6565656565656566,0.5707070707070707,0.4848484848484848,0.4787878787878788,0.4727272727272728,0.4666666666666667,0.4606060606060606,0.4545454545454546,0.4484848484848485,0.4424242424242425,0.4363636363636364,0.4303030303030303,0.4242424242424243,0.4181818181818182,0.4121212121212121,0.4060606060606061,0.4,0.393939393939394,0.3878787878787879,0.3818181818181818,0.3757575757575758,0.3696969696969697,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636
