uni_0,uni_1,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
WestAna,Q1,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
WestAna,Q2,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
WestAna,Q3,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
WestAna,Q4,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
EastMed,Q1,170473.7375653268,352312.390968342,534151.0443713572,715989.6977743725,897828.3511773875,1079667.0045804027,1261505.657983418,1443344.3113864334,1625182.9647894483,1807021.618192464,1988860.271595479,2181251.4720335617,2383758.5632204227,2595782.7585992687,2816556.154323387,3045137.332304881,3280409.916711794,3521084.403344278,3765703.522996063,4012651.3278059894,4260166.104920292,4506357.126319773,4749225.139804061,4986686.396794264
EastMed,Q2,170473.7375653268,352312.390968342,534151.0443713572,715989.6977743725,897828.3511773875,1079667.0045804027,1261505.657983418,1443344.3113864334,1625182.9647894483,1807021.618192464,1988860.271595479,2181251.4720335617,2383758.5632204227,2595782.7585992687,2816556.154323387,3045137.332304881,3280409.916711794,3521084.403344278,3765703.522996063,4012651.3278059894,4260166.104920292,4506357.126319773,4749225.139804061,4986686.396794264
EastMed,Q3,170473.7375653268,352312.390968342,534151.0443713572,715989.6977743725,897828.3511773875,1079667.0045804027,1261505.657983418,1443344.3113864334,1625182.9647894483,1807021.618192464,1988860.271595479,2181251.4720335617,2383758.5632204227,2595782.7585992687,2816556.154323387,3045137.332304881,3280409.916711794,3521084.403344278,3765703.522996063,4012651.3278059894,4260166.104920292,4506357.126319773,4749225.139804061,4986686.396794264
EastMed,Q4,170473.7375653268,352312.390968342,534151.0443713572,715989.6977743725,897828.3511773875,1079667.0045804027,1261505.657983418,1443344.3113864334,1625182.9647894483,1807021.618192464,1988860.271595479,2181251.4720335617,2383758.5632204227,2595782.7585992687,2816556.154323387,3045137.332304881,3280409.916711794,3521084.403344278,3765703.522996063,4012651.3278059894,4260166.104920292,4506357.126319773,4749225.139804061,4986686.396794264
NorthWest,Q1,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
NorthWest,Q2,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
NorthWest,Q3,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
NorthWest,Q4,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
Trakia,Q1,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
Trakia,Q2,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
Trakia,Q3,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
Trakia,Q4,511421.2126959803,1056937.172905026,1602453.1331140716,2147969.093323117,2693485.053532162,3239001.013741208,3784516.973950254,4330032.9341593,4875548.894368344,5421064.854577391,5966580.814786436,6543754.4161006855,7151275.689661268,7787348.275797806,8449668.46297016,9135411.996914642,9841229.750135385,10563253.210032834,11297110.568988187,12037953.983417967,12780498.314760877,13519071.37895932,14247675.419412185,14960059.190382792
