uni_0,Q1,Q2,Q3,Q4
H2_AE_2060_Pure,0.9,0.9,0.9,0.9
H2_PEM_2060_Pure,0.9,0.9,0.9,0.9
H2_AE_2070_Pure,0.9,0.9,0.9,0.9
H2_PEM_2070_Pure,0.9,0.9,0.9,0.9
H2_AE_2080_Pure,0.9,0.9,0.9,0.9
H2_PEM_2080_Pure,0.9,0.9,0.9,0.9
H2_AE_2060_Gas,0.9,0.9,0.9,0.9
H2_PEM_2060_Gas,0.9,0.9,0.9,0.9
H2_AE_2070_Gas,0.9,0.9,0.9,0.9
H2_PEM_2070_Gas,0.9,0.9,0.9,0.9
H2_AE_2080_Gas,0.9,0.9,0.9,0.9
H2_PEM_2080_Gas,0.9,0.9,0.9,0.9
