c,fuel,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AFG,Coal,3.1606765328,2.5369978858,2.1317829457,1.9133192389,1.895701198,1.8780831572,1.8639887245,1.8463706836,1.8287526427,1.8287526427,1.8287526427,1.8287526427,1.8287526427,1.7441860465
AFG,Gas,6.6553197183,6.8265706528,7.0179687561,6.9978215874,6.9776744186,6.9676008342,6.9474536654,6.9373800811,6.9273064967,6.9273064967,6.9273064967,6.9273064967,6.9273064967,6.8366442372
AFG,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
KAZ,Coal,0.5055813953,0.5643699297,0.623158464,0.6819469984,0.7407355327,0.7995240671,0.8583126014,0.8583126014,0.8583126014,0.8583126014,0.8583126014,0.8583126014,0.8583126014,0.8583126014
KAZ,Coal_KAZ_S,0.7415193798,0.8277425635,0.9139657473,1.000188931,1.0864121147,1.1726352984,1.2588584821,1.2588584821,1.2588584821,1.2588584821,1.2588584821,1.2588584821,1.2588584821,1.2588584821
KAZ,Gas,4.5064186047,4.5064186047,4.566457097,4.566457097,4.6264955894,4.6865340818,4.6865340818,4.7465725742,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.9867265437
KAZ,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
KAZ,UR,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605,0.3842418605
KGZ,Coal,2.5212226792,2.814388107,3.1075535349,3.4007189627,3.6938843905,3.9870498183,4.2802152461,4.2802152461,4.2802152461,4.2802152461,4.2802152461,4.2802152461,4.2802152461,4.2802152461
KGZ,Gas,4.5064186047,4.5064186047,4.566457097,4.566457097,4.6264955894,4.6865340818,4.6865340818,4.7465725742,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.9867265437
KGZ,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
PAK,Coal,2.6098009841,2.6880950137,2.7687378641,2.8518,2.93328,3.017088,3.1032905143,3.1919559576,3.2592,3.29994,3.34118925,3.3829541156,3.4252410421,3.4629
PAK,Gas,6.6553197183,6.8265706528,7.0179687561,6.9978215874,6.9776744186,6.9676008342,6.9474536654,6.9373800811,6.9273064967,6.9273064967,6.9273064967,6.9273064967,6.9273064967,6.8366442372
PAK,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
PAK,LNG,7.9765860465,8.1880186047,8.4243255814,8.3994511628,8.3745767442,8.3621395349,8.3372651163,8.324827907,8.3123906977,8.3123906977,8.3123906977,8.3123906977,8.3123906977,8.200455814
PAK,UR,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535,1.1778139535
TAJ,Coal,2.2242424242,2.4828752643,2.7415081043,3.0001409443,3.2587737844,3.5174066244,3.7760394644,3.7760394644,3.7760394644,3.7760394644,3.7760394644,3.7760394644,3.7760394644,3.7760394644
TAJ,Gas,4.5064186047,4.5064186047,4.566457097,4.566457097,4.6264955894,4.6865340818,4.6865340818,4.7465725742,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.9867265437
TAJ,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
TUR,Coal,3.1606765328,2.5369978858,2.1317829457,1.9133192389,1.895701198,1.8780831572,1.8639887245,1.8463706836,1.8287526427,1.8287526427,1.8287526427,1.8287526427,1.8287526427,1.7441860465
TUR,Gas,4.5064186047,4.5064186047,4.566457097,4.566457097,4.6264955894,4.6865340818,4.6865340818,4.7465725742,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.9867265437
TUR,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
UZB,Coal,0.7093779802,0.7491031471,0.791211824,0.8358470215,0.8831603309,0.9333124388,0.9864736732,1.0146491275,1.0436698453,1.0735611847,1.1043492643,1.1360609863,1.1687240599,1.2023670257
UZB,Gas,4.5064186047,4.5064186047,4.566457097,4.566457097,4.6264955894,4.6865340818,4.6865340818,4.7465725742,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.8066110666,4.9867265437
UZB,HFO,9.0956795522,9.3722923472,9.6814478239,9.6489051422,9.6163624604,9.6000911195,9.5675484377,9.5512770969,9.535005756,9.535005756,9.535005756,9.535005756,9.535005756,9.3885636881
