g,Q1,Q2,Q3,Q4,Q5
ABADAN _CITY-1_CHP_2023,0.85,0.85,0.85,0.85,1
ABADAN _CITY-2_CCGT_2028,0.85,0.85,0.85,0.85,1
AKSUSKAYA_ST_2023,0.85,0.85,0.85,0.85,1
ALMATY-1_CHP_2023,0.85,0.85,0.85,0.85,1
ALMATY-2_CHP_2023,0.85,0.85,0.85,0.85,1
ALMATY-3_CHP_2023,0.85,0.85,0.85,0.85,1
ANGREN_ST_2023,0.85,0.85,0.85,0.85,1
ASTANA-2_CHP_2023,0.85,0.85,0.85,0.85,1
ATLAS _POWER_ICE_2029,0.85,0.85,0.85,0.85,1
BIN _QASIM_ST_2023,0.85,0.85,0.85,0.85,1
BIN _QASIM_ST_2024,0.85,0.85,0.85,0.85,1
BIN _QASIM_ST_2029,0.85,0.85,0.85,0.85,1
BIN _QASIM_ST_2031,0.85,0.85,0.85,0.85,1
BISHKEK_CHP_2023,0.3085277058,0.3085277058,0.3085277058,0.3085277058,0.3085277058
DUSHANBE-1_CHP_2023,0.85,0.85,0.85,0.85,1
FAISALABAD _LIBERTY_ICE_2031,0.85,0.85,0.85,0.85,1
FAISALABAD_CCGT_2023,0.85,0.85,0.85,0.85,1
FERGANA_CHP_2023,0.85,0.85,0.85,0.85,1
GUDDU_CCGT_2023,0.85,0.85,0.85,0.85,1
GUDDU_CCGT_2024,0.85,0.85,0.85,0.85,1
GUDDU_ST_2023,0.85,0.85,0.85,0.85,1
GUDDU_ST_2026,0.85,0.85,0.85,0.85,1
HABIBULLAH _COASTAL_CCGT_2029,0.85,0.85,0.85,0.85,1
JAMSHORO_ST_2029,0.85,0.85,0.85,0.85,1
JAMSHORO_ST_2030,0.85,0.85,0.85,0.85,1
KABIRWALA_CCGT_2029,0.85,0.85,0.85,0.85,1
KAPCHAGAY_HY_2031,0.2288029101,0.2436854471,0.3323001209,0.1517425539,0.3243716931
KARACHI _TAPAL_ICE_2023,0.85,0.85,0.85,0.85,1
KARAGANDA _HPS-2_CHP_2023,0.85,0.85,0.85,0.85,1
KARAGANDA _TPS-2_CHP_2023,0.85,0.85,0.85,0.85,1
KARAGANDA _TPS-3_CHP_2023,0.85,0.85,0.85,0.85,1
KAZ_N_CHP_2023,0.85,0.85,0.85,0.85,1
KAZ_S_CHP_2023,0.85,0.85,0.85,0.85,1
KOHINOOR_ICE_2023,0.85,0.85,0.85,0.85,1
KORANGI _KORANGI GUL _AHMED_ICE_2023,0.85,0.85,0.85,0.85,1
KOT _ADDU_CCGT_2023,0.85,0.85,0.85,0.85,1
KOT _ADDU_CCGT_2024,0.85,0.85,0.85,0.85,1
KOT _ADDU_CCGT_2025,0.85,0.85,0.85,0.85,1
KOT _ADDU_CCGT_2026,0.85,0.85,0.85,0.85,1
KOTRI_CCGT_2023,0.85,0.85,0.85,0.85,1
LIBERTY _DAHARKI_CCGT_2031,0.85,0.85,0.85,0.85,1
MARY_CHP_2023,0.85,0.85,0.85,0.85,1
MORGAH_ICE_2029,0.85,0.85,0.85,0.85,1
MULTAN_ST_2023,0.85,0.85,0.85,0.85,1
NAROWAL_ICE_2031,0.85,0.85,0.85,0.85,1
NAVOI_ST_2023,0.85,0.85,0.85,0.85,1
NISHAT _CHUNIAN_ICE_2031,0.85,0.85,0.85,0.85,1
NISHAT _POWER_ICE_2029,0.85,0.85,0.85,0.85,1
PAK_N_ICE_2023,0.85,0.85,0.85,0.85,1
PAK_N_ICE_2030,0.85,0.85,0.85,0.85,1
PAVLODAR-1_CHP_2023,0.85,0.85,0.85,0.85,1
PAVLODAR-2_CHP_2023,0.85,0.85,0.85,0.85,1
PAVLODAR-3_CHP_2023,0.85,0.85,0.85,0.85,1
