z,tech,q,d,t1,t2,t3,t4,t5,t6,t7
KAZ_N,PV,Q1,d1,0,0.133394241,0.5661286059,0.3228403388,0.0319629934,0,0
KAZ_N,PV,Q2,d1,0,0.133394241,0.6000541831,0.5649549413,0.1114604928,0,0
KAZ_N,PV,Q3,d1,0,0.1599483242,0.5661286059,0.5082860475,0.1218524623,1.91802e-05,0
KAZ_N,PV,Q4,d1,0,0.0613324262,0.4079161393,0.3228403388,0.0157857992,0,0
KAZ_N,PV,Q5,d1,0,0,0,0,0.2655787375,0,1.22321e-05
KAZ_N,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
KAZ_N,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
KAZ_N,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
KAZ_N,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
KAZ_N,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
KAZ_S,PV,Q1,d1,0,0.133394241,0.5661286059,0.3228403388,0.0319629934,0,0
KAZ_S,PV,Q2,d1,0,0.133394241,0.6000541831,0.5649549413,0.1114604928,0,0
KAZ_S,PV,Q3,d1,0,0.1599483242,0.5661286059,0.5082860475,0.1218524623,1.91802e-05,0
KAZ_S,PV,Q4,d1,0,0.0613324262,0.4079161393,0.3228403388,0.0157857992,0,0
KAZ_S,PV,Q5,d1,0,0,0,0,0.2655787375,0,1.22321e-05
KAZ_S,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
KAZ_S,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
KAZ_S,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
KAZ_S,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
KAZ_S,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
