z,q,d,y,t1,t2,t3,t4,t5,t6,t7
KAZ_N,Q1,d1,2017,8042.8352815327,8317.4517559125,8463.647128255,8308.309080829,8794.4344348266,8835.7945064326,0
KAZ_N,Q1,d1,2018,8605.0574612011,8898.8705829564,9055.285520666,8889.088803063,9409.1960112886,9453.4472958557,0
KAZ_N,Q1,d1,2019,9206.5809280707,9520.9326096679,9688.2814959333,9510.467049314,10066.9315616536,10114.2761650307,0
KAZ_N,Q1,d1,2020,9808.1043949402,10142.9946363794,10321.2774712007,10131.8452955649,10724.6671120186,10775.1050342058,0
KAZ_N,Q1,d1,2021,9885.2873223489,10222.8129159574,10402.4987120997,10211.5758376222,10809.0627474908,10859.8975808782,0
KAZ_N,Q1,d1,2022,9980.9270367465,10321.7181754346,10503.1424236485,10310.3723788672,10913.6399479673,10964.9666061027,0
KAZ_N,Q1,d1,2023,10207.4421497937,10555.9674741962,10741.5091088957,10544.3641870788,11161.322791201,11213.8142974238,0
KAZ_N,Q1,d1,2024,10469.1929470925,10826.6555527652,11016.9550562923,10814.7547210123,11447.5340767154,11501.3716296172,0
KAZ_N,Q1,d1,2025,10720.8764060338,11086.9325513893,11281.8069287892,11074.7456190252,11722.737235864,11777.8690644184,0
KAZ_N,Q1,d1,2026,10998.2948496196,11373.823236074,11573.7402745797,11361.3209489124,12026.080301801,12082.6387474986,0
KAZ_N,Q1,d1,2027,11282.8919034166,11668.1376391386,11873.2278250222,11655.3118369103,12337.2728156785,12395.2947943357,0
KAZ_N,Q1,d1,2028,11574.8533245212,11970.0678602139,12180.4650562716,11956.9101714908,12656.5178935056,12716.0412761902,0
KAZ_N,Q1,d1,2029,11874.3696767678,12279.810969791,12495.6525027158,12266.3128065219,12984.0239072169,13045.0875449661,0
KAZ_N,Q1,d1,2030,12181.6364551104,12597.5691378499,12818.9958878649,12583.7216897552,13320.0046206774,13382.6483698561,0
KAZ_N,Q2,d1,2017,7481.0762591678,7728.5191905443,7861.7826580458,7721.2490939246,8069.9463823356,7982.9709564093,0
KAZ_N,Q2,d1,2018,8004.0295279426,8268.7695814598,8411.3486291698,8260.9912797825,8634.0637223117,8541.0084113908,0
KAZ_N,Q2,d1,2019,8563.5390503697,8846.7853550687,8999.3311744672,8838.4633230314,9237.6148277906,9138.0546267528,0
KAZ_N,Q2,d1,2020,9123.0485727968,9424.8011286776,9587.3137197645,9415.9353662803,9841.1659332695,9735.1008421147,0
KAZ_N,Q2,d1,2021,9194.8405896215,9498.9677272439,9662.7591788543,9490.0321974921,9918.6090318805,9811.7092825795,0
