z,q,d,y,t1,t2,t3,t4,t5,t6,t7
KAZ_N,Q2,d1,2022,9283.8002626434,9590.8698167717,9756.2459433785,9581.8478361677,10014.5711323332,9906.6371327208,0
KAZ_N,Q2,d1,2023,9494.4942250636,9808.5326603901,9977.6619646202,9799.3059277677,10241.8497913002,10131.4662514763,0
KAZ_N,Q2,d1,2024,9737.9628038603,10060.0541685714,10233.520478055,10050.5908336166,10504.4829083287,10391.2687887049,0
KAZ_N,Q2,d1,2025,9972.0672065495,10301.9017725918,10479.5382794347,10292.2109353944,10757.0147516253,10641.0789206555,0
KAZ_N,Q2,d1,2026,10230.1091108678,10568.4786313753,10750.7117440725,10558.5370295136,11035.3683280499,10916.4324869535,0
KAZ_N,Q2,d1,2027,10494.8282289478,10841.9535584191,11028.9022209072,10831.7547029887,11320.9247126231,11198.9112317262,0
KAZ_N,Q2,d1,2028,10766.3973435153,11122.5050513841,11314.2912854487,11112.0422855705,11613.8702885986,11488.6995294453,0
KAZ_N,Q2,d1,2029,11044.9937083035,11410.3162268206,11607.0652117407,11399.5827215546,11914.3962621708,11785.9865255429,0
KAZ_N,Q2,d1,2030,11330.7991637463,11705.5749396889,11907.4150939413,11694.563689189,12222.6987872755,12090.9662598675,0
KAZ_N,Q3,d1,2017,6627.7235550353,6847.4734442037,6966.5036183901,6843.8216842225,7155.7414484583,7075.7743964209,0
KAZ_N,Q3,d1,2018,7091.0244996546,7326.1356709264,7453.4864685789,7322.2286402123,7655.9526816205,7570.3956543164,0
KAZ_N,Q3,d1,2019,7586.7117928449,7838.2580533047,7974.5111149639,7834.0779075451,8191.1304209909,8099.5926596927,0
KAZ_N,Q3,d1,2020,8082.3990860351,8350.3804356829,8495.5357613489,8345.9271748779,8726.3081603613,8628.789665069,0
KAZ_N,Q3,d1,2021,8146.0019186341,8416.0920942308,8562.3896908711,8411.6037893752,8794.9781073935,8696.6922096919,0
KAZ_N,Q3,d1,2022,8224.814124246,8497.5174102575,8645.2304296269,8492.9856812524,8880.069128716,8780.8323193333,0
KAZ_N,Q3,d1,2023,8411.4746112214,8690.3668429522,8841.4321793116,8685.7322672773,9081.6004950061,8980.1115263788,0
KAZ_N,Q3,d1,2024,8627.1711739485,8913.2150762884,9068.1542011695,8908.4616555727,9314.4811849413,9210.3897211869,0
KAZ_N,Q3,d1,2025,8834.5717150323,9127.492223727,9286.1561452637,9122.6245289337,9538.4049252636,9431.8110623486,0
KAZ_N,Q3,d1,2026,9063.179250658,9363.6795082966,9526.449092141,9358.6858547419,9785.2251802913,9675.8730444118,0
KAZ_N,Q3,d1,2027,9297.7023424681,9605.9784862016,9772.9599724039,9600.8556145173,10038.4322724023,9926.250489189,0
KAZ_N,Q3,d1,2028,9538.2940641784,9854.5473064951,10025.849684223,9849.2918729721,10298.1914703988,10183.1068185655,0
KAZ_N,Q3,d1,2029,9785.1114505125,10109.5482105697,10285.2832892459,10104.1567849754,10564.6723196565,10446.6096832086,0
KAZ_N,Q3,d1,2030,10038.3155996982,10371.1476380525,10551.4301203329,10365.616701392,10838.0487527868,10716.9310719929,0
KAZ_N,Q4,d1,2017,7450.0421582639,7703.7471237921,7840.3830876508,7696.2930429581,8179.1444398383,8217.0803869398,0
KAZ_N,Q4,d1,2018,7970.8260353697,8242.2658610212,8388.4531543219,8234.2907139926,8750.8951041031,8791.482905945,0
KAZ_N,Q4,d1,2019,8528.0145180996,8818.4289323239,8974.8352262386,8809.8962947602,9362.6131298067,9406.0381602652,0
KAZ_N,Q4,d1,2020,9085.2030008295,9394.5920036267,9561.2172981552,9385.5018755277,9974.3311555103,10020.5934145855,0
KAZ_N,Q4,d1,2021,9156.6971994503,9468.5208774898,9636.4573966438,9459.3592164351,10052.8221713607,10099.4484820854,0
KAZ_N,Q4,d1,2022,9245.2878368718,9560.1283951028,9729.6896925971,9550.8780953856,10150.0827779579,10197.1601961614,0
KAZ_N,Q4,d1,2023,9455.1077676069,9777.0935683967,9950.503025118,9767.6333350052,10380.4368462145,10428.5826768678,0
KAZ_N,Q4,d1,2024,9697.5663542341,10027.8088797585,10205.6650982532,10018.1060563433,10646.6237695333,10696.0042101285,0
KAZ_N,Q4,d1,2025,9930.6996106064,10268.8812945296,10451.0132454987,10258.9452114762,10902.5727342628,10953.1402998022,0
KAZ_N,Q4,d1,2026,10187.6710675427,10534.6036998818,10721.4485829333,10524.410506067,11184.6928375519,11236.5689132165,0
KAZ_N,Q4,d1,2027,10451.2920388404,10807.2020632553,10998.8818324378,10796.74510556,11474.1132134115,11527.3316588251,0
KAZ_N,Q4,d1,2028,10721.7345904628,11086.8543101759,11283.4940752785,11076.1267633218,11771.0227671305,11825.6183180844,0
KAZ_N,Q4,d1,2029,10999.1752408328,11373.7429702541,11575.4710784656,11362.7378323488,12075.6152921998,12131.6235833253,0
KAZ_N,Q4,d1,2030,11283.7950760471,11668.0552963226,11875.0034160041,11656.7653842894,12388.0895968021,12445.5471848286,0
KAZ_N,Q5,d1,2017,9318.1484713381,8965.5989252691,8764.0837745488,8988.5055252044,6748.7143781468,8995.0023060083,8812.7257427946
KAZ_N,Q5,d1,2018,9969.519481765,9592.3254953596,9376.7237342204,9616.833346358,7220.4730024161,9623.7842747524,9428.7659453474
KAZ_N,Q5,d1,2019,10666.4235929501,10262.8624340525,10032.189359397,10289.0834691364,7725.2091965014,10296.5202916186,10087.8695022172
KAZ_N,Q5,d1,2020,11363.3277041352,10933.3993727453,10687.6549845735,10961.3335919149,8229.9453905867,10969.2563084849,10746.9730590871
KAZ_N,Q5,d1,2021,11452.7491521534,11019.4375852415,10771.7593604679,11047.5916271947,8294.709309493,11055.5766900075,10831.5442267747
KAZ_N,Q5,d1,2022,11563.553989915,11126.0501528998,10875.9756523369,11154.4765839544,8374.9602524856,11162.5389018942,10936.3389345615
KAZ_N,Q5,d1,2023,11825.9865004031,11378.5536026168,11122.8037120269,11407.6251657539,8565.0282753629,11415.8704563627,11184.5369266883
KAZ_N,Q5,d1,2024,12129.2418458561,11670.3353667342,11408.0272476685,11700.1524158332,8784.6624351322,11708.6091415262,11471.343495368
KAZ_N,Q5,d1,2025,12420.8335241762,11950.8947553086,11682.280647324,11981.4286178325,8995.8491272181,11990.0886464912,11747.1190421755
KAZ_N,Q5,d1,2026,12742.2408582236,12260.1417325995,11984.5768395354,12291.4657037207,9228.6299530656,12300.3498233567,12051.0930232078
KAZ_N,Q5,d1,2027,13071.9650797149,12577.3909302196,12294.69539029,12609.5254551599,9467.4343251193,12618.6394644569,12362.9327780364
KAZ_N,Q5,d1,2028,13410.2214003438,12902.8494173884,12612.8387146189,12935.81547042,9712.4181114959,12945.1653181109,12682.8418451262
KAZ_N,Q5,d1,2029,13757.2306007232,13236.7296215459,12939.2144653401,13270.5487196809,9963.7412136286,13280.1405084312,13011.0290297988
KAZ_N,Q5,d1,2030,14113.219174489,13579.2494670045,13274.0356685933,13613.9436840395,10221.5676706354,13623.7836744298,13347.708540521
KAZ_S,Q1,d1,2017,3683.2507211668,4172.6108591638,4293.4384811936,4253.5499771093,4688.1505539245,4424.8338726307,0
KAZ_S,Q1,d1,2018,3937.0277752952,4460.1049702156,4589.2576508139,4546.6208171082,5011.1655010331,4729.7062232287,0
KAZ_S,Q1,d1,2019,4208.7129554562,4767.886497685,4905.9517060326,4860.3726030547,5356.974441094,5056.0923095626,0
KAZ_S,Q1,d1,2020,4480.3981356173,5075.6680251545,5222.6457612512,5174.1243890012,5702.7833811548,5382.4783958965,0
KAZ_S,Q1,d1,2021,4635.8433273043,5251.7658104914,5403.8428662624,5353.6380690617,5900.6386228098,5569.2208149129,0
KAZ_S,Q1,d1,2022,4754.834558109,5386.5663275856,5542.5468448771,5491.0534082231,6052.0941838997,5712.1696577883,0
KAZ_S,Q1,d1,2023,4862.8208195907,5508.899744833,5668.4227098627,5615.7598142828,6189.542294253,5841.8977984324,0
KAZ_S,Q1,d1,2024,4936.4165519382,5592.2734750589,5754.2107197574,5700.7508044,6283.2171210543,5930.3112446039,0
KAZ_S,Q1,d1,2025,5146.8865902401,5830.7067596302,5999.5483929141,5943.8091499687,6551.1096163926,6183.1571747765,0
KAZ_S,Q1,d1,2026,5323.9848961987,6031.3345122661,6205.9857873026,6148.3286226528,6776.525582894,6395.9123311083,0
KAZ_S,Q1,d1,2027,5507.3073246758,6239.0133301635,6419.6784268957,6360.0359351556,7009.8637967909,6616.1447704795,0
KAZ_S,Q1,d1,2028,5697.0773683332,6453.9963994285,6640.8868293903,6579.1891848152,7251.4087261594,6844.1229834098,0
KAZ_S,Q1,d1,2029,5893.5267140233,6676.5461890455,6869.8810641689,6806.0559319149,7501.4552688839,7080.1253044222,0
KAZ_S,Q1,d1,2030,6096.8955491226,6906.9347979105,7106.9411093819,7040.9135534474,7760.3091425674,7324.4402800531,0
KAZ_S,Q2,d1,2017,3050.7379726862,3445.0998167154,3573.7408417095,3542.9652534313,3902.1453229091,3829.5378177869,0
KAZ_S,Q2,d1,2018,3260.9347130755,3682.4682037329,3819.9726330496,3787.0765977197,4171.0042792484,4093.3940957444,0
KAZ_S,Q2,d1,2019,3485.9642748618,3936.5868166739,4083.5801086007,4048.4139939634,4458.8356367437,4375.8697539937,0
KAZ_S,Q2,d1,2020,3710.9938366481,4190.7054296149,4347.1875841518,4309.7513902072,4746.666994239,4658.345412243,0
KAZ_S,Q2,d1,2021,3839.7449276955,4336.0998765128,4498.0111018089,4459.2760776783,4911.3502519452,4819.9643964566,0
KAZ_S,Q2,d1,2022,3938.3021788069,4447.3973955984,4613.4645024933,4573.7352410965,5037.4130996583,4943.6815834873,0
KAZ_S,Q2,d1,2023,4027.7443084283,4548.4015025142,4718.2401320161,4677.6085859326,5151.8169556754,5055.9567185383,0
KAZ_S,Q2,d1,2024,4088.7016833932,4617.2386963995,4789.6477266591,4748.4012476999,5229.7864626425,5132.4754411526,0
KAZ_S,Q2,d1,2025,4263.028381891,4814.1002041462,4993.860100124,4950.8550280811,5452.7646788288,5351.3046852647,0
KAZ_S,Q2,d1,2026,4409.7141678413,4979.7477224899,5165.6929447807,5121.2081188569,5640.3878895758,5535.4367771251,0
KAZ_S,Q2,d1,2027,4561.5552278555,5151.216925256,5343.5648572424,5297.5482714662,5834.6051207719,5726.0401940109,0
KAZ_S,Q2,d1,2028,4718.7366749226,5328.7168545616,5527.6926853194,5480.090466315,6035.6531471879,5923.3473050073,0
KAZ_S,Q2,d1,2029,4881.4504090602,5512.4642168961,5718.301227384,5669.0575659044,6243.7774247637,6127.5989988376,0
KAZ_S,Q2,d1,2030,5049.8953710425,5702.6836696474,5915.6235295961,5864.6806094965,6459.2324151469,6339.0450023627,0
KAZ_S,Q3,d1,2017,2613.8493367746,3006.8786616553,3345.7447380109,3334.8449704366,3426.1168556164,3486.9551915483,0
KAZ_S,Q3,d1,2018,2793.9443221119,3214.0534826609,3576.2675309879,3564.6167662334,3662.1773110509,3727.2074261583,0
KAZ_S,Q3,d1,2019,2986.7479571982,3435.8478791757,3823.0574811522,3810.602724071,3914.8956964221,3984.413389354,0
KAZ_S,Q3,d1,2020,3179.5515922845,3657.6422756906,4069.8474313164,4056.5886819085,4167.6140817934,4241.6193525498,0
KAZ_S,Q3,d1,2021,3289.864558182,3784.5423607851,4211.0487698914,4197.3300147472,4312.2073858286,4388.780232758,0
KAZ_S,Q3,d1,2022,3374.3076692452,3881.6826914106,4319.1365202165,4305.0656367875,4422.8916406874,4501.4299330944,0
KAZ_S,Q3,d1,2023,3450.9410128111,3969.8389452153,4417.2277155983,4402.8372706622,4523.3392014552,4603.6611640355,0
KAZ_S,Q3,d1,2024,3503.1688329484,4029.9199589548,4484.079676782,4469.4714415194,4591.7970931887,4673.3346781163,0
KAZ_S,Q3,d1,2025,3652.5306363318,4201.7404281536,4675.2637900738,4660.032715186,4787.5738676788,4872.5879053009,0
KAZ_S,Q3,d1,2026,3778.2099138552,4346.3173677961,4836.1341109202,4820.3789526835,4952.3086460253,5040.2479165589,0
KAZ_S,Q3,d1,2027,3908.3061914007,4495.9754660686,5002.6582215141,4986.3605610116,5122.8330305339,5213.8003413319,0
KAZ_S,Q3,d1,2028,4042.9780723843,4650.8971746603,5175.0391352949,5158.1798922326,5299.3549114717,5393.4567614416,0
KAZ_S,Q3,d1,2029,4182.3899752968,4811.2716347146,5353.4873090376,5336.0467174953,5482.089801246,5579.4365161985,0
KAZ_S,Q3,d1,2030,4326.7123510966,4977.294926909,5538.2209211152,5520.1785043913,5671.2611193527,5771.9669924088,0
KAZ_S,Q4,d1,2017,3077.9736678058,3556.1329087741,3668.2064865792,3650.441640174,4277.3506474972,3934.9780654569,0
KAZ_S,Q4,d1,2018,3290.0469555708,3801.1515083746,3920.9469885356,3901.9581390068,4572.061360661,4206.0992073799,0
KAZ_S,Q4,d1,2019,3517.0854858731,4063.4601816465,4191.5224707982,4171.2232446859,4887.5687396723,4496.3523846886,0
KAZ_S,Q4,d1,2020,3744.1240161754,4325.7688549183,4462.0979530609,4440.4883503651,5203.0761186837,4786.6055619974,0
KAZ_S,Q4,d1,2021,3874.0245423737,4475.8492603852,4616.9082289884,4594.5488918423,5383.5942646497,4952.6744685082,0
KAZ_S,Q4,d1,2022,3973.4616708352,4590.7338185524,4735.4134402073,4712.4801912917,5521.7785091281,5079.7980119877,0
KAZ_S,Q4,d1,2023,4063.7023018668,4694.9932152705,4842.9586318914,4819.5045497515,5647.1827078744,5195.1644647408,0
KAZ_S,Q4,d1,2024,4125.2038784297,4766.0489824606,4916.2537625297,4892.4447176191,5732.6492637079,5273.7900089738,0
KAZ_S,Q4,d1,2025,4301.0868917778,4969.2551951725,5125.8641361306,5101.039964044,5977.0676383344,5498.6443691167,0
KAZ_S,Q4,d1,2026,4449.0822262309,5140.2414140276,5302.239084202,5276.5607415899,6182.7314964339,5687.8462459729,0
KAZ_S,Q4,d1,2027,4602.2788588489,5317.2369460117,5484.8127323684,5458.2501993954,6395.623413794,5883.6976255214,0
KAZ_S,Q4,d1,2028,4760.8635552311,5500.4575705191,5673.8076604362,5646.3298393296,6616.0029319323,6086.4372747615,0
KAZ_S,Q4,d1,2029,4925.0299285972,5690.1269783335,5869.454608933,5841.0292844613,6844.1391082613,6296.3127149051,0
KAZ_S,Q4,d1,2030,5094.9786957801,5886.4770673892,6071.9927841899,6042.5865826636,7080.3108718324,6513.5805486461,0
KAZ_S,Q5,d1,2017,4908.6779832073,5172.7264595774,4615.1166983876,4790.0075261875,3479.4148311478,4590.296792318,4801.2524999414
KAZ_S,Q5,d1,2018,5246.8873348228,5529.1288285988,4933.0995914459,5120.040448536,3719.1475327163,4906.5695865742,5132.060204277
KAZ_S,Q5,d1,2019,5608.9628933929,5910.6812198106,5273.5213836578,5473.3625968888,3975.7973013086,5245.1606045156,5486.2118081711
KAZ_S,Q5,d1,2020,5971.038451963,6292.2336110224,5613.9431758698,5826.6847452416,4232.447069901,5583.751622457,5840.3634120651
KAZ_S,Q5,d1,2021,6178.2006702841,6510.5395361209,5808.7161506543,6028.8386832866,4379.2897223109,5777.4771162666,6042.9919246728
KAZ_S,Q5,d1,2022,6336.7805984679,6677.6498239174,5957.8122773699,6183.5848394006,4491.6958234919,5925.7714102004,6198.101361315
KAZ_S,Q5,d1,2023,6480.6941749122,6829.3048249814,6093.1191669326,6324.0192122902,4593.7059846792,6060.3506249265,6338.8654165337
KAZ_S,Q5,d1,2024,6578.7754021704,6932.6620550058,6185.3346903926,6419.7292626035,4663.2288333865,6152.0702171284,6434.8001548037
KAZ_S,Q5,d1,2025,6859.2693791893,7228.2444137674,6449.0538509416,6693.4421167705,4862.0511857644,6414.3711069767,6709.1555745292
KAZ_S,Q5,d1,2026,7095.2887602014,7476.9597911687,6670.9581987474,6923.7555769816,5029.3486409125,6635.0820624094,6940.0097163156
KAZ_S,Q5,d1,2027,7339.6030457651,7734.4162740977,6900.6613780589,7162.1634070752,5202.5257675359,6863.5499075556,7178.9772302464
KAZ_S,Q5,d1,2028,7592.510085142,8000.9277337766,7138.4434253966,7408.9562556152,5381.7936899216,7100.0531729109,7426.3494472089
KAZ_S,Q5,d1,2029,7854.3186480137,8276.8195492804,7384.5946446095,7664.4354275768,5567.3712730699,7344.8806010825,7682.428379519
KAZ_S,Q5,d1,2030,8125.3488327321,8562.4290377482,7639.4159907113,7928.9132827277,5759.4854120752,7598.3315285605,7947.5271202371
KGZ_N,Q1,d1,2017,2246.4832210667,2394.9864207534,2260.8492686495,2272.7878660337,2514.1150669546,2465.9873764324,0
KGZ_N,Q1,d1,2018,2291.412885488,2442.8861491684,2306.0662540225,2318.2436233544,2564.3973682937,2515.307123961,0
KGZ_N,Q1,d1,2019,2337.2411431978,2491.7438721518,2352.1875791029,2364.6084958215,2615.6853156595,2565.6132664402,0
KGZ_N,Q1,d1,2020,2383.9859660617,2541.5787495948,2399.231330685,2411.9006657379,2667.9990219727,2616.925531769,0
KGZ_N,Q1,d1,2021,2431.6656853829,2592.4103245867,2447.2159572987,2460.1386790526,2721.3590024122,2669.2640424044,0
KGZ_N,Q1,d1,2022,2480.2989990906,2644.2585310785,2496.1602764447,2509.3414526337,2775.7861824604,2722.6493232525,0
KGZ_N,Q1,d1,2023,2529.9049790724,2697.1437017,2546.0834819736,2559.5282816864,2831.3019061096,2777.1023097176,0
KGZ_N,Q1,d1,2024,2580.5030786539,2751.086575734,2597.005151613,2610.7188473201,2887.9279442318,2832.6443559119,0
KGZ_N,Q1,d1,2025,2632.1131402269,2806.1083072487,2648.9452546453,2662.9332242665,2945.6865031165,2889.2972430302,0
KGZ_N,Q1,d1,2026,2684.7554030315,2862.2304733937,2701.9241597382,2716.1918887518,3004.6002331788,2947.0831878908,0
KGZ_N,Q1,d1,2027,2738.4505110921,2919.4750828616,2755.962642933,2770.5157265268,3064.6922378424,3006.0248516486,0
KGZ_N,Q1,d1,2028,2793.219521314,2977.8645845188,2811.0818957916,2825.9260410574,3125.9860825992,3066.1453486815,0
KGZ_N,Q1,d1,2029,2849.0839117402,3037.4218762092,2867.3035337075,2882.4445618785,3188.5058042512,3127.4682556552,0
KGZ_N,Q1,d1,2030,2906.065589975,3098.1703137334,2924.6496043816,2940.0934531161,3252.2759203362,3190.0176207683,0
KGZ_N,Q2,d1,2017,1522.652510294,1678.544996714,1560.2449853445,1532.1459446628,1863.9550583237,1833.8865589307,0
KGZ_N,Q2,d1,2018,1553.1055604999,1712.1158966483,1591.4498850514,1562.788863556,1901.2341594902,1870.5642901093,0
KGZ_N,Q2,d1,2019,1584.1676717099,1746.3582145812,1623.2788827524,1594.0446408271,1939.25884268,1907.9755759115,0
KGZ_N,Q2,d1,2020,1615.8510251441,1781.2853788729,1655.7444604075,1625.9255336437,1978.0440195336,1946.1350874297,0
KGZ_N,Q2,d1,2021,1648.168045647,1816.9110864503,1688.8593496156,1658.4440443165,2017.6048999242,1985.0577891783,0
KGZ_N,Q2,d1,2022,1681.1314065599,1853.2493081793,1722.6365366079,1691.6129252029,2057.9569979227,2024.7589449618,0
KGZ_N,Q2,d1,2023,1714.7540346911,1890.3142943429,1757.0892673401,1725.4451837069,2099.1161378812,2065.2541238611,0
KGZ_N,Q2,d1,2024,1749.0491153849,1928.1205802298,1792.2310526869,1759.9540873811,2141.0984606388,2106.5592063383,0
KGZ_N,Q2,d1,2025,1784.0300976926,1966.6829918344,1828.0756737406,1795.1531691287,2183.9204298516,2148.6903904651,0
KGZ_N,Q2,d1,2026,1819.7106996465,2006.0166516711,1864.6371872154,1831.0562325113,2227.5988384486,2191.6641982744,0
KGZ_N,Q2,d1,2027,1856.1049136394,2046.1369847045,1901.9299309597,1867.6773571615,2272.1508152176,2235.4974822399,0
KGZ_N,Q2,d1,2028,1893.2270119122,2087.0597243986,1939.9685295789,1905.0309043047,2317.5938315219,2280.2074318847,0
KGZ_N,Q2,d1,2029,1931.0915521505,2128.8009188865,1978.7679001705,1943.1315223908,2363.9457081524,2325.8115805224,0
KGZ_N,Q2,d1,2030,1969.7133831935,2171.3769372643,2018.3432581739,1981.9941528386,2411.2246223154,2372.3278121328,0
KGZ_N,Q3,d1,2017,616.6204225405,878.4867310668,917.8412440445,897.1371541565,1072.0048769849,962.3494293889,0
KGZ_N,Q3,d1,2018,628.9528309914,896.0564656881,936.1980689254,915.0798972396,1093.4449745246,981.5964179767,0
KGZ_N,Q3,d1,2019,641.5318876112,913.9775950019,954.9220303039,933.3814951844,1115.3138740151,1001.2283463362,0
KGZ_N,Q3,d1,2020,654.3625253634,932.2571469019,974.02047091,952.0491250881,1137.6201514954,1021.252913263,0
KGZ_N,Q3,d1,2021,667.4497758707,950.90228984,993.5008803282,971.0901075898,1160.3725545253,1041.6779715282,0
KGZ_N,Q3,d1,2022,680.7987713881,969.9203356368,1013.3708979347,990.5119097416,1183.5800056158,1062.5115309588,0
KGZ_N,Q3,d1,2023,694.4147468159,989.3187423495,1033.6383158934,1010.3221479365,1207.2516057281,1083.761761578,0
KGZ_N,Q3,d1,2024,708.3030417522,1009.1051171965,1054.3110822113,1030.5285908952,1231.3966378427,1105.4369968095,0
KGZ_N,Q3,d1,2025,722.4691025872,1029.2872195404,1075.3973038555,1051.1391627131,1256.0245705995,1127.5457367457,0
KGZ_N,Q3,d1,2026,736.918484639,1049.8729639312,1096.9052499326,1072.1619459674,1281.1450620115,1150.0966514806,0
KGZ_N,Q3,d1,2027,751.6568543317,1070.8704232099,1118.8433549313,1093.6051848867,1306.7679632518,1173.0985845103,0
KGZ_N,Q3,d1,2028,766.6899914184,1092.2878316741,1141.2202220299,1115.4772885844,1332.9033225168,1196.5605562005,0
KGZ_N,Q3,d1,2029,782.0237912467,1114.1335883075,1164.0446264705,1137.7868343561,1359.5613889671,1220.4917673245,0
KGZ_N,Q3,d1,2030,797.6642670717,1136.4162600737,1187.3255189999,1160.5425710433,1386.7526167465,1244.901602671,0
KGZ_N,Q4,d1,2017,1284.2443505071,1582.2810003215,1474.3465611166,1483.3395885532,1886.3375455289,1679.1940959916,0
KGZ_N,Q4,d1,2018,1309.9292375172,1613.9266203279,1503.8334923389,1513.0063803243,1924.0642964394,1712.7779779115,0
KGZ_N,Q4,d1,2019,1336.1278222675,1646.2051527344,1533.9101621857,1543.2665079308,1962.5455823682,1747.0335374697,0
KGZ_N,Q4,d1,2020,1362.8503787129,1679.1292557891,1564.5883654294,1574.1318380894,2001.7964940156,1781.9742082191,0
KGZ_N,Q4,d1,2021,1390.1073862871,1712.7118409049,1595.880132738,1605.6144748512,2041.8324238959,1817.6136923835,0
KGZ_N,Q4,d1,2022,1417.9095340129,1746.966077723,1627.7977353928,1637.7267643482,2082.6690723738,1853.9659662311,0
KGZ_N,Q4,d1,2023,1446.2677246931,1781.9053992775,1660.3536901006,1670.4812996352,2124.3224538213,1891.0452855558,0
KGZ_N,Q4,d1,2024,1475.193079187,1817.543507263,1693.5607639026,1703.8909256279,2166.8089028977,1928.8661912669,0
KGZ_N,Q4,d1,2025,1504.6969407707,1853.8943774083,1727.4319791807,1737.9687441404,2210.1450809557,1967.4435150922,0
KGZ_N,Q4,d1,2026,1534.7908795862,1890.9722649565,1761.9806187643,1772.7281190232,2254.3479825748,2006.792385394,0
KGZ_N,Q4,d1,2027,1565.4866971779,1928.7917102556,1797.2202311396,1808.1826814037,2299.4349422263,2046.9282331019,0
KGZ_N,Q4,d1,2028,1596.7964311214,1967.3675444607,1833.1646357624,1844.3463350318,2345.4236410708,2087.866797764,0
KGZ_N,Q4,d1,2029,1628.7323597439,2006.7148953499,1869.8279284776,1881.2332617324,2392.3321138923,2129.6241337193,0
KGZ_N,Q4,d1,2030,1661.3070069387,2046.8491932569,1907.2244870472,1918.8579269671,2440.1787561701,2172.2166163936,0
KGZ_N,Q5,d1,2017,2484.1536910155,2430.8902977345,2716.9272687471,2331.5915444145,967.8985259146,2254.4762024593,2487.3369939706
KGZ_N,Q5,d1,2018,2533.8367648358,2479.5081036892,2771.2658141221,2378.2233753028,987.2564964329,2299.5657265085,2537.08373385
KGZ_N,Q5,d1,2019,2584.5135001325,2529.098265763,2826.6911304045,2425.7878428089,1007.0016263616,2345.5570410387,2587.825408527
KGZ_N,Q5,d1,2020,2636.2037701351,2579.6802310782,2883.2249530126,2474.3035996651,1027.1416588888,2392.4681818594,2639.5819166975
KGZ_N,Q5,d1,2021,2688.9278455378,2631.2738356998,2940.8894520729,2523.7896716584,1047.6844920666,2440.3175454966,2692.3735550315
KGZ_N,Q5,d1,2022,2742.7064024486,2683.8993124138,2999.7072411143,2574.2654650915,1068.6381819079,2489.1238964066,2746.2210261321
KGZ_N,Q5,d1,2023,2797.5605304976,2737.577298662,3059.7013859366,2625.7507743934,1090.0109455461,2538.9063743347,2801.1454466547
KGZ_N,Q5,d1,2024,2853.5117411075,2792.3288446353,3120.8954136553,2678.2657898812,1111.811164457,2589.6845018214,2857.1683555878
KGZ_N,Q5,d1,2025,2910.5819759297,2848.175421528,3183.3133219284,2731.8311056789,1134.0473877461,2641.4781918578,2914.3117226996
KGZ_N,Q5,d1,2026,2968.7936154482,2905.1389299586,3246.979588367,2786.4677277924,1156.7283355011,2694.307755695,2972.5979571536
