country,zone,attribute,resolution,year,TEST
Burundi,Burundi,Capacity: MW,Diesel,2026,48.0
Burundi,Burundi,Capacity: MW,PV,2026,9.0
Burundi,Burundi,Capacity: MW,ROR,2026,45.5
Burundi,Burundi,Capacity: MW,Reservoir,2026,61.0
Burundi,Burundi,Demand: GWh,,2026,1685.8
Burundi,Burundi,Emissions: MtCO2,,2026,0.3
Burundi,Burundi,Energy: GWh,Diesel,2026,394.2
Burundi,Burundi,Energy: GWh,PV,2026,18.2
Burundi,Burundi,Energy: GWh,ROR,2026,189.2
Burundi,Burundi,Energy: GWh,Reservoir,2026,352.2
Burundi,Burundi,Fixed O&M: $/MWh,,,3.2
Burundi,Burundi,Fixed O&M: $m,,2026,5.4
Burundi,Burundi,Fuel costs: $/MWh,,,56.7
Burundi,Burundi,Fuel costs: $m,,2026,95.6
Burundi,Burundi,Generation: GWh,,2026,953.8
Burundi,Burundi,Investment costs: $/MWh,,,1.7
Burundi,Burundi,Investment costs: $m,,2026,2.8
Burundi,Burundi,New Capacity: MW,ROR,2026,16.0
Burundi,Burundi,Price: $/MWh,,2026,1000.0
Burundi,Burundi,Spinning Reserve: GWh,,2026,177.9
Burundi,Burundi,Total Demand: GWh,,2026,1685.8
Burundi,Burundi,Unmet country planning reserve costs: $/MWh,,,5.6
Burundi,Burundi,Unmet country planning reserve costs: $m,,2026,9.4
Burundi,Burundi,Unmet demand costs: $/MWh,,,434.2
Burundi,Burundi,Unmet demand costs: $m,,2026,732.0
Burundi,Burundi,Unmet demand: GWh,,2026,732.0
Burundi,Burundi,Variable O&M: $/MWh,,,1.7
Burundi,Burundi,Variable O&M: $m,,2026,2.8
DRC,Drc_E,Capacity: MW,ROR,2026,98.8
DRC,Drc_E,Demand: GWh,,2026,697.5
DRC,Drc_E,Energy: GWh,ROR,2026,564.3
DRC,Drc_E,Fixed O&M: $/MWh,,,2.4
DRC,Drc_E,Fixed O&M: $m,,2026,1.7
DRC,Drc_E,Generation: GWh,,2026,564.3
DRC,Drc_E,Investment costs: $/MWh,,,16.4
DRC,Drc_E,Investment costs: $m,,2026,11.4
DRC,Drc_E,New Capacity: MW,ROR,2026,58.8
DRC,Drc_E,Price: $/MWh,,2026,921.7
