Variable,country,zone,generator,fuel,year,TEST
Capacity: MW,Burundi,Burundi,Buhiga,ROR,2026,0.5
Capacity: MW,Burundi,Burundi,CTH_10,Diesel,2026,10.0
Capacity: MW,Burundi,Burundi,CTH_30,Diesel,2026,20.0
Capacity: MW,Burundi,Burundi,CTH_5,Diesel,2026,18.0
Capacity: MW,Burundi,Burundi,Gikonge,ROR,2026,1.0
Capacity: MW,Burundi,Burundi,Kayenzi,ROR,2026,0.8
Capacity: MW,Burundi,Burundi,Kirasa-karonge,ROR,2026,16.0
Capacity: MW,Burundi,Burundi,Marangara,ROR,2026,0.2
Capacity: MW,Burundi,Burundi,Mubuga,PV,2026,9.0
Capacity: MW,Burundi,Burundi,Mugere,ROR,2026,8.0
Capacity: MW,Burundi,Burundi,Nyemanga,ROR,2026,3.0
Capacity: MW,Burundi,Burundi,RUZB_007,Reservoir,2026,15.0
Capacity: MW,Burundi,Burundi,Rusumo_Falls,Reservoir,2026,27.0
Capacity: MW,Burundi,Burundi,Ruvyironza,Reservoir,2026,1.0
Capacity: MW,Burundi,Burundi,Ruzizi_I,ROR,2026,4.0
Capacity: MW,Burundi,Burundi,Ruzizi_II,ROR,2026,12.0
Capacity: MW,Burundi,Burundi,Rwegura,Reservoir,2026,18.0
Capacity: MW,DRC,Drc_E,Lubero,ROR,2026,12.8
Capacity: MW,DRC,Drc_E,LungudiII,ROR,2026,4.0
Capacity: MW,DRC,Drc_E,Matebe,ROR,2026,12.0
Capacity: MW,DRC,Drc_E,Ruzizi_II_DRCMutwanga,ROR,2026,30.0
Capacity: MW,DRC,Drc_E,Ruzizi_I_DRC,ROR,2026,10.0
Capacity: MW,DRC,Drc_E,VIRUNGATalyiaNord1TalyiaNord2Ivugha,ROR,2026,30.0
Capacity: MW,Djibouti,Djibouti,Akuo,PV,2026,50.0
Capacity: MW,Djibouti,Djibouti,Battery_5MW_DJI,Battery,2026,5.0
Capacity: MW,Djibouti,Djibouti,BoulaosM01,Diesel,2026,2.0
Capacity: MW,Djibouti,Djibouti,BoulaosM02,Diesel,2026,2.0
Capacity: MW,Djibouti,Djibouti,BoulaosM03,Diesel,2026,2.0
Capacity: MW,Djibouti,Djibouti,BoulaosM04,Diesel,2026,2.0
Capacity: MW,Djibouti,Djibouti,BoulaosM05,Diesel,2026,2.0
Capacity: MW,Djibouti,Djibouti,BoulaosM06,Diesel,2026,2.0
Capacity: MW,Djibouti,Djibouti,ICE_Aggregate_DJI,Diesel,2026,8.4
Capacity: MW,Djibouti,Djibouti,MaraboutG12,Diesel,2026,6.0
Capacity: MW,Djibouti,Djibouti,MaraboutG17,Diesel,2026,6.0
Capacity: MW,Djibouti,Djibouti,MaraboutG18,Diesel,2026,6.0
Capacity: MW,Djibouti,Djibouti,MaraboutG21,Diesel,2026,9.0
Capacity: MW,Djibouti,Djibouti,MaraboutG22,Diesel,2026,13.0
Capacity: MW,Djibouti,Djibouti,MaraboutG23,Diesel,2026,7.0
Capacity: MW,Djibouti,Djibouti,MaraboutG25,Diesel,2026,12.0
Capacity: MW,Djibouti,Djibouti,MaraboutG31,Diesel,2026,4.0
Capacity: MW,Djibouti,Djibouti,MaraboutG32,Diesel,2026,4.0
Capacity: MW,Djibouti,Djibouti,Obock,Diesel,2026,4.0
Capacity: MW,Djibouti,Djibouti,South,Diesel,2026,4.0
Capacity: MW,Djibouti,Djibouti,Tadjourah,Diesel,2026,3.0
Capacity: MW,Djibouti,Djibouti,Wind_on,Onshore Wind,2026,60.0
Capacity: MW,Egypt,Egypt,6Oct-1_GT,Gas,2026,300.0
Capacity: MW,Egypt,Egypt,6Oct-2_GT,Gas,2026,300.0
Capacity: MW,Egypt,Egypt,6Oct-Ext-1_CCGT,Gas,2026,600.0
Capacity: MW,Egypt,Egypt,6Oct-Ext-2_CCGT,Gas,2026,319.0
Capacity: MW,Egypt,Egypt,ACWA-POWER_PV,PV,2026,200.0
Capacity: MW,Egypt,Egypt,ACWA-Power_WI,Onshore Wind,2026,1100.0
Capacity: MW,Egypt,Egypt,AMYA-POWER_PV,PV,2026,500.0
Capacity: MW,Egypt,Egypt,AMYA-POWER_WI,Onshore Wind,2026,500.0
Capacity: MW,Egypt,Egypt,Abu-Qir-New-1_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,Abu-Qir-New-2_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,Ain-Sokhna-1_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,Ain-Sokhna-2_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,Arish_ST,Gas,2026,66.0
Capacity: MW,Egypt,Egypt,Assiut_HY,ROR,2026,32.0
Capacity: MW,Egypt,Egypt,Aswan-Dam-2_HY,Reservoir,2026,270.0
Capacity: MW,Egypt,Egypt,Aswan-Dam_HY,Reservoir,2026,280.0
Capacity: MW,Egypt,Egypt,Ataga-Ext-1_GT,Gas,2026,320.0
Capacity: MW,Egypt,Egypt,Ataga-Ext-2_GT,Gas,2026,320.0
Capacity: MW,Egypt,Egypt,Banha_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Bany-Ghaleb_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,Benban_PV,PV,2026,1465.0
Capacity: MW,Egypt,Egypt,Beni-Suef-1_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Beni-Suef-2_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Beni-Suef-3_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Beni-Suef-4_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Burullus-1_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Burullus-2_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Burullus-3_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Burullus-4_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,Cairo-North-1_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Cairo-North-2_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Cairo-West-Ext-1_ST,Gas,2026,680.0
Capacity: MW,Egypt,Egypt,Cairo-West-Ext-2_ST,Gas,2026,680.0
